id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week2,week3,week4,week5,week6,week7,week8,week9
101208087,664,664,664,500,664,664,664,664,664,664,664,664,664,664,664,664,664,664
102205089,664,664,664,660,664,664,664,664,664,665,664,664,664,664,664,664,664,664
101208066,664,664,664,664,664,664,664,664,320,664,664,664,665,665,664,664,664,664
101208030,664,660,664,664,664,660,664,664,664,664,662,664,664,664,664,664,664,664
102208075,664,664,664,630,664,664,664,664,664,500,664,664,640,664,400,664,664,664
102205037,664,660,620,500,664,664,664,664,660,640,664,664,664,664,664,664,664,664
102104031,664,660,664,630,664,664,665,664,664,310,664,664,664,610,664,664,664,610
101208085,664,664,664,662,664,664,664,664,664,664,664,664,664,664,664,664,664,664
101208069,664,664,664,630,664,664,664,664,310,662,664,620,620,662,620,664,400,665
102208088,664,664,664,640,664,664,664,664,664,500,664,664,664,664,350,664,664,664
102208081,664,664,664,664,664,664,664,664,664,662,664,664,664,664,664,664,664,664
102208058,664,664,664,630,664,664,664,664,664,500,664,664,664,664,662,664,664,664
102208049,664,664,664,610,664,664,664,664,664,664,664,664,664,664,400,620,610,664
102208033,664,664,664,610,664,664,664,664,664,664,664,664,664,664,400,664,664,664
102208008,664,664,664,664,664,664,664,664,662,662,664,664,620,620,664,664,664,664
101208074,664,664,664,630,664,664,664,664,664,650,664,664,664,664,620,664,664,664
99304030,664,640,664,100,664,664,664,664,664,665,664,664,664,664,664,664,664,665
99203054,664,650,630,650,664,664,665,664,664,664,665,665,665,664,664,664,664,630
103302104,664,664,664,340,664,664,664,664,664,100,640,664,664,664,100,664,664,664
103302103,664,664,650,340,664,650,664,664,650,310,664,664,640,664,650,664,664,664
102306046,664,664,650,500,100,665,650,664,664,500,664,665,664,665,662,664,665,664
102306041,664,664,650,662,664,664,664,664,100,630,664,650,665,665,664,664,660,664
102209035,664,662,640,100,664,664,664,664,664,630,664,660,664,664,665,664,664,664
102208090,664,665,664,662,664,664,660,664,664,310,664,664,664,664,310,664,310,360
102208089,664,664,664,662,664,664,320,664,664,664,664,664,664,664,400,664,664,660
102208086,664,665,640,664,665,665,665,664,664,650,664,664,664,650,665,664,665,664
102208085,664,664,664,664,664,664,664,664,664,664,664,664,620,664,310,664,664,664
102208084,664,664,610,665,664,664,664,310,664,330,664,650,664,664,665,664,664,664
102208083,664,662,664,630,650,660,664,664,664,630,660,660,664,664,400,664,664,665
102208082,664,664,662,665,664,664,664,664,664,664,664,664,662,665,620,664,664,664
102208078,664,664,665,664,310,660,650,664,664,500,660,660,664,664,400,664,664,664
102208074,664,664,620,400,664,664,664,664,664,500,664,664,664,664,664,664,664,664
102208073,664,664,664,500,664,664,664,664,664,664,664,400,610,664,664,610,664,664
102208068,664,664,664,630,664,664,664,664,665,664,664,650,664,664,400,664,664,664
102208066,664,664,662,650,664,660,640,664,664,500,650,660,664,665,320,662,664,665
