id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week2,week3,week4,week5,week6,week7,week8,week9
101208087,10051,10051,10051,7049,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051
102205089,10051,10051,10051,10090,10057,10054,10052,10051,10051,10110,10051,10051,10051,10051,10051,10051,10051,10051
101208066,10051,10055,10070,10051,10080,10080,10055,10080,2050,10055,10051,10051,10070,10110,10051,10051,10051,10070
101208030,10051,10090,10051,10051,10080,10090,10057,10054,10052,10051,10120,10080,10051,10054,10051,10080,10051,10051
102208075,10051,10051,10051,7020,10051,10051,10052,10052,10051,7070,10051,10051,9080,10057,8080,10080,10055,10055
102205037,10051,10090,10010,7020,10051,10051,10051,10051,10090,11070,10051,10051,10051,10051,10054,10051,10051,10051
102104031,10051,10090,10080,7010,10052,10080,10030,10051,10051,6070,10054,10070,10080,8040,10059,10054,10080,8010
101208085,10051,10051,10051,10040,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051,10051
101208069,10051,10057,10080,11090,10060,10051,10051,10080,2029,10120,10051,10020,10010,10040,10020,10051,8060,10070
102208088,10051,10051,10051,11070,10051,10051,10051,10051,10051,3060,10051,10051,10051,10051,5020,10051,10080,10056
102208081,10051,10070,10051,10052,10051,10051,10055,10080,10055,10120,10055,10054,10055,10055,10051,10051,10080,10055
102208058,10051,10051,10051,11060,10051,10051,10051,10051,10051,3040,10051,10051,10051,10051,10020,10051,10051,10051
102208049,10051,10051,10051,8030,10051,10051,10051,10051,10051,10060,10051,10051,10051,10051,12020,10010,8010,10040
102208033,10051,10052,10051,8019,10051,10051,10051,10051,10051,10051,10056,10051,10051,10051,12080,10051,10052,10051
102208008,10051,10051,10056,10059,10051,10051,10051,10051,10040,10040,10051,10051,10020,10020,10051,10056,10059,10051
101208074,10051,10051,10080,7020,10052,10057,10057,10051,10080,6050,10051,10051,10051,10059,10020,10051,10057,10051
99304030,10051,9060,10080,1010,10055,10080,10080,10051,10080,10030,10051,10080,10051,10070,10080,10051,10051,10110
99203054,10052,6030,11080,6020,10051,10051,10030,10054,10052,10051,10110,10030,10100,10052,10060,10051,10055,7070
103302104,10051,10070,10080,2070,10055,10055,10051,10051,10051,1050,9080,10054,10080,10051,1020,10051,10080,10080
103302103,10051,10051,6060,2080,10051,6050,10051,10051,10100,6080,10080,10051,9060,10052,6020,10051,10051,10051
102306046,10056,10051,6020,3010,2040,10110,6050,10051,10057,7070,10052,10030,10080,10110,10020,10055,10070,10080
102306041,10051,10051,6030,10060,10051,10051,10051,10051,1010,11060,10051,6020,10110,10110,10056,10051,10090,10051
102209035,10051,10120,9080,1060,10051,10080,10080,10052,10055,11110,10080,10090,10080,10055,11040,10070,10080,10080
102208090,10051,10110,10051,10120,10051,10057,10090,10080,10051,6070,10051,10080,10070,10080,6070,10070,6080,5040
102208089,10051,10054,10070,10120,10051,10055,2050,10051,10051,10055,10054,10080,10057,10070,12020,10057,10052,10090
102208086,10051,10110,9040,10080,10110,10070,10100,10052,10055,6020,10051,10051,10051,6030,10100,10052,10110,10080
102208085,10051,10051,10051,10060,10051,10051,10051,10051,10051,10051,10052,10054,10020,10040,2029,10051,10051,10060
102208084,10051,10051,8069,10110,10051,10055,10055,6070,10052,9020,10051,6050,10052,10051,10110,10051,10051,10051
102208083,10051,10120,10080,11060,6050,10090,10052,10051,10080,11090,10090,10090,10040,10055,8080,10080,10052,11040
102208082,10052,10051,10040,10030,10080,10052,10051,10055,10055,10060,10052,10052,10040,10100,8010,10051,10080,10051
102208078,10051,10055,10110,10080,6070,10080,10100,10051,10080,7090,10090,10090,10052,10070,8090,10080,10080,10051
102208074,10051,10051,10020,12040,10051,10051,10051,10080,10052,3020,10051,10051,10070,10051,10080,10051,10051,10080
102208073,10051,10051,10051,7070,10051,10051,10051,10055,10051,10080,10055,8080,8040,10056,10060,8069,10051,10060
102208068,10051,10052,10051,11040,10051,10051,10080,10051,10070,10060,10051,10100,10080,10052,8110,10080,10056,10080
102208066,10051,10051,10020,10100,10054,10090,11070,10051,10070,3040,6030,10090,10057,10110,2050,10120,10080,10070
102208065,10051,10052,10080,10051,10055,10080,6020,10052,10051,10051,10051,10080,10100,10051,10080,10051,10070,10057
102208064,10051,10051,10051,5050,10051,10051,10051,10051,10051,10052,10051,10051,10051,10054,10010,10051,10051,10051
102208063,10051,10051,12050,11120,10055,2040,10080,1030,10051,2010,10051,10090,6020,10110,10020,10055,10110,10052
102208062,10051,2029,10070,5010,10051,10051,10051,10056,10070,10051,10051,10090,10051,10052,10020,10051,10051,10051
102208061,10051,10051,10051,10051,10057,10051,10054,10052,10051,10051,10070,10051,10051,10051,2070,6020,10051,10051
102208060,10051,10051,10051,10110,10051,10051,10051,10051,10051,10080,10051,10051,10051,5080,8069,10051,10051,10051
102208059,10051,10080,10010,3020,11010,10080,10051,10051,9030,10051,9090,10120,10054,10080,9010,5020,11040,10030
