0,1,2,3,4,clustered_label
2.0,3.0,3.0,1.0,3.0,2331
2.0,4.0,1.0,3.0,0.0,2413
2.0,3.0,3.0,1.0,0.0,2331
3.0,2.0,2.0,1.0,3.0,3221
2.0,4.0,3.0,2.0,1.0,2432
2.0,4.0,0.0,1.0,1.0,2401
2.0,4.0,3.0,1.0,0.0,2431
2.0,3.0,2.0,0.0,1.0,2320
2.0,3.0,4.0,1.0,0.0,2341
3.0,3.0,2.0,1.0,3.0,3321
2.0,3.0,3.0,4.0,0.0,2334
2.0,3.0,3.0,1.0,0.0,2331
2.0,3.0,3.0,0.0,0.0,2330
2.0,4.0,3.0,1.0,0.0,2431
2.0,3.0,4.0,0.0,1.0,2340
2.0,2.0,3.0,0.0,1.0,2230
2.0,3.0,2.0,4.0,0.0,2324
2.0,4.0,3.0,4.0,1.0,2434
1.0,4.0,3.0,1.0,1.0,1431
2.0,4.0,0.0,1.0,0.0,2401
2.0,4.0,4.0,0.0,0.0,2440
2.0,2.0,3.0,3.0,0.0,2233
2.0,4.0,4.0,1.0,1.0,2441
3.0,4.0,0.0,0.0,1.0,3400
2.0,5.0,3.0,1.0,1.0,2531
3.0,3.0,5.0,1.0,0.0,3351
3.0,2.0,0.0,0.0,1.0,3200
3.0,4.0,3.0,2.0,1.0,3432
3.0,4.0,1.0,0.0,1.0,3410
2.0,2.0,2.0,1.0,1.0,2221
2.0,3.0,3.0,2.0,1.0,2332
2.0,4.0,4.0,3.0,1.0,2443
3.0,3.0,3.0,3.0,0.0,3333
2.0,4.0,2.0,2.0,1.0,2422
2.0,4.0,3.0,0.0,0.0,2430
2.0,3.0,5.0,0.0,1.0,2350
2.0,3.0,4.0,3.0,0.0,2343
2.0,4.0,2.0,2.0,1.0,2422
2.0,3.0,4.0,1.0,1.0,2341
2.0,3.0,4.0,2.0,0.0,2342
2.0,3.0,2.0,2.0,0.0,2322
2.0,4.0,4.0,1.0,1.0,2441
2.0,2.0,4.0,1.0,0.0,2241
2.0,5.0,1.0,2.0,1.0,2512
2.0,5.0,0.0,2.0,1.0,2502
2.0,4.0,5.0,3.0,1.0,2453
