0,1,2,3,clustered_label
2.0,2.0,1.0,1.0,2211
2.0,3.0,3.0,0.0,2330
2.0,3.0,1.0,1.0,2311
1.0,3.0,2.0,0.0,1320
2.0,4.0,1.0,2.0,2412
2.0,1.0,3.0,0.0,2130
2.0,4.0,2.0,1.0,2421
1.0,4.0,2.0,0.0,1420
2.0,3.0,2.0,1.0,2321
1.0,4.0,0.0,3.0,1403
1.0,3.0,4.0,2.0,1342
1.0,4.0,2.0,2.0,1422
1.0,2.0,3.0,0.0,1230
2.0,3.0,1.0,1.0,2311
1.0,3.0,4.0,0.0,1340
2.0,3.0,2.0,2.0,2322
2.0,2.0,2.0,1.0,2221
2.0,3.0,3.0,1.0,2331
1.0,4.0,3.0,1.0,1431
3.0,3.0,2.0,4.0,3324
0.0,4.0,6.0,1.0,0461
4.0,2.0,0.0,2.0,4202
1.0,4.0,3.0,3.0,1433
1.0,5.0,4.0,2.0,1542
1.0,2.0,4.0,2.0,1242
3.0,2.0,3.0,2.0,3232
0.0,6.0,1.0,1.0,0611
1.0,4.0,1.0,1.0,1411
3.0,1.0,4.0,2.0,3142
0.0,6.0,0.0,5.0,0605
0.0,4.0,2.0,2.0,0422
1.0,2.0,4.0,0.0,1240
4.0,3.0,2.0,0.0,4320
2.0,2.0,1.0,0.0,2210
2.0,5.0,3.0,1.0,2531
3.0,2.0,1.0,2.0,3212
2.0,1.0,5.0,0.0,2150
1.0,4.0,1.0,3.0,1413
2.0,1.0,4.0,0.0,2140
2.0,3.0,4.0,2.0,2342
2.0,5.0,1.0,2.0,2512
2.0,1.0,4.0,2.0,2142
0.0,4.0,2.0,1.0,0421
4.0,3.0,1.0,3.0,4313
1.0,4.0,1.0,0.0,1410
2.0,4.0,3.0,1.0,2431
2.0,3.0,3.0,0.0,2330
1.0,5.0,0.0,2.0,1502
3.0,2.0,3.0,3.0,3233
1.0,3.0,3.0,2.0,1332
1.0,4.0,3.0,1.0,1431
3.0,3.0,1.0,0.0,3310
2.0,3.0,2.0,0.0,2320
3.0,3.0,3.0,2.0,3332
1.0,3.0,2.0,1.0,1321
2.0,6.0,1.0,4.0,2614
1.0,2.0,2.0,0.0,1220
3.0,2.0,3.0,2.0,3232
1.0,4.0,5.0,1.0,1451
4.0,4.0,1.0,1.0,4411
3.0,3.0,2.0,1.0,3321
3.0,2.0,1.0,0.0,3210
2.0,3.0,4.0,2.0,2342
0.0,5.0,3.0,3.0,0533
1.0,4.0,3.0,4.0,1434
2.0,0.0,2.0,1.0,2021
1.0,4.0,2.0,4.0,1424
1.0,3.0,0.0,1.0,1301
1.0,2.0,4.0,0.0,1240
1.0,3.0,2.0,2.0,1322
0.0,4.0,4.0,0.0,0440
2.0,4.0,3.0,2.0,2432
2.0,2.0,5.0,1.0,2251
0.0,5.0,0.0,2.0,0502
5.0,2.0,3.0,3.0,5233
0.0,4.0,3.0,2.0,0432
1.0,3.0,1.0,1.0,1311
2.0,2.0,3.0,2.0,2232
2.0,2.0,2.0,1.0,2221
1.0,3.0,5.0,4.0,1354
0.0,3.0,1.0,3.0,0313
2.0,3.0,3.0,0.0,2330
2.0,4.0,2.0,1.0,2421
2.0,4.0,3.0,1.0,2431
3.0,3.0,1.0,2.0,3312
1.0,4.0,3.0,3.0,1433
1.0,3.0,3.0,2.0,1332
1.0,3.0,5.0,1.0,1351
2.0,4.0,2.0,2.0,2422
1.0,3.0,3.0,1.0,1331
4.0,4.0,1.0,0.0,4410
1.0,5.0,1.0,0.0,1510
2.0,3.0,4.0,3.0,2343
0.0,2.0,2.0,1.0,0221
1.0,3.0,2.0,4.0,1324
1.0,3.0,0.0,0.0,1300
3.0,1.0,5.0,2.0,3152
1.0,5.0,2.0,2.0,1522
0.0,3.0,4.0,1.0,0341
1.0,3.0,6.0,1.0,1361
2.0,2.0,4.0,2.0,2242
1.0,7.0,6.0,1.0,1761
4.0,1.0,2.0,2.0,4122
0.0,4.0,3.0,1.0,0431
2.0,2.0,4.0,0.0,2240
3.0,2.0,5.0,2.0,3252
2.0,4.0,2.0,2.0,2422
