index,clustered_label,0,1,2,3,4
0,3520,1,1,1,1,0
1,4244,1,1,1,1,0
2,4241,1,1,0,0,0
3,4244,1,1,1,1,1
4,6200,1,1,1,1,1
5,3520,1,1,1,1,0
6,4110,1,1,1,1,0
7,4244,1,1,1,1,0
8,4300,1,1,0,0,0
9,5240,1,1,1,1,1
10,4244,1,1,1,1,1
11,5240,1,1,1,1,0
12,1450,1,1,1,1,1
13,4210,1,1,1,1,0
14,4244,1,1,0,0,0
15,1300,1,1,1,1,0
16,6400,1,1,1,1,0
17,3200,1,1,1,1,0
18,3400,1,1,1,1,0
19,4244,1,1,1,1,1
20,4244,1,1,1,1,1
21,6300,1,1,1,1,1
22,4410,1,1,1,1,0
23,4220,1,1,1,1,0
24,6100,1,1,1,1,0
25,7400,1,1,1,1,0
26,3140,1,1,1,1,1
27,3200,1,1,1,1,0
28,4140,1,1,1,1,1
29,1450,1,1,1,1,1
30,5230,1,1,1,1,0
31,4440,1,1,1,1,1
32,5250,1,1,1,1,0
33,1460,1,1,1,1,0
34,4243,1,1,1,1,1
35,5220,1,1,1,1,0
36,5240,1,1,1,1,1
37,3520,1,1,1,1,1
38,4244,1,1,0,0,0
39,1450,1,1,1,1,0
40,5260,1,1,1,1,1
41,4600,1,1,1,1,0
42,4242,1,1,1,1,0
43,5100,1,1,1,1,1
44,4210,1,1,1,1,1
45,8100,1,1,1,1,1
46,2400,1,1,1,1,0
47,3600,1,1,1,1,0
48,1419,1,1,1,1,1
49,2400,1,1,1,1,1
50,4440,1,1,1,1,0
51,5600,1,1,1,1,1
52,1409,1,1,1,1,0
53,8400,1,1,1,1,1
54,5220,1,1,1,1,0
55,4800,1,1,1,1,0
56,3320,1,1,1,1,0
57,4246,1,1,1,1,1
58,2300,1,1,1,1,1
59,9000,1,1,1,1,0
60,4420,1,1,1,1,0
61,3520,1,1,1,1,1
62,1430,1,1,1,1,0
63,1200,1,1,0,0,0
64,3310,1,1,1,1,1
65,4245,1,1,1,1,0
66,2300,1,1,1,1,1
67,6200,1,1,1,1,1
68,4500,1,1,1,1,0
69,4244,1,1,1,1,0
70,5240,1,1,1,1,0
71,4600,1,1,1,1,1
72,3200,1,1,1,1,0
73,5400,1,1,1,1,1
74,3600,1,1,1,1,0
75,5500,1,1,1,1,1
76,4244,1,1,1,1,0
77,1440,1,1,1,1,0
78,4440,1,1,1,1,1
79,4220,1,1,1,1,0
80,4244,1,1,1,1,1
81,4120,1,1,1,1,0
82,3520,1,1,1,1,0
83,7200,1,1,1,1,0
84,4244,1,1,1,1,0
85,8300,1,1,1,1,0
86,4244,1,1,1,1,1
87,1450,1,1,1,1,0
88,5220,1,1,1,1,0
89,4244,1,1,1,1,0
90,4800,1,1,1,1,1
91,4244,1,1,1,1,0
92,4243,1,1,1,1,1
93,4130,1,1,0,0,0
94,4440,1,1,0,0,0
95,5230,1,1,1,1,1
96,8200,1,1,1,1,0
97,3400,1,1,1,1,1
98,4243,1,1,1,1,0
99,3530,1,1,1,1,1
100,4246,1,1,1,1,0
101,4250,1,1,0,0,0
102,4242,1,1,1,1,0
103,4244,1,1,1,1,1
104,4244,1,1,1,1,1
105,4220,1,1,1,1,1
106,4244,1,1,0,0,0
107,3200,1,1,1,1,0
108,1100,1,1,1,1,0
109,2100,1,1,1,1,0
110,4300,1,1,1,1,0
111,4429,1,1,1,1,0
112,4700,1,1,1,1,0
113,4429,1,1,1,1,0
114,3530,1,1,1,1,0
115,4244,1,1,1,1,0
116,4800,1,1,1,1,1
117,3339,1,1,1,1,0
118,3540,1,1,1,1,1
119,4260,1,1,1,1,1
120,4242,1,1,1,1,1
121,4244,1,1,1,1,1
122,2300,1,1,1,1,1
123,4242,1,1,1,1,0
124,4244,1,1,1,1,0
125,4220,1,1,1,1,1
126,3130,1,1,1,1,0
127,4230,1,1,1,1,1
128,4420,1,1,1,1,1
129,5210,1,1,1,1,0
130,3110,1,1,1,1,0
131,4244,1,1,1,1,1
132,4130,1,1,1,1,1
133,4242,1,1,1,1,0
134,2200,1,1,1,1,0
135,4244,1,1,1,1,1
136,7100,1,1,1,1,0
137,7300,1,1,1,1,0
138,3510,1,1,1,1,0
139,4244,1,1,0,0,0
140,4243,1,1,1,1,1
141,5300,1,1,1,1,0
142,5300,1,1,1,1,0
143,4244,1,1,1,1,1
