index,clustered_label,0,1,2,3
0,3520,1,0,0,0
1,4244,0,0,0,0
2,4241,1,0,0,0
3,4244,0,0,0,0
4,6200,0,0,0,0
5,3520,1,0,0,0
6,4110,0,0,0,0
7,4244,1,1,0,0
8,4300,0,0,0,0
9,5240,0,0,0,0
10,4244,1,1,0,0
11,5240,0,0,0,0
12,1450,1,1,1,0
13,4210,0,0,0,0
14,4244,0,0,0,0
15,1300,0,0,0,0
16,6400,1,0,0,0
17,3200,0,0,0,0
18,3400,1,0,0,0
19,4244,0,0,0,0
20,4244,0,0,0,0
21,6300,0,0,0,0
22,4410,0,0,0,0
23,4220,0,0,0,0
24,6100,1,0,0,0
25,7400,0,0,0,0
26,3140,0,0,0,0
27,3200,1,0,0,0
28,4140,0,0,0,0
29,1450,1,1,0,0
30,5230,0,0,0,0
31,4440,0,0,0,0
32,5250,0,0,0,0
33,1460,0,0,0,0
34,4243,0,0,0,0
35,5220,1,0,0,0
36,5240,0,0,0,0
37,3520,1,1,0,0
38,4244,0,0,0,0
39,1450,1,0,0,0
40,5260,1,0,0,0
41,4600,1,0,0,0
42,4242,0,0,0,0
43,5100,0,0,0,0
44,4210,0,0,0,0
45,8100,0,0,0,0
46,2400,0,0,0,0
47,3600,1,0,0,0
48,1419,1,0,0,0
49,2400,1,0,0,0
50,4440,1,0,0,0
51,5600,0,0,0,0
52,1409,1,0,0,0
53,8400,1,0,0,0
54,5220,0,0,0,0
55,4800,1,0,0,0
56,3320,0,0,0,0
57,4246,1,0,0,0
58,2300,1,0,0,0
59,9000,0,0,0,0
60,4420,0,0,0,0
61,3520,0,0,0,0
62,1430,1,1,0,0
63,1200,0,0,0,0
64,3310,1,1,0,0
65,4245,0,0,0,0
66,2300,0,0,0,0
67,6200,0,0,0,0
68,4500,0,0,0,0
69,4244,0,0,0,0
70,5240,0,0,0,0
71,4600,1,0,0,0
72,3200,1,1,0,0
73,5400,0,0,0,0
74,3600,1,0,0,0
75,5500,0,0,0,0
76,4244,0,0,0,0
77,1440,1,0,0,0
78,4440,1,1,1,0
79,4220,1,0,0,0
80,4244,0,0,0,0
81,4120,0,0,0,0
82,3520,1,0,0,0
83,7200,1,0,0,0
84,4244,0,0,0,0
85,8300,1,0,0,0
86,4244,1,0,0,0
87,1450,0,0,0,0
88,5220,0,0,0,0
89,4244,0,0,0,0
90,4800,0,0,0,0
91,4244,0,0,0,0
92,4243,0,0,0,0
93,4130,0,0,0,0
94,4440,1,0,0,0
95,5230,0,0,0,0
96,8200,1,0,0,0
97,3400,0,0,0,0
98,4243,1,0,0,0
99,3530,0,0,0,0
100,4246,0,0,0,0
101,4250,0,0,0,0
102,4242,0,0,0,0
103,4244,1,0,0,0
104,4244,0,0,0,0
105,4220,1,1,0,0
106,4244,0,0,0,0
107,3200,0,0,0,0
108,1100,0,0,0,0
109,2100,0,0,0,0
110,4300,1,1,0,0
111,4429,1,0,0,0
112,4700,0,0,0,0
113,4429,0,0,0,0
114,3530,1,0,0,0
115,4244,0,0,0,0
116,4800,0,0,0,0
117,3339,0,0,0,0
118,3540,0,0,0,0
119,4260,0,0,0,0
120,4242,1,1,0,0
121,4244,0,0,0,0
122,2300,1,1,1,0
123,4242,0,0,0,0
124,4244,1,1,0,0
125,4220,0,0,0,0
126,3130,0,0,0,0
127,4230,0,0,0,0
128,4420,0,0,0,0
129,5210,0,0,0,0
130,3110,0,0,0,0
131,4244,0,0,0,0
132,4130,0,0,0,0
133,4242,0,0,0,0
134,2200,0,0,0,0
135,4244,1,1,0,0
136,7100,1,1,0,0
137,7300,0,0,0,0
138,3510,0,0,0,0
139,4244,1,0,0,0
140,4243,0,0,0,0
141,5300,0,0,0,0
142,5300,0,0,0,0
143,4244,0,0,0,0
144,4244,1,0,0,0
145,4800,1,0,0,0
146,4300,0,0,0,0
147,5230,0,0,0,0
148,4600,1,1,1,1
149,4600,1,1,1,0
150,4244,0,0,0,0
151,4245,1,0,0,0
152,4440,1,1,0,0
153,4246,0,0,0,0
154,4130,0,0,0,0
155,3520,0,0,0,0
156,4800,1,1,0,0
157,4243,1,0,0,0
158,4246,1,0,0,0
159,4600,0,0,0,0
160,4244,0,0,0,0
161,8300,1,0,0,0
162,3400,0,0,0,0
163,3200,0,0,0,0
164,4244,0,0,0,0
165,3200,1,0,0,0
166,4140,1,0,0,0
167,4243,0,0,0,0
168,5220,0,0,0,0
169,4244,1,1,1,0
170,3520,0,0,0,0
171,4244,1,0,0,0
172,4244,0,0,0,0
173,5250,0,0,0,0
174,4244,1,1,0,0
175,4600,1,0,0,0
176,4244,1,1,1,1
177,4600,1,1,0,0
178,4242,1,1,0,0
179,4300,1,0,0,0
180,5210,0,0,0,0
181,4800,0,0,0,0
182,4244,0,0,0,0
183,4600,1,1,1,1
184,4600,1,1,0,0
185,4244,0,0,0,0
186,4244,1,1,1,0
187,4244,1,1,1,1
188,2400,0,0,0,0
189,4246,1,0,0,0
190,3200,1,0,0,0
191,4700,0,0,0,0
192,4600,0,0,0,0
193,8100,0,0,0,0
194,4130,0,0,0,0
195,3130,0,0,0,0
196,1300,0,0,0,0
197,5210,1,0,0,0
198,4244,0,0,0,0
199,3540,0,0,0,0
200,4130,1,0,0,0
201,4243,0,0,0,0
202,4130,1,1,0,0
203,4140,0,0,0,0
204,9000,0,0,0,0
205,3540,0,0,0,0
206,4440,1,0,0,0
207,4244,1,1,0,0
208,4220,1,1,0,0
209,5250,0,0,0,0
210,4600,1,0,0,0
211,5250,1,0,0,0
212,4410,1,0,0,0
213,4244,0,0,0,0
214,1300,0,0,0,0
215,4130,1,1,0,0
216,4300,0,0,0,0
217,4600,1,1,1,1
218,4244,1,0,0,0
219,4440,0,0,0,0
220,5240,0,0,0,0
221,3520,0,0,0,0
222,4246,1,0,0,0
223,3600,0,0,0,0
224,4244,1,0,0,0
225,4600,0,0,0,0
226,4440,1,0,0,0
227,4244,1,1,0,0
228,4600,0,0,0,0
229,4242,0,0,0,0
230,4600,1,0,0,0
231,4242,1,0,0,0
232,4244,1,1,0,0
233,4246,1,1,0,0
234,4800,1,0,0,0
235,4120,0,0,0,0
