id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label
101208087,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,4300,2331,2331,2331,2331,2331,2331,3520
102205089,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2320,2335,2333,2331,2331,2331,2460,4244
101208066,2331,2331,2331,2340,2340,2331,2331,2331,2340,2333,2340,2331,2334,2334,2333,2334,3100,2331,4241
101208030,2331,2320,2335,2331,2331,2331,2335,2331,2331,2320,2331,2331,2333,2320,2335,2333,2331,2331,4244
102208075,2331,2331,2331,2360,2333,1200,2333,2333,2333,2331,2331,4600,2331,2331,2331,2331,2331,4600,6200
102205037,2331,2331,2331,2331,2331,2331,2331,2331,2331,2320,2500,4600,2331,2331,2331,2331,2320,2150,3520
102104031,2331,2333,2340,2334,2200,2332,2331,2334,2200,2320,2340,2120,2331,2334,2350,2331,2331,3200,4110
101208085,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2310,2331,2331,2331,2331,2331,2331,4244
101208069,2331,2331,2500,2200,2310,2500,2331,1200,2340,2333,2334,2110,2336,2331,2331,2335,3100,2360,4300
102208088,2331,2331,2331,2331,2331,2600,2331,2340,2331,2331,2331,2150,2331,2331,2331,2331,2331,4100,5240
102208081,2331,2333,2333,2333,2331,2331,2331,2340,2333,2340,2331,2331,2331,2331,2331,2334,2331,2360,4244
102208058,2331,2331,2331,2331,2331,2310,2331,2331,2331,2331,2331,2110,2331,2331,2331,2331,2331,4500,5240
102208049,2331,2331,2331,2331,2331,1300,2500,2200,2332,2331,2331,2200,2331,2331,2331,2331,2331,2336,1450
102208033,2331,2331,2331,2331,2331,1600,2331,2331,2331,2331,2331,3300,2331,2331,2331,2331,2331,2331,4210
102208008,2331,2331,2331,2500,2500,2331,2331,2332,2331,2331,2331,2332,2331,2331,2331,2331,2310,2310,4244
102207430,2331,2331,2331,2331,2331,2110,4600,2160,2331,2331,2331,2331,4300,2331,2331,2350,2331,2331,1300
101208074,2331,2331,2331,2331,2332,2500,2331,2333,2331,2331,2334,4600,2331,2333,2333,2331,2333,3600,6400
99304030,2331,2331,2334,2331,2340,2333,2331,2331,2460,2410,2340,5300,2333,2333,2335,2331,2333,2350,3200
99203054,2331,2340,2350,2460,2331,2336,2331,2333,4600,2450,2130,3600,2331,2331,2350,2331,2331,2331,3400
126267,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,4244
104850,2331,2460,2331,2331,2333,2331,2333,2331,2331,2335,2333,2331,2331,2331,2331,2331,2334,2331,4244
103302104,2331,2410,2331,2335,2331,5300,2331,2334,2340,2340,2334,5400,2333,2333,2331,2331,2331,5300,6300
103302103,2331,2333,2331,2600,2331,3600,2331,2331,2331,2331,3600,3100,2331,3600,2331,2331,2450,3200,4410
103258005,2331,2460,2335,2460,3200,2332,2331,2450,2460,2340,2450,2331,2331,2333,2320,2320,2334,2334,4220
102306046,2331,2331,2440,2340,2460,2500,2333,2340,2334,2331,3600,4500,5400,2460,3600,2331,2335,4600,6100
102306041,2331,2331,3600,2340,2460,2331,2331,2320,2331,2331,2450,2310,2331,2331,2331,2331,5300,2110,7400
102258003,2331,2331,2331,3100,3100,2500,2331,2331,3100,2460,2331,6100,2331,2331,2331,2331,2331,2331,3140
102209035,2331,2334,2320,2333,2333,2160,2340,2334,2335,2360,2360,5100,2331,2334,2335,2331,2331,2110,3200
102208090,2331,2331,2334,2340,2334,3200,2340,3200,2600,2460,2331,2360,2331,2333,2320,2334,2331,3200,4140
102208089,2331,2335,2335,2333,2340,1300,2335,2331,2340,2331,2340,2360,2331,2333,3100,2331,2331,2333,1450
102208086,2331,2331,2331,2331,2450,2460,2331,2340,2334,2460,2430,2334,2340,2340,2460,2331,2333,3600,5230
102208085,2331,2331,2331,2500,2310,3100,2331,2331,2336,2331,2331,2336,2331,2331,2331,2331,2331,2331,4440
102208084,2331,2331,3600,2331,2331,2340,2331,2331,2331,2331,2200,2340,2331,2333,2331,3200,2331,3500,5250
102208083,2331,2320,2320,2332,2333,1200,2333,2331,2160,2360,2335,2110,3600,2320,2331,2331,2333,2110,1460
102208082,2331,2331,2331,2310,2460,2200,2331,2334,2331,2331,2310,2350,2334,2331,2331,2333,2331,2336,4243
102208078,2331,2320,2320,2331,2340,1200,2333,2333,2331,2331,2460,2334,3200,2340,2450,2331,2334,4300,5220
102208074,2331,2331,2331,2340,2331,2335,2331,2331,2333,2331,2500,1500,2331,2331,2331,2334,2331,4500,5240
102208073,2331,2333,1200,2200,2331,2350,2200,2331,2336,2331,2331,4600,2331,2331,2331,2333,2331,2340,3520
102208070,2331,2331,2331,2331,2331,2450,2500,2331,2331,2331,2331,2331,2331,2331,2331,2331,2350,2331,4244
102208068,2331,2331,2450,2333,2331,1100,2334,2331,2340,2331,2331,2160,2331,2331,2333,2331,2340,2336,1450
102208066,2331,2450,2320,2333,2340,3100,2360,2334,2340,2331,2310,2450,2331,2340,2150,2331,2340,4500,5260
102208065,2331,2331,2334,2460,2331,2334,2331,2340,2333,2331,2334,2331,2331,2334,3600,2331,2331,2331,4600
102208064,2331,2331,2331,2331,2331,2500,2331,2331,2331,2331,2331,2600,2331,2331,2331,2331,2331,2331,4242
102208063,2331,2331,2320,3600,2460,2500,2333,2460,2331,2331,1400,2120,2333,5400,2334,5100,2331,5200,5100
102208062,2331,2331,2320,2331,2331,2500,2331,2331,2331,3100,2340,3500,2331,2331,2331,2333,2340,2331,4210
102208061,2331,2340,2331,2331,2331,5400,3600,2331,2331,2331,2331,2331,2333,2331,2331,2331,2331,2331,8100
102208060,2331,2331,2331,2331,6300,2200,2331,2331,2331,2331,2331,2460,2331,2331,2331,2331,2331,2340,2400
102208059,2331,2410,2360,2333,2334,3500,2600,2160,2350,2334,2500,4500,2350,2334,2331,2331,2600,2331,3600
102208057,2331,2334,2335,2335,1300,1200,2331,2331,2333,2331,2331,2160,2331,2331,2331,2334,2331,2331,1419
102208056,2331,2331,2600,2331,5400,3100,2331,2450,2331,2331,2335,2120,2334,2320,2335,2331,2333,1300,2400
102208055,2331,2331,2331,2600,2334,3300,2310,2331,2331,2331,2500,2500,2331,2331,2331,2331,2331,2500,4440
102208054,2331,2331,3600,3200,2310,3500,2331,2331,2331,2331,2334,3300,2333,2340,2331,2331,2331,4300,5600
102208053,2331,2331,2331,2331,2331,1300,2331,2331,2331,3600,2331,2340,2333,2331,2333,2331,2331,2331,1409
102208052,2331,2334,2340,2460,2333,5400,2320,2334,2320,2335,2200,4300,2335,2331,2410,2331,2334,2350,8400
102208046,2331,2331,2335,2331,2350,1400,2331,2331,2200,2331,2150,2331,2333,2334,2331,2333,2340,4300,5220
102208045,2331,2334,2334,2331,2331,2310,2334,2331,4600,2331,2331,2110,2333,2333,2333,2334,2334,2110,4800
102208044,2331,2331,2331,2331,2310,1400,2331,2500,2331,2336,4400,4600,2331,2331,2331,2331,2130,2340,3320
102208043,2331,2333,2334,2333,2331,2331,2333,2331,2333,2334,2333,2331,2331,2331,2110,2331,2331,2120,4246
102208042,2331,2460,3200,2331,3400,2331,2333,2331,2333,2331,2331,2340,2333,2331,2331,2331,2333,2600,2300
102208041,2331,2331,6400,2600,3400,3300,2331,2334,2310,2331,6300,3400,2333,2333,2450,5100,2310,6300,9000
102208038,2331,2331,2331,2331,2340,3200,2331,2331,2331,2331,2200,3600,2331,2331,2331,2331,2331,2336,4420
102208034,2331,2320,2331,2331,2331,2331,2331,2331,2331,2331,2331,4500,2331,2331,2331,2331,2331,2350,3520
102208032,2331,2334,2333,2331,2331,1200,2331,2331,2331,2331,2331,1100,2331,2331,2331,2331,2331,1300,1430
102208030,2331,2334,2331,2335,2200,1200,3100,6200,2500,2335,4500,2331,2333,2320,2160,2333,2410,2335,1200
102208029,2331,2333,2500,2460,2200,3200,2331,2331,2333,2320,4300,4600,2335,2335,2335,2331,2335,2331,3310
102208024,2331,2331,3100,2340,2332,2310,2331,2331,2310,2331,2331,2160,2331,2331,2331,2331,2331,2160,4245
102208023,2331,2334,2331,2450,3600,2310,2331,2334,2350,2331,2335,2310,2331,2331,2331,2331,2331,2331,2300
102208022,2331,2320,2310,2340,2331,2200,2333,2320,2320,2331,2360,4500,2335,2335,2335,2331,2333,4600,6200
102208021,2331,2334,2331,2331,2333,2333,2331,2331,2333,5200,2336,2331,2334,2331,2334,2331,2331,2336,4500
102208018,2331,2331,2331,2331,2333,2333,2331,2333,2333,2331,2331,2332,2333,2333,2334,2331,2331,2333,4244
102208017,2331,2360,2333,2331,2333,2331,2333,2334,2331,2360,2360,2120,2360,2331,2335,2331,2333,4300,5240
102208015,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2350,2110,4600,2331,2331,2331,4600
102208014,2331,2331,2333,1400,2200,2332,2331,2340,2331,2340,2333,5100,2331,2336,2331,2331,2331,2350,3200
102208010,2331,2320,2333,2200,2310,2500,2334,2334,2331,6100,2335,2120,2335,2350,2333,2331,2334,4500,5400
102208007,2331,2333,2340,2320,2331,2600,2333,2450,2334,3600,2340,4300,2331,2334,2333,2331,2331,2110,3600
102208006,2331,2333,2331,2334,2333,2350,2331,2333,2333,2331,4500,2331,2333,2335,2331,2333,2334,4300,5500
102208005,2331,2331,2334,2331,2331,2333,2331,2331,2333,2333,2331,2331,2331,2331,2331,2331,2331,2331,4244
102208004,2331,2332,3200,2331,2310,1200,2331,3200,2340,2331,2600,2460,2331,2410,2460,2331,2420,2420,1440
102208002,2331,2331,2331,2331,2333,3600,2331,2331,2340,2333,2334,2335,2333,2333,2331,2331,2331,2320,4440
102208001,2310,2335,2340,2420,3200,2200,2331,2310,2333,2331,2331,2331,2331,2331,2331,2331,2333,2333,4220
102205095,2331,2334,2340,2333,2340,2331,2340,2333,2333,2335,2320,2331,2335,2340,2335,2331,2333,2331,4244
102205092,2331,2331,2340,2340,3100,3200,2333,2320,2331,2331,2335,2430,2320,2335,2340,2331,2331,3300,4120
102205081,2331,2331,2340,2331,2331,2331,2331,2331,2331,2331,2331,4300,2331,2331,2331,2331,2331,2350,3520
102205051,2331,2331,2420,2331,2333,2333,2331,2334,2331,2331,2310,2350,2331,2331,2331,2331,4600,2160,7200
102205033,2331,2333,2333,2333,2331,2331,2335,2331,2335,2331,2335,2120,2333,2335,2335,2331,2331,2350,4244
102205030,2331,2333,2333,2331,3200,5300,2331,2334,2333,2340,2333,2332,2331,2331,2331,2331,2340,3100,8300
102205024,2331,2333,2320,2334,2333,2340,2333,2334,2450,2335,2333,2331,2334,2340,2331,2333,2331,2331,4244
102205022,2331,2332,2600,2333,2331,1400,2331,2410,2331,2331,2335,2336,2331,2331,2331,2331,2331,2350,1450
102205020,2331,2331,2430,3100,2331,1300,2331,2334,2331,2331,2331,3100,2331,2331,2331,2331,2331,4600,5220
102205017,2331,2340,2460,2340,2340,2333,2360,2333,2333,2460,2331,2334,2360,2334,2333,2340,2331,2331,4244
102103012,2331,2320,2335,2333,1300,3500,2320,2110,4600,2320,2331,2160,2335,2335,2331,2331,2331,2120,4800
101502012,2331,2340,2334,2334,2310,2500,2334,2331,2334,2340,2335,2340,2331,2331,2335,2334,2331,2460,4244
101401042,2331,2331,2333,2331,2331,2200,2340,2331,2331,2331,2331,2200,2331,2331,2331,2331,2334,2331,4243
101302049,2331,2331,2333,2331,2331,2340,2331,2340,2333,2331,2340,2340,2333,2333,2331,2331,2460,3400,4130
101209037,2331,2331,2333,2335,2200,3300,2333,2336,2335,2340,2410,2200,2334,2331,2460,2331,3200,2500,4440
101208094,2331,2331,2331,2320,2331,2200,3100,2333,2331,2334,2334,2500,2334,2331,2320,2320,2331,3600,5230
101208091,2331,2334,3600,2460,2340,5400,2331,2331,3600,2331,2310,2331,2331,2331,2331,2331,2331,2331,8200
101208090,2331,2333,2333,2333,2340,3200,2333,3200,5400,2340,2334,4400,2334,2333,2331,2331,2600,2331,3400
101208084,2331,2333,2200,2332,2331,2200,2331,2331,2331,2334,2331,2331,2331,2331,2331,2331,2331,2331,4243
101208082,2331,2360,2331,2340,2200,1200,2331,2333,2331,2331,2360,4500,2331,2460,2320,2331,2331,2160,3530
101208080,2331,2333,2335,2333,2340,2331,2331,2331,2331,2460,2333,2320,2331,2331,2333,2340,2333,2110,4246
101208079,2331,2460,2320,3400,2331,2331,2331,2331,2334,2331,2333,2320,2335,2334,2340,2333,2460,2320,4250
101208078,2331,2333,2320,2333,2333,2500,2333,2331,2333,2331,2450,2500,2331,2331,2331,2331,2331,2334,4242
101208070,2331,2331,2335,2333,2333,2331,2333,2331,2333,2331,2320,2331,2333,2331,2333,2331,2333,2331,4244
101208065,2331,2340,2333,2331,2331,2331,2331,2331,2331,2331,2331,2334,2331,2331,2331,2331,2331,2331,4244
101208064,2331,2333,2335,2320,3200,2332,2340,2335,2333,2333,1200,2332,2333,2331,2450,2331,2340,2331,4220
101208062,2331,2340,2334,2320,2334,2331,2333,2340,2360,2335,2334,2333,2333,2331,2333,2331,2350,2350,4244
101208060,2331,2331,2460,2335,2331,2331,2331,2331,2331,2331,2331,6300,2331,2331,2331,2331,2331,2110,3200
101208058,2331,1400,2500,4300,2460,1300,2340,2500,2331,2320,2500,1500,5100,2333,2334,2331,2331,2110,1100
101208056,2331,2334,2335,2334,3600,2333,2331,2331,2331,2331,2450,1300,2331,2331,2333,2331,3600,2331,2100
101208055,2331,2331,2333,2200,2332,2310,2331,1300,2340,2331,2331,2350,2331,2331,2331,2331,2331,2350,4300
101208054,2331,2335,2334,2331,2200,3600,2334,2331,2334,2334,2331,1200,2331,2334,2334,2331,2333,2331,4429
101208053,2331,2320,2334,2333,2333,2333,2334,2335,2331,2331,2334,2331,2340,3200,2333,5400,2333,2331,4700
101208052,2331,2320,2320,2335,2310,3400,2320,2333,2320,2600,2320,1600,2320,2340,2334,2331,2334,2450,4429
101208050,2331,2333,2420,2335,2331,1400,2340,2333,2331,2331,2334,4500,2331,2331,2331,2331,2333,2336,3530
101208034,2331,2334,2334,2333,2332,2331,2333,2333,2333,2331,2335,2331,2331,2335,2334,2331,2333,2333,4244
101208031,2331,2331,2334,2340,2332,2500,2331,2340,3500,2333,2340,2333,2331,2333,2331,2331,2331,2331,4800
101208025,2331,2331,2430,2430,2331,1300,2334,2331,2331,2331,5400,5400,2331,2331,2331,2331,2331,3200,3339
101208017,2331,2331,2450,2460,1200,2450,2333,2331,2331,2331,2331,4300,2331,2320,2331,2331,2331,2440,3540
101208015,2331,2331,2331,2331,2410,2500,2331,2331,2331,2331,2331,1400,2331,2331,2331,2331,2333,2160,4260
101208013,2331,2331,2331,2333,2460,2333,2335,2333,2333,2333,2331,2600,2331,2331,2331,2331,2331,2331,4242
101208008,2331,2331,2331,2331,2460,2334,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2331,2336,4244
101208005,2331,2331,2331,2331,3500,2331,2331,2333,2331,2331,2331,2440,2331,2331,2331,2500,2331,2320,2300
101208004,2331,2333,2335,2320,2334,2340,2331,2331,2331,2331,2331,2500,2333,2334,2333,2331,2331,2331,4242
101208003,2331,2331,2331,2331,2331,2350,2331,2331,2331,2331,2331,2160,2331,2331,2331,2331,2331,2331,4244
