id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week2,week3,week4,week5,week6,week7,week8,week9
101208087,0.2331,0.2331,0.2331,0.43,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331
102205089,0.2331,0.2331,0.2331,0.232,0.2335,0.2333,0.2331,0.2331,0.2331,0.246,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331
101208066,0.2331,0.2333,0.234,0.2331,0.2334,0.2334,0.2333,0.2334,0.31,0.2331,0.2331,0.2331,0.234,0.234,0.2331,0.2331,0.2331,0.234
101208030,0.2331,0.232,0.2331,0.2331,0.2333,0.232,0.2335,0.2333,0.2331,0.2331,0.232,0.2335,0.2331,0.2331,0.2331,0.2335,0.2331,0.2331
102208075,0.2331,0.2331,0.2331,0.46,0.2331,0.2331,0.2331,0.2331,0.2331,0.46,0.2331,0.2331,0.236,0.2333,0.12,0.2333,0.2333,0.2333
102205037,0.2331,0.232,0.25,0.46,0.2331,0.2331,0.2331,0.2331,0.232,0.215,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331
102104031,0.2331,0.232,0.234,0.212,0.2331,0.2334,0.235,0.2331,0.2331,0.32,0.2333,0.234,0.2334,0.22,0.2332,0.2331,0.2334,0.22
101208085,0.2331,0.2331,0.2331,0.231,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331
101208069,0.2331,0.2333,0.2334,0.211,0.2336,0.2331,0.2331,0.2335,0.31,0.236,0.2331,0.25,0.22,0.231,0.25,0.2331,0.12,0.234
102208088,0.2331,0.2331,0.2331,0.215,0.2331,0.2331,0.2331,0.2331,0.2331,0.41,0.2331,0.2331,0.2331,0.2331,0.26,0.2331,0.234,0.2331
102208081,0.2331,0.234,0.2331,0.2331,0.2331,0.2331,0.2331,0.2334,0.2331,0.236,0.2333,0.2333,0.2333,0.2331,0.2331,0.2331,0.234,0.2333
102208058,0.2331,0.2331,0.2331,0.211,0.2331,0.2331,0.2331,0.2331,0.2331,0.45,0.2331,0.2331,0.2331,0.2331,0.231,0.2331,0.2331,0.2331
102208049,0.2331,0.2331,0.2331,0.22,0.2331,0.2331,0.2331,0.2331,0.2331,0.2336,0.2331,0.2331,0.2331,0.2331,0.13,0.25,0.22,0.2332
102208033,0.2331,0.2331,0.2331,0.33,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.16,0.2331,0.2331,0.2331
102208008,0.2331,0.2331,0.2331,0.2332,0.2331,0.2331,0.2331,0.2331,0.231,0.231,0.2331,0.2331,0.25,0.25,0.2331,0.2331,0.2332,0.2331
102207430,0.2331,0.2331,0.2331,0.2331,0.43,0.2331,0.2331,0.235,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.211,0.46,0.216,0.2331
101208074,0.2331,0.2331,0.2334,0.46,0.2331,0.2333,0.2333,0.2331,0.2333,0.36,0.2331,0.2331,0.2331,0.2332,0.25,0.2331,0.2333,0.2331
99304030,0.2331,0.241,0.234,0.53,0.2333,0.2333,0.2335,0.2331,0.2333,0.235,0.2331,0.2334,0.2331,0.234,0.2333,0.2331,0.2331,0.246
99203054,0.2331,0.245,0.213,0.36,0.2331,0.2331,0.235,0.2331,0.2331,0.2331,0.234,0.235,0.246,0.2331,0.2336,0.2331,0.2333,0.46
126267,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331
104850,0.2331,0.2335,0.2333,0.2331,0.2331,0.2331,0.2331,0.2331,0.2334,0.2331,0.246,0.2331,0.2331,0.2333,0.2331,0.2333,0.2331,0.2331
103302104,0.2331,0.234,0.2334,0.54,0.2333,0.2333,0.2331,0.2331,0.2331,0.53,0.241,0.2331,0.2335,0.2331,0.53,0.2331,0.2334,0.234
103302103,0.2331,0.2331,0.36,0.31,0.2331,0.36,0.2331,0.2331,0.245,0.32,0.2333,0.2331,0.26,0.2331,0.36,0.2331,0.2331,0.2331
103258005,0.2331,0.234,0.245,0.2331,0.2331,0.2333,0.232,0.232,0.2334,0.2334,0.246,0.2335,0.246,0.32,0.2332,0.2331,0.245,0.246
102306046,0.2331,0.2331,0.36,0.45,0.54,0.246,0.36,0.2331,0.2335,0.46,0.2331,0.244,0.234,0.246,0.25,0.2333,0.234,0.2334
102306041,0.2331,0.2331,0.245,0.231,0.2331,0.2331,0.2331,0.2331,0.53,0.211,0.2331,0.36,0.234,0.246,0.2331,0.2331,0.232,0.2331
102258003,0.2331,0.246,0.2331,0.61,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.31,0.31,0.25,0.2331,0.2331,0.31
102209035,0.2331,0.236,0.236,0.51,0.2331,0.2334,0.2335,0.2331,0.2331,0.211,0.2334,0.232,0.2333,0.2333,0.216,0.234,0.2334,0.2335
102208090,0.2331,0.246,0.2331,0.236,0.2331,0.2333,0.232,0.2334,0.2331,0.32,0.2331,0.2334,0.234,0.2334,0.32,0.234,0.32,0.26
102208089,0.2331,0.2331,0.234,0.236,0.2331,0.2333,0.31,0.2331,0.2331,0.2333,0.2335,0.2335,0.2333,0.234,0.13,0.2335,0.2331,0.234
102208086,0.2331,0.246,0.243,0.2334,0.234,0.234,0.246,0.2331,0.2333,0.36,0.2331,0.2331,0.2331,0.245,0.246,0.2331,0.234,0.2334
102208085,0.2331,0.2331,0.2331,0.2336,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.25,0.231,0.31,0.2331,0.2331,0.2336
102208084,0.2331,0.2331,0.22,0.234,0.2331,0.2333,0.2331,0.32,0.2331,0.35,0.2331,0.36,0.2331,0.2331,0.234,0.2331,0.2331,0.2331
102208083,0.2331,0.236,0.2335,0.211,0.36,0.232,0.2331,0.2331,0.2333,0.211,0.232,0.232,0.2332,0.2333,0.12,0.2333,0.2331,0.216
102208082,0.2331,0.2331,0.231,0.235,0.2334,0.2331,0.2331,0.2333,0.2331,0.2336,0.2331,0.2331,0.231,0.246,0.22,0.2331,0.2334,0.2331
102208078,0.2331,0.2331,0.246,0.2334,0.32,0.234,0.245,0.2331,0.2334,0.43,0.232,0.232,0.2331,0.234,0.12,0.2333,0.2333,0.2331
102208074,0.2331,0.2331,0.25,0.15,0.2331,0.2331,0.2331,0.2334,0.2331,0.45,0.2331,0.2331,0.234,0.2331,0.2335,0.2331,0.2331,0.2333
102208073,0.2331,0.2331,0.2331,0.46,0.2331,0.2331,0.2331,0.2333,0.2331,0.234,0.2333,0.12,0.22,0.2331,0.235,0.22,0.2331,0.2336
102208070,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.235,0.2331,0.2331,0.2331,0.2331,0.2331,0.245,0.25,0.2331,0.2331
102208068,0.2331,0.2331,0.2331,0.216,0.2331,0.2331,0.2333,0.2331,0.234,0.2336,0.2331,0.245,0.2333,0.2331,0.11,0.2334,0.2331,0.234
102208066,0.2331,0.2331,0.231,0.245,0.2331,0.234,0.215,0.2331,0.234,0.45,0.245,0.232,0.2333,0.234,0.31,0.236,0.2334,0.234
102208065,0.2331,0.2331,0.2334,0.2331,0.2331,0.2334,0.36,0.2331,0.2331,0.2331,0.2331,0.2334,0.246,0.2331,0.2334,0.2331,0.234,0.2333
102208064,0.2331,0.2331,0.2331,0.26,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.2331,0.25,0.2331,0.2331,0.2331
102208063,0.2331,0.2331,0.14,0.212,0.2333,0.54,0.2334,0.51,0.2331,0.52,0.2331,0.232,0.36,0.246,0.25,0.2333,0.246,0.2331
102208062,0.2331,0.31,0.234,0.35,0.2331,0.2331,0.2331,0.2333,0.234,0.2331,0.2331,0.232,0.2331,0.2331,0.25,0.2331,0.2331,0.2331
102208061,0.2331,0.2331,0.2331,0.2331,0.2333,0.2331,0.2331,0.2331,0.2331,0.2331,0.234,0.2331,0.2331,0.2331,0.54,0.36,0.2331,0.2331
102208060,0.2331,0.2331,0.2331,0.246,0.2331,0.2331,0.2331,0.2331,0.2331,0.234,0.2331,0.2331,0.2331,0.63,0.22,0.2331,0.2331,0.2331
