index,clustered_label,0,1
0,5510,0,0
1,1653,0,0
2,2000,1,1
3,1653,0,0
4,6140,0,0
5,1419,1,0
6,1430,1,0
7,1653,1,1
8,1100,1,0
9,3540,0,0
10,1653,1,1
11,3520,0,0
12,6120,1,1
13,6120,1,1
14,1653,1,1
15,1652,1,1
16,1460,1,1
17,5629,1,1
18,1639,1,1
19,1653,1,1
20,1653,1,1
21,3100,0,0
22,5629,1,0
23,1658,1,1
24,5300,0,0
25,2000,0,0
26,4300,0,0
27,5610,1,0
28,1655,1,0
29,6500,1,1
30,1653,1,0
31,1655,1,1
32,1653,1,0
33,6140,0,0
34,1651,1,1
35,3240,0,0
36,3400,0,0
37,1210,1,1
38,1653,1,1
39,6120,0,0
40,3240,0,0
41,1653,1,1
42,1460,1,0
43,3310,0,0
44,1460,1,0
45,6400,1,1
46,1610,1,1
47,5539,1,1
48,4100,1,1
49,3210,0,0
50,1653,1,1
51,3540,0,0
52,6110,1,1
53,6400,1,0
54,6130,0,0
55,1440,0,0
56,6600,1,0
57,1660,0,0
58,1658,1,0
59,1240,0,0
60,1655,1,0
61,5510,0,0
62,3100,0,0
63,6300,1,1
64,1300,1,0
65,1220,1,0
66,1656,1,0
67,5529,1,0
68,1630,1,1
69,1653,1,1
70,1419,0,0
71,1660,1,1
72,5400,0,0
73,3530,0,0
74,5529,0,0
75,3339,0,0
76,1653,0,0
77,6110,1,1
78,1653,1,1
79,1653,1,0
80,1653,1,1
81,1658,1,0
82,5510,1,0
83,1409,0,0
84,1419,0,0
85,3229,0,0
86,1653,1,1
87,6110,1,0
88,6200,1,0
89,1653,0,0
90,4400,0,0
91,1653,1,1
92,1651,1,1
93,1653,1,0
94,1460,1,0
95,1500,1,0
96,6400,1,1
97,5520,1,0
98,1653,0,0
99,5100,1,0
100,1656,0,0
101,1653,1,0
102,1653,1,1
103,1653,1,1
104,1653,1,1
105,1300,1,1
106,1653,1,1
107,1450,0,0
108,5200,1,0
109,5620,0,0
110,1100,1,1
111,5620,1,1
112,1620,1,1
113,5620,1,0
114,5100,1,1
115,1653,1,1
116,1639,1,1
117,6600,1,0
118,4200,1,0
119,5620,1,0
120,1653,1,1
121,1653,1,1
122,1651,1,1
123,1651,1,1
124,1651,1,1
125,4200,1,1
126,3510,0,0
127,3600,0,0
128,1660,1,1
129,3339,0,0
130,5510,1,0
131,1653,1,1
132,1656,1,0
133,1653,1,1
134,1655,1,0
135,1653,1,1
136,2000,1,1
137,2000,0,0
138,5529,0,0
139,1651,1,1
140,1654,1,1
141,3600,0,0
142,3600,0,0
143,1653,1,1
