index,clustered_label,0,1
0,5510,1,1
1,1653,1,1
2,2000,0,0
3,1653,1,1
4,6140,1,1
5,1419,1,1
6,1430,1,1
7,1653,1,1
8,1100,1,0
9,3540,1,1
10,1653,1,1
11,3520,1,1
12,6120,1,1
13,6120,1,1
14,1653,1,1
15,1652,1,1
16,1460,1,1
17,5629,1,1
18,1639,1,1
19,1653,1,1
20,1653,1,1
21,3100,1,1
22,5629,1,1
23,1658,1,1
24,5300,1,1
25,2000,0,0
26,4300,1,1
27,5610,1,1
28,1655,1,1
29,6500,1,1
30,1653,1,1
31,1655,1,1
32,1653,1,1
33,6140,1,1
34,1651,1,1
35,3240,1,1
36,3400,1,1
37,1210,1,1
38,1653,1,0
39,6120,1,1
40,3240,1,1
41,1653,1,1
42,1460,1,1
43,3310,0,0
44,1460,1,1
45,6400,1,1
46,1610,1,1
47,5539,1,1
48,4100,1,1
49,3210,1,1
50,1653,1,1
51,3540,1,1
52,6110,1,1
53,6400,1,1
54,6130,1,1
55,1440,1,1
56,6600,0,0
57,1660,1,1
58,1658,1,1
59,1240,0,0
60,1655,1,1
61,5510,1,1
62,3100,1,1
63,6300,1,0
64,1300,1,1
65,1220,1,1
66,1656,1,1
67,5529,1,1
68,1630,1,0
69,1653,1,1
70,1419,1,1
71,1660,1,1
72,5400,1,1
73,3530,1,1
74,5529,1,1
75,3339,1,1
76,1653,1,1
77,6110,1,1
78,1653,1,1
79,1653,1,1
80,1653,1,1
81,1658,1,1
82,5510,1,1
83,1409,1,0
84,1419,1,1
85,3229,1,1
86,1653,1,1
87,6110,1,1
88,6200,1,1
89,1653,1,1
90,4400,1,1
91,1653,1,1
92,1651,1,1
93,1653,1,1
94,1460,1,1
95,1500,1,1
96,6400,1,1
97,5520,1,1
98,1653,1,1
99,5100,1,1
100,1656,1,1
101,1653,1,1
102,1653,1,1
103,1653,1,1
104,1653,1,1
105,1300,1,1
106,1653,1,1
107,1450,1,1
108,5200,1,1
109,5620,1,1
110,1100,1,1
111,5620,1,1
112,1620,1,1
113,5620,1,1
114,5100,1,1
115,1653,1,1
116,1639,1,1
117,6600,1,1
118,4200,1,1
119,5620,1,1
120,1653,1,1
121,1653,1,1
122,1651,1,1
123,1651,1,1
124,1651,1,1
125,4200,1,1
126,3510,1,1
127,3600,1,1
128,1660,1,1
129,3339,1,1
130,5510,1,1
131,1653,1,1
132,1656,1,1
133,1653,1,1
134,1655,1,1
135,1653,1,1
136,2000,0,0
137,2000,0,0
138,5529,1,0
139,1651,1,1
140,1654,1,1
141,3600,1,1
142,3600,1,1
143,1653,1,1
