index,clustered_label,0,1
0,5510,0,0
1,1653,0,0
2,2000,1,0
3,1653,0,0
4,6140,0,0
5,1419,0,0
6,1430,1,0
7,1653,1,0
8,1100,0,0
9,3540,0,0
10,1653,0,0
11,3520,0,0
12,6120,1,0
13,6120,1,0
14,1653,0,0
15,1652,1,1
16,1460,1,1
17,5629,1,0
18,1639,1,0
19,1653,1,0
20,1653,0,0
21,3100,0,0
22,5629,1,0
23,1658,0,0
24,5300,1,0
25,2000,0,0
26,4300,0,0
27,5610,0,0
28,1655,1,0
29,6500,0,0
30,1653,1,1
31,1655,1,0
32,1653,0,0
33,6140,0,0
34,1651,0,0
35,3240,0,0
36,3400,0,0
37,1210,0,0
38,1653,0,0
39,6120,1,1
40,3240,0,0
41,1653,0,0
42,1460,0,0
43,3310,0,0
44,1460,0,0
45,6400,0,0
46,1610,0,0
47,5539,1,0
48,4100,0,0
49,3210,0,0
50,1653,1,0
51,3540,0,0
52,6110,1,1
53,6400,0,0
54,6130,1,0
55,1440,0,0
56,6600,0,0
57,1660,0,0
58,1658,0,0
59,1240,0,0
60,1655,0,0
61,5510,0,0
62,3100,0,0
63,6300,0,0
64,1300,0,0
65,1220,0,0
66,1656,0,0
67,5529,0,0
68,1630,0,0
69,1653,1,1
70,1419,0,0
71,1660,1,1
72,5400,0,0
73,3530,0,0
74,5529,0,0
75,3339,0,0
76,1653,1,1
77,6110,1,0
78,1653,0,0
79,1653,1,0
80,1653,1,1
81,1658,1,0
82,5510,0,0
83,1409,0,0
84,1419,0,0
85,3229,0,0
86,1653,1,1
87,6110,1,0
88,6200,0,0
89,1653,1,0
90,4400,0,0
91,1653,1,1
92,1651,1,0
93,1653,1,0
94,1460,1,0
95,1500,1,0
96,6400,0,0
97,5520,1,0
98,1653,1,0
99,5100,0,0
100,1656,0,0
101,1653,1,0
102,1653,0,0
103,1653,1,1
104,1653,1,0
105,1300,1,0
106,1653,1,1
107,1450,0,0
108,5200,0,0
109,5620,1,1
110,1100,0,0
111,5620,1,0
112,1620,1,0
113,5620,0,0
114,5100,0,0
115,1653,1,0
116,1639,1,1
117,6600,0,0
118,4200,1,0
119,5620,0,0
120,1653,0,0
121,1653,1,1
122,1651,1,1
123,1651,0,0
124,1651,1,1
125,4200,0,0
126,3510,0,0
127,3600,0,0
128,1660,1,0
129,3339,0,0
130,5510,0,0
131,1653,1,1
132,1656,1,0
133,1653,1,1
134,1655,1,0
135,1653,1,1
136,2000,1,0
137,2000,0,0
138,5529,0,0
139,1651,1,0
140,1654,1,1
141,3600,0,0
142,3600,0,0
143,1653,1,1
144,1655,0,0
145,1651,1,1
146,6140,0,0
147,5300,0,0
148,1651,1,1
149,2000,0,0
150,1651,1,1
151,1653,0,0
152,1651,1,1
153,1656,1,0
154,1651,0,0
155,3210,0,0
156,1100,1,0
157,1651,1,0
158,1651,1,1
159,1651,0,0
160,6110,1,0
161,3100,0,0
162,1651,0,0
163,4200,0,0
164,1460,1,0
165,2000,0,0
166,1658,1,0
167,1651,1,0
168,2000,0,0
169,6120,0,0
170,1652,0,0
171,1660,1,0
172,1651,1,0
173,3210,0,0
174,1651,1,0
175,5300,0,0
176,6400,1,0
177,1651,0,0
178,1651,0,0
179,5100,1,1
180,1651,1,0
181,3229,0,0
182,2000,0,0
183,1651,1,1
184,2000,0,0
185,1651,0,0
186,1651,0,0
187,1651,1,1
188,6600,0,0
189,6400,1,0
190,6140,1,0
191,4200,0,0
192,1651,0,0
193,1651,0,0
194,1652,1,1
195,1651,1,0
196,1651,1,0
197,1651,1,1
198,5300,0,0
199,1651,1,0
200,1653,1,1
201,1651,0,0
202,6140,0,0
203,1651,0,0
204,1651,0,0
205,1651,1,1
206,1409,0,0
207,4200,1,0
208,5300,0,0
209,2000,0,0
210,1651,0,0
211,6400,0,0
212,1210,0,0
213,1651,0,0
214,5620,0,0
215,1655,0,0
216,5300,0,0
217,1651,0,0
218,1651,1,1
219,1651,0,0
220,2000,0,0
221,1651,0,0
222,1658,0,0
223,1651,1,0
224,5620,0,0
225,1653,0,0
226,1651,1,1
227,5100,1,0
228,1651,1,0
229,1630,1,0
230,1651,0,0
231,1409,0,0
232,1651,0,0
233,1651,0,0
234,1653,1,0
235,3240,0,0
236,5620,1,1
237,1651,1,1
238,1651,1,0
239,1651,1,1
240,1610,0,0
241,1651,1,1
242,1655,0,0
243,1651,0,0
244,1653,0,0
245,1651,0,0
246,1409,0,0
247,5400,0,0
248,5539,0,0
249,1655,0,0
250,5529,0,0
251,6110,0,0
252,1655,0,0
253,1651,0,0
254,3210,0,0
255,1651,0,0
256,1653,0,0
257,5539,1,0
258,1655,1,0
259,2000,0,0
260,5100,1,1
261,6300,1,0
262,4200,1,0
263,1651,0,0
264,1651,1,0
265,1651,0,0
266,5620,1,0
267,5520,0,0
268,1651,1,0
269,5300,0,0
270,1651,1,1
271,1651,1,0
272,1651,0,0
273,1610,0,0
274,5620,0,0
275,1651,0,0
276,1639,1,0
277,3100,0,0
278,1651,0,0
279,6110,0,0
280,1651,1,1
281,1653,0,0
282,1651,1,0
283,1651,0,0
284,6140,0,0
285,5100,1,0
286,1651,0,0
287,3100,0,0
288,1651,0,0
