index,clustered_label,0,1
0,5510,1,1
1,1653,1,1
2,2000,0,0
3,1653,1,1
4,6140,1,1
5,1419,1,1
6,1430,1,1
7,1653,1,1
8,1100,1,0
9,3540,1,1
10,1653,1,1
11,3520,1,1
12,6120,1,1
13,6120,1,1
14,1653,1,1
15,1652,1,1
16,1460,1,1
17,5629,1,1
18,1639,1,1
19,1653,1,1
20,1653,1,1
21,3100,1,1
22,5629,1,1
23,1658,1,1
24,5300,1,1
25,2000,0,0
26,4300,1,0
27,5610,1,1
28,1655,1,1
29,6500,1,1
30,1653,1,1
31,1655,1,1
32,1653,1,0
33,6140,1,1
34,1651,1,1
35,3240,1,1
36,3400,1,1
37,1210,1,1
38,1653,1,0
39,6120,1,1
40,3240,1,1
41,1653,1,1
42,1460,1,1
43,3310,1,1
44,1460,1,1
45,6400,1,1
46,1610,1,1
47,5539,1,1
48,4100,1,1
49,3210,1,1
50,1653,1,1
51,3540,1,1
52,6110,1,1
53,6400,1,1
54,6130,1,1
55,1440,1,1
56,6600,1,0
57,1660,1,1
58,1658,1,1
59,1240,1,0
60,1655,1,1
61,5510,1,1
62,3100,1,1
63,6300,1,1
64,1300,1,1
65,1220,1,1
66,1656,1,1
67,5529,1,1
68,1630,1,1
69,1653,1,1
70,1419,1,1
71,1660,1,1
72,5400,1,1
73,3530,1,1
74,5529,1,1
75,3339,1,1
76,1653,1,1
77,6110,1,1
78,1653,1,1
79,1653,1,1
80,1653,1,1
81,1658,1,1
82,5510,1,1
83,1409,1,0
84,1419,1,1
85,3229,1,1
86,1653,1,1
87,6110,1,1
88,6200,1,1
89,1653,1,1
90,4400,1,1
91,1653,1,1
92,1651,1,1
93,1653,1,1
94,1460,1,1
95,1500,1,0
96,6400,1,1
97,5520,1,1
98,1653,1,1
99,5100,1,1
100,1656,1,1
101,1653,1,1
102,1653,1,1
103,1653,1,1
104,1653,1,1
105,1300,1,1
106,1653,1,1
107,1450,1,1
108,5200,1,1
109,5620,1,1
110,1100,1,1
111,5620,1,1
112,1620,1,1
113,5620,1,0
114,5100,1,1
115,1653,1,1
116,1639,1,1
117,6600,1,1
118,4200,1,1
119,5620,1,1
120,1653,1,1
121,1653,1,1
122,1651,1,1
123,1651,1,1
124,1651,1,1
125,4200,1,1
126,3510,1,1
127,3600,1,1
128,1660,1,1
129,3339,1,1
130,5510,1,1
131,1653,1,1
132,1656,1,1
133,1653,1,1
134,1655,1,1
135,1653,1,1
136,2000,0,0
137,2000,1,1
138,5529,1,1
139,1651,1,1
140,1654,1,1
141,3600,1,1
142,3600,1,1
143,1653,1,1
144,1655,1,1
145,1651,1,1
146,6140,1,1
147,5300,1,1
148,1651,1,1
149,2000,1,1
150,1651,1,1
151,1653,1,1
152,1651,1,1
153,1656,1,1
154,1651,1,1
155,3210,1,1
156,1100,1,1
157,1651,1,1
158,1651,1,1
159,1651,1,1
160,6110,1,1
161,3100,1,1
162,1651,1,1
163,4200,1,1
164,1460,1,1
165,2000,1,1
166,1658,1,1
167,1651,1,1
168,2000,1,1
169,6120,1,1
170,1652,1,1
171,1660,1,1
172,1651,1,1
173,3210,1,1
174,1651,1,1
175,5300,1,1
176,6400,1,1
177,1651,1,1
178,1651,1,1
179,5100,1,1
180,1651,1,1
181,3229,1,1
182,2000,1,1
183,1651,1,1
184,2000,1,1
185,1651,1,1
186,1651,1,1
187,1651,1,1
188,6600,1,0
189,6400,1,1
190,6140,1,1
191,4200,1,1
192,1651,1,1
193,1651,1,1
194,1652,1,1
195,1651,1,1
196,1651,1,1
197,1651,1,1
198,5300,1,1
199,1651,1,1
200,1653,1,1
201,1651,1,1
202,6140,1,1
203,1651,1,1
204,1651,1,1
205,1651,1,1
206,1409,1,0
207,4200,1,1
208,5300,1,1
209,2000,1,1
210,1651,1,1
211,6400,1,1
212,1210,1,1
213,1651,1,1
214,5620,1,1
215,1655,1,1
216,5300,1,1
217,1651,1,1
218,1651,1,1
219,1651,1,1
220,2000,1,1
221,1651,1,1
222,1658,1,1
223,1651,1,1
224,5620,1,1
225,1653,1,1
226,1651,1,1
227,5100,1,1
228,1651,1,1
229,1630,1,1
230,1651,1,1
231,1409,1,0
232,1651,1,1
233,1651,1,1
234,1653,1,1
235,3240,1,1
236,5620,1,1
237,1651,1,1
238,1651,1,1
239,1651,1,1
240,1610,1,1
241,1651,1,1
242,1655,1,1
243,1651,1,1
244,1653,1,1
245,1651,1,1
246,1409,1,0
247,5400,1,1
248,5539,1,1
249,1655,1,1
250,5529,0,0
251,6110,1,1
252,1655,1,1
253,1651,1,1
254,3210,1,1
255,1651,1,1
256,1653,1,1
257,5539,1,1
258,1655,1,1
259,2000,1,1
260,5100,1,1
261,6300,1,1
262,4200,1,1
263,1651,1,1
264,1651,1,1
265,1651,1,1
266,5620,1,1
267,5520,1,1
268,1651,1,1
269,5300,1,1
270,1651,1,1
271,1651,1,1
272,1651,1,1
273,1610,1,1
274,5620,1,1
275,1651,1,1
276,1639,1,1
277,3100,1,1
278,1651,1,1
279,6110,1,1
280,1651,1,1
281,1653,1,0
282,1651,1,1
283,1651,1,1
284,6140,1,1
285,5100,1,1
286,1651,1,1
287,3100,1,1
288,1651,1,1
