id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label
none,13,13,13,13,13,13,13,13,13,13,12,40,13,40,13,12,13,13,1653.0
none,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,2000.0
none,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,1653.0
none,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,6140.0
none,13,13,13,12,13,50,13,13,13,13,13,13,13,13,13,13,13,13,1419.0
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,15,1430.0
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,15,1653.0
none,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,1100.0
none,13,13,13,13,13,13,13,50,13,13,13,13,13,13,13,13,13,13,3540.0
none,13,13,13,13,13,13,13,13,13,13,13,16,13,13,13,13,13,13,1653.0
none,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,3520.0
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,15,6120.0
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,13,13,50,13,6120.0
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,13,13,50,13,1653.0
none,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,1652.0
none,13,13,15,13,13,15,13,13,13,13,13,13,20,13,13,13,14,13,1460.0
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,15,5629.0
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,15,1639.0
none,13,13,13,13,13,14,13,13,20,13,13,13,13,13,13,16,13,13,1653.0
none,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,1653.0
none,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,3100.0
none,13,13,13,13,11,40,13,13,13,13,13,13,13,13,13,13,13,11,5629.0
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,15,1658.0
none,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,20,13,16,5300.0
none,13,13,13,13,13,13,13,13,13,13,12,40,13,40,13,12,13,13,2000.0
none,13,13,12,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13,4300.0
none,13,13,13,50,15,13,13,13,13,13,13,13,13,13,12,11,13,13,5610.0
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,15,1655.0
none,13,13,13,13,12,12,13,11,13,13,13,13,13,13,13,13,60,13,6500.0
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,13,13,50,13,1653.0
none,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,1655.0
none,13,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,1653.0
none,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,13,6140.0
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,13,13,50,13,1651.0
none,13,13,13,13,13,13,13,13,13,13,13,16,13,13,13,13,13,13,3240.0
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,13,13,50,13,3400.0
none,13,13,13,13,13,13,13,13,13,13,12,40,13,40,13,12,13,13,1210.0
none,13,13,16,13,13,13,13,13,15,13,13,13,12,13,13,16,13,13,1653.0
none,13,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,6120.0
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,13,13,50,13,3240.0
none,13,13,13,13,11,40,13,13,13,13,13,13,13,13,13,13,13,11,1653.0
none,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,1460.0
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,15,3310.0
none,13,13,13,12,13,13,13,13,13,13,50,13,13,13,13,13,13,20,1460.0
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,15,6400.0
none,13,13,13,13,11,40,13,13,13,13,13,13,13,13,13,13,13,11,1610.0
none,13,12,14,13,40,13,13,13,13,13,13,13,16,13,13,13,30,12,5539.0
none,13,13,13,13,13,13,13,13,13,13,12,40,13,40,13,12,13,13,4100.0
none,13,13,13,13,15,50,13,13,13,20,13,13,13,13,20,13,13,13,3210.0
none,13,12,14,13,40,13,13,13,13,13,13,13,16,13,13,13,30,12,1653.0
none,13,13,13,13,13,15,13,13,13,13,13,13,13,13,13,50,13,13,3540.0
none,13,13,13,13,12,13,13,13,13,13,13,15,13,13,13,13,13,13,6110.0
none,13,13,13,13,13,50,13,13,13,12,13,13,13,13,13,13,13,13,6400.0
none,13,13,13,13,11,40,13,13,13,13,13,13,13,13,13,13,13,11,6130.0
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,13,13,50,13,1440.0
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,15,6600.0
none,13,13,13,13,13,13,13,13,13,13,50,13,13,13,13,13,13,13,1660.0
none,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,1658.0
none,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,20,13,16,1240.0
none,13,13,13,13,13,13,13,13,13,13,20,20,13,13,13,13,13,13,1655.0
none,13,13,13,13,13,13,13,13,13,13,15,13,13,13,13,13,13,13,5510.0
none,13,13,13,13,13,13,13,13,13,13,12,40,13,40,13,12,13,13,3100.0
none,13,13,13,13,13,50,13,13,13,13,13,13,13,13,13,13,50,13,6300.0
none,13,13,13,13,13,13,13,13,13,13,50,13,13,13,13,13,13,13,1300.0
none,13,13,13,13,13,13,13,13,13,13,50,13,13,13,13,13,13,13,1220.0
none,13,13,16,13,13,13,13,13,15,13,13,13,12,13,13,16,13,13,1656.0
none,13,13,13,13,13,13,13,13,16,13,13,12,13,13,13,13,13,16,5529.0
none,13,13,13,13,13,13,13,13,13,13,12,40,13,40,13,12,13,13,1630.0
none,13,13,13,13,13,13,13,13,13,40,13,13,13,13,13,13,13,13,1653.0
none,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13,1419.0
none,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,15,1660.0
none,13,13,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,5400.0
none,13,13,13,50,15,13,13,13,13,13,13,13,13,13,12,11,13,13,3530.0
none,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,13,13,20,5529.0
