id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18
101208087,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.6,0.13,0.13,0.13,0.13,0.13,0.13
102205089,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
101208066,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.4,0.13
101208030,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
102208075,0.13,0.13,0.13,0.12,0.13,0.5,0.13,0.13,0.13,0.13,0.13,0.2,0.13,0.13,0.13,0.13,0.13,0.2
102205037,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.15,0.2,0.13,0.13,0.13,0.13,0.13,0.16
102104031,0.13,0.13,0.13,0.13,0.15,0.13,0.13,0.13,0.15,0.13,0.13,0.2,0.13,0.13,0.16,0.13,0.13,0.11
101208085,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
101208069,0.13,0.13,0.13,0.15,0.13,0.13,0.13,0.5,0.13,0.13,0.13,0.2,0.13,0.13,0.13,0.13,0.11,0.13
102208088,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.16,0.13,0.13,0.13,0.13,0.13,0.6
102208081,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
102208058,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.2,0.13,0.13,0.13,0.13,0.13,0.6
102208049,0.13,0.13,0.13,0.13,0.13,0.5,0.13,0.15,0.13,0.13,0.13,0.15,0.13,0.13,0.13,0.13,0.13,0.13
102208033,0.13,0.13,0.13,0.13,0.13,0.5,0.13,0.13,0.13,0.13,0.13,0.15,0.13,0.13,0.13,0.13,0.13,0.13
102208008,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
102207430,0.13,0.13,0.13,0.13,0.13,0.2,0.2,0.16,0.13,0.13,0.13,0.13,0.2,0.13,0.13,0.13,0.13,0.13
101208074,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.2,0.13,0.13,0.13,0.13,0.13,0.12
99304030,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.4,0.13,0.13,0.13,0.13,0.13,0.13
99203054,0.13,0.13,0.16,0.13,0.13,0.13,0.13,0.13,0.2,0.12,0.2,0.12,0.13,0.13,0.16,0.13,0.13,0.13
126267,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
104850,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
103302104,0.13,0.12,0.13,0.13,0.13,0.4,0.13,0.13,0.13,0.13,0.13,0.4,0.13,0.13,0.13,0.13,0.13,0.4
103302103,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.4,0.13,0.12,0.13,0.13,0.12,0.11
103258005,0.13,0.13,0.13,0.13,0.11,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13
102306046,0.13,0.13,0.16,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.6,0.4,0.13,0.12,0.13,0.13,0.2
102306041,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.4,0.2
102258003,0.13,0.13,0.13,0.4,0.4,0.13,0.13,0.13,0.4,0.13,0.13,0.3,0.13,0.13,0.13,0.13,0.13,0.13
102209035,0.13,0.13,0.13,0.13,0.13,0.16,0.13,0.13,0.13,0.13,0.13,0.4,0.13,0.13,0.13,0.13,0.13,0.2
102208090,0.13,0.13,0.13,0.13,0.13,0.11,0.13,0.11,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.11
102208089,0.13,0.13,0.13,0.13,0.13,0.5,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.4,0.13,0.13,0.13
102208086,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12
102208085,0.13,0.13,0.13,0.13,0.13,0.11,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
102208084,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.15,0.13,0.13,0.13,0.13,0.11,0.13,0.12
102208083,0.13,0.13,0.13,0.13,0.13,0.5,0.13,0.13,0.16,0.13,0.13,0.2,0.12,0.13,0.13,0.13,0.13,0.2
102208082,0.13,0.13,0.13,0.13,0.13,0.15,0.13,0.13,0.13,0.13,0.13,0.16,0.13,0.13,0.13,0.13,0.13,0.13
102208078,0.13,0.13,0.13,0.13,0.13,0.5,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.13,0.12,0.13,0.13,0.6
102208074,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.5,0.13,0.13,0.13,0.13,0.13,0.6
102208073,0.13,0.13,0.5,0.15,0.13,0.13,0.15,0.13,0.13,0.13,0.13,0.2,0.13,0.13,0.13,0.13,0.13,0.13
102208070,0.13,0.13,0.13,0.13,0.13,0.12,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.16,0.13
102208068,0.13,0.13,0.12,0.13,0.13,0.5,0.13,0.13,0.13,0.13,0.13,0.16,0.13,0.13,0.13,0.13,0.13,0.13
102208066,0.13,0.12,0.13,0.13,0.13,0.4,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.16,0.13,0.13,0.6
102208065,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13
102208064,0.13,0.13,0.13,0.13,0.13,0.15,0.13,0.13,0.13,0.13,0.13,0.2,0.13,0.13,0.13,0.13,0.13,0.13
102208063,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.5,0.2,0.13,0.4,0.13,0.4,0.13,0.4
102208062,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.13,0.2,0.13,0.13,0.13,0.13,0.13,0.13
