id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label
101208087,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,13,5510
102205089,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
101208066,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,40,13,2000
101208030,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
102208075,13,13,13,12,13,50,13,13,13,13,13,20,13,13,13,13,13,20,6140
102205037,13,13,13,13,13,13,13,13,13,13,15,20,13,13,13,13,13,16,1419
102104031,13,13,13,13,15,13,13,13,15,13,13,20,13,13,16,13,13,11,1430
101208085,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
101208069,13,13,13,15,13,13,13,50,13,13,13,20,13,13,13,13,11,13,1100
102208088,13,13,13,13,13,14,13,13,13,13,13,16,13,13,13,13,13,60,3540
102208081,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
102208058,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,60,3520
102208049,13,13,13,13,13,50,13,15,13,13,13,15,13,13,13,13,13,13,6120
102208033,13,13,13,13,13,50,13,13,13,13,13,15,13,13,13,13,13,13,6120
102208008,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
102207430,13,13,13,13,13,20,20,16,13,13,13,13,20,13,13,13,13,13,1652
101208074,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,12,1460
99304030,13,13,13,13,13,13,13,13,13,12,13,40,13,13,13,13,13,13,5629
99203054,13,13,16,13,13,13,13,13,20,12,20,12,13,13,16,13,13,13,1639
126267,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
104850,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
103302104,13,12,13,13,13,40,13,13,13,13,13,40,13,13,13,13,13,40,3100
103302103,13,13,13,14,13,12,13,13,13,13,12,40,13,12,13,13,12,11,5629
103258005,13,13,13,13,11,13,13,13,13,13,12,13,13,13,13,13,13,13,1658
102306046,13,13,16,13,13,13,13,13,13,13,12,60,40,13,12,13,13,20,5300
102306041,13,13,12,13,13,13,13,13,13,13,12,13,13,13,13,13,40,20,2000
102258003,13,13,13,40,40,13,13,13,40,13,13,30,13,13,13,13,13,13,4300
102209035,13,13,13,13,13,16,13,13,13,13,13,40,13,13,13,13,13,20,5610
102208090,13,13,13,13,13,11,13,11,14,13,13,13,13,13,13,13,13,11,1655
102208089,13,13,13,13,13,50,13,13,13,13,13,13,13,13,40,13,13,13,6500
102208086,13,13,13,13,12,13,13,13,13,13,12,13,13,13,13,13,13,12,1653
102208085,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,1655
102208084,13,13,12,13,13,13,13,13,13,13,15,13,13,13,13,11,13,12,1653
102208083,13,13,13,13,13,50,13,13,16,13,13,20,12,13,13,13,13,20,6140
102208082,13,13,13,13,13,15,13,13,13,13,13,16,13,13,13,13,13,13,1651
102208078,13,13,13,13,13,50,13,13,13,13,13,13,11,13,12,13,13,60,3240
102208074,13,13,13,13,13,13,13,13,13,13,13,50,13,13,13,13,13,60,3400
102208073,13,13,50,15,13,13,15,13,13,13,13,20,13,13,13,13,13,13,1210
102208070,13,13,13,13,13,12,15,13,13,13,13,13,13,13,13,13,16,13,1653
102208068,13,13,12,13,13,50,13,13,13,13,13,16,13,13,13,13,13,13,6120
102208066,13,12,13,13,13,40,13,13,13,13,13,12,13,13,16,13,13,60,3240
102208065,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13,1653
102208064,13,13,13,13,13,15,13,13,13,13,13,20,13,13,13,13,13,13,1460
102208063,13,13,13,12,13,13,13,13,13,13,50,20,13,40,13,40,13,40,3310
102208062,13,13,13,13,13,13,13,13,13,11,13,20,13,13,13,13,13,13,1460
102208061,13,13,13,13,13,40,12,13,13,13,13,13,13,13,13,13,13,13,6400
102208060,13,13,13,13,30,15,13,13,13,13,13,13,13,13,13,13,13,13,1610
102208059,13,12,13,13,13,12,14,16,16,13,13,60,16,13,13,13,14,13,5539
102208057,13,13,13,13,50,50,13,13,13,13,13,16,13,13,13,13,13,13,4100
102208056,13,13,14,13,40,40,13,12,13,13,13,20,13,13,13,13,13,50,3210
102208055,13,13,13,14,13,15,13,13,13,13,13,13,13,13,13,13,13,13,1653
102208054,13,13,12,11,13,12,13,13,13,13,13,15,13,13,13,13,13,60,3540
102208053,13,13,13,13,13,50,13,13,13,12,13,13,13,13,13,13,13,13,6110
102208052,13,13,13,13,13,40,13,13,13,13,15,20,13,13,12,13,13,16,6400
102208046,13,13,13,13,16,50,13,13,15,13,20,13,13,13,13,13,13,20,6130
102208045,13,13,13,13,13,13,13,13,20,13,13,20,13,13,13,13,13,20,1440
102208044,13,13,13,13,13,50,13,16,13,13,60,20,13,13,13,13,20,13,6600
102208043,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20,13,13,20,1660
102208042,13,13,11,13,11,13,13,13,13,13,13,13,13,13,13,13,13,14,1658
102208041,13,13,30,14,11,15,13,13,13,13,30,11,13,13,12,40,13,30,1240
102208038,13,13,13,13,13,11,13,13,13,13,15,12,13,13,13,13,13,13,1655
102208034,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
102208032,13,13,13,13,13,50,13,13,13,13,13,50,13,13,13,13,13,50,3100
102208030,13,13,13,13,15,50,40,30,15,13,60,13,13,13,16,13,12,13,6300
102208029,13,13,15,13,15,11,13,13,13,13,60,20,13,13,13,13,13,13,1300
102208024,13,13,40,13,13,13,13,13,13,13,13,16,13,13,13,13,13,16,1220
102208023,13,13,13,12,12,13,13,13,16,13,13,13,13,13,13,13,13,13,1656
102208022,13,13,13,13,13,15,13,13,13,13,13,60,13,13,13,13,13,20,5529
102208021,13,13,13,13,13,13,13,13,13,40,13,13,13,13,13,13,13,13,1630
102208018,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
102208017,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,20,1419
102208015,13,13,13,13,13,13,13,13,13,13,13,13,16,20,20,13,13,13,1660
102208014,13,13,13,50,15,13,13,13,13,13,13,40,13,13,13,13,13,16,5400
102208010,13,13,13,15,13,15,13,13,13,30,13,20,13,16,13,13,13,60,3530
102208007,13,13,13,13,13,12,13,12,13,12,13,60,13,13,13,13,13,20,5529
102208006,13,13,13,13,13,16,13,13,13,13,60,13,13,13,13,13,13,60,3339
102208005,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
102208004,13,13,11,13,13,50,13,11,13,13,14,13,13,12,13,13,12,12,6110
102208002,13,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,1653
102208001,13,13,13,12,11,15,13,13,13,13,13,13,13,13,13,13,13,13,1653
102205095,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
102205092,13,13,13,13,11,11,13,13,13,13,13,12,13,13,13,13,13,15,1658
102205081,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,16,5510
102205051,13,13,12,13,13,13,13,13,13,13,13,16,13,13,13,13,20,20,1409
102205033,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,16,1419
102205030,13,13,13,13,11,40,13,13,13,13,13,13,13,13,13,13,13,40,3229
102205024,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
102205022,13,13,14,13,13,50,13,12,13,13,13,13,13,13,13,13,13,16,6110
102205020,13,13,12,40,13,50,13,13,13,13,13,11,13,13,13,13,13,20,6200
102205017,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,1653
102103012,13,13,13,13,50,11,13,20,20,13,13,16,13,13,13,13,13,20,4400
101502012,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653
101401042,13,13,13,13,13,15,13,13,13,13,13,15,13,13,13,13,13,13,1651
