,id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,semester
0,101208087,13,13,13,13,13,13,13,13,13,13,13,60,13,13,13,13,13,13,5510,55
1,102205089,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653,91
2,101208066,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,40,13,2000,77
3,101208030,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653,99
4,102208075,13,13,13,12,13,50,13,13,13,13,13,20,13,13,13,13,13,20,6140,74
5,102205037,13,13,13,13,13,13,13,13,13,13,15,20,13,13,13,13,13,16,1419,66
6,102104031,13,13,13,13,15,13,13,13,15,13,13,20,13,13,16,13,13,11,1430,83
7,101208085,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653,71
8,101208069,13,13,13,15,13,13,13,50,13,13,13,20,13,13,13,13,11,13,1100,89
9,102208088,13,13,13,13,13,14,13,13,13,13,13,16,13,13,13,13,13,60,3540,56
10,102208081,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653,81
11,102208058,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,60,3520,33
12,102208049,13,13,13,13,13,50,13,15,13,13,13,15,13,13,13,13,13,13,6120,53
13,102208033,13,13,13,13,13,50,13,13,13,13,13,15,13,13,13,13,13,13,6120,67
14,102208008,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653,92
15,102207430,13,13,13,13,13,20,20,16,13,13,13,13,20,13,13,13,13,13,1652,0
16,101208074,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,12,1460,63
17,99304030,13,13,13,13,13,13,13,13,13,12,13,40,13,13,13,13,13,13,5629,33
18,99203054,13,13,16,13,13,13,13,13,20,12,20,12,13,13,16,13,13,13,1639,99
19,126267,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653,0
20,104850,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1653,0
21,103302104,13,12,13,13,13,40,13,13,13,13,13,40,13,13,13,13,13,40,3100,99
22,103302103,13,13,13,14,13,12,13,13,13,13,12,40,13,12,13,13,12,11,5629,99
23,103258005,13,13,13,13,11,13,13,13,13,13,12,13,13,13,13,13,13,13,1658,0
24,102306046,13,13,16,13,13,13,13,13,13,13,12,60,40,13,12,13,13,20,5300,78
25,102306041,13,13,12,13,13,13,13,13,13,13,12,13,13,13,13,13,40,20,2000,48
26,102258003,13,13,13,40,40,13,13,13,40,13,13,30,13,13,13,13,13,13,4300,0
27,102209035,13,13,13,13,13,16,13,13,13,13,13,40,13,13,13,13,13,20,5610,55
28,102208090,13,13,13,13,13,11,13,11,14,13,13,13,13,13,13,13,13,11,1655,83
29,102208089,13,13,13,13,13,50,13,13,13,13,13,13,13,13,40,13,13,13,6500,80
30,102208086,13,13,13,13,12,13,13,13,13,13,12,13,13,13,13,13,13,12,1653,96
31,102208085,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,1655,84
32,102208084,13,13,12,13,13,13,13,13,13,13,15,13,13,13,13,11,13,12,1653,65
33,102208083,13,13,13,13,13,50,13,13,16,13,13,20,12,13,13,13,13,20,6140,61
34,102208082,13,13,13,13,13,15,13,13,13,13,13,16,13,13,13,13,13,13,1651,94
35,102208078,13,13,13,13,13,50,13,13,13,13,13,13,11,13,12,13,13,60,3240,66
36,102208074,13,13,13,13,13,13,13,13,13,13,13,50,13,13,13,13,13,60,3400,78
37,102208073,13,13,50,15,13,13,15,13,13,13,13,20,13,13,13,13,13,13,1210,80
38,102208070,13,13,13,13,13,12,15,13,13,13,13,13,13,13,13,13,16,13,1653,0
39,102208068,13,13,12,13,13,50,13,13,13,13,13,16,13,13,13,13,13,13,6120,67
40,102208066,13,12,13,13,13,40,13,13,13,13,13,12,13,13,16,13,13,60,3240,77
41,102208065,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13,1653,72
42,102208064,13,13,13,13,13,15,13,13,13,13,13,20,13,13,13,13,13,13,1460,47
43,102208063,13,13,13,12,13,13,13,13,13,13,50,20,13,40,13,40,13,40,3310,68
44,102208062,13,13,13,13,13,13,13,13,13,11,13,20,13,13,13,13,13,13,1460,41
