id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label
101208087,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,51200,64611,64611,64611,64611,64611,64611,142
102205089,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64349,64651,64613,64613,64611,64611,64230,230
101208066,64611,64611,64611,64259,64230,64611,64611,64611,64659,64613,64659,64611,64645,64645,64613,64645,33299,64613,460
101208030,64611,64330,64652,64611,64613,64611,64653,64611,64611,64349,64611,64611,64642,64340,64651,64613,64611,64611,242
102208075,64611,64611,64611,61300,64641,45600,64641,64613,64613,64611,64611,66200,64611,64611,64613,64611,64611,51430,460
102205037,64611,64611,64611,64611,64611,64613,64611,64611,64611,64349,63139,51300,64611,64611,64611,64611,64340,65400,121
102104031,64611,64642,64659,64644,63300,64612,64613,64656,63300,64359,64659,66400,64613,64644,65640,64611,64611,36230,424
101208085,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64630,64611,64611,64611,64611,64611,64611,132
101208069,64611,64611,64449,63130,64630,64420,64611,45299,64249,64641,64644,66320,64620,64611,64611,64654,36400,64120,414
102208088,64611,64611,64611,64611,64611,34200,64611,64620,64611,64611,64611,65400,64611,64611,64611,64611,64611,55000,113
102208081,64611,64613,64613,64613,64613,64611,64611,64659,64613,64249,64611,64613,64611,64611,64613,64644,64613,64130,422
102208058,64611,64611,64611,64611,64611,64410,64611,64611,64611,64611,64611,65140,64611,64611,64611,64611,64611,54100,330
102208049,64611,64611,64611,64611,64611,44200,64430,63130,64630,64611,64611,63500,64611,64611,64611,64611,64611,64620,141
102208033,64611,64611,64611,64611,64611,41300,64611,64611,64611,64611,64611,63200,64611,64611,64611,64611,64611,64611,121
102208008,64611,64611,64611,64420,64420,64611,64612,64612,64611,64611,64612,64612,64611,64611,64611,64611,64630,64630,220
101208074,64611,64611,64611,64611,64612,64459,64611,64641,64611,64611,64644,66200,64613,64641,64641,64611,64644,62100,122
99304030,64611,64611,64644,64611,64659,64644,64611,64611,64230,61200,64659,14400,64613,64642,64653,64611,64642,64510,330
99203054,64611,64259,65640,64210,64611,64540,64611,64613,66099,62430,65130,62200,64611,64611,65650,64613,64611,64611,243
103302104,64611,61300,64613,64656,64611,14300,64611,64659,64659,64659,64656,32200,64613,64613,64611,64611,64611,14099,243
103302103,64611,64641,64611,61100,64611,62200,64611,64611,64611,64611,62100,32400,64611,62100,64611,64611,62410,36100,241
102306046,64613,64611,65620,64659,64230,64410,64613,64259,64645,64611,62200,53000,13400,64230,62100,64611,64651,51410,430
102306041,64611,64611,62200,64259,64230,64612,64611,64359,64611,64611,62460,64530,64611,64611,64611,64611,14400,65140,320
102209035,64611,64659,64349,64642,64613,65540,64659,64644,64654,64130,64159,12000,64611,64659,64652,64613,64613,66340,144
102208090,64611,64611,64654,64249,64645,36210,64249,36100,31400,64210,64611,64159,64611,64641,64330,64645,64611,36240,423
102208089,64611,64651,64651,64641,64659,44200,64651,64613,64320,64613,64659,64110,64611,64613,33299,64611,64611,64613,426
102208086,64611,64611,64611,64611,62410,64210,64611,64259,64644,64230,61600,64644,64230,64259,64210,64613,64613,62200,250
102208085,64611,64613,64613,64430,64630,36400,64611,64611,64520,64611,64611,64620,64611,64611,64611,64611,64611,64613,413
102208084,64611,64611,62100,64613,64611,64230,64611,64611,64611,64611,63610,64230,64611,64613,64613,36220,64611,35400,122
102208083,64611,64359,64340,64630,64613,45399,64642,64613,65550,64130,64653,66340,62100,64340,64613,64611,64642,66320,146
102208082,64611,64611,64611,64630,64210,63130,64611,64644,64611,64611,64410,65610,64659,64611,64611,64613,64613,64540,250
102208078,64611,64349,64340,64613,64249,45100,64641,64641,64611,64613,64220,64659,36220,64310,62439,64611,64645,52300,124
102208074,64611,64611,64611,64659,64611,64653,64611,64611,64642,64611,64420,46100,64611,64611,64611,64659,64613,54100,460
102208073,64611,64613,45600,63300,64611,64520,63610,64611,64520,64611,64611,51430,64611,64611,64611,64613,64611,64659,426
102208068,64611,64611,62410,64641,64611,43000,64645,64612,64659,64613,64611,65560,64611,64611,64641,64611,64249,64620,121
102208066,64611,62430,64349,64641,64259,33299,64130,64659,64249,64611,64410,62450,64613,64310,65400,64611,64249,54200,460
102208065,64611,64611,64645,64210,64611,64656,64611,64659,64641,64611,64644,64611,64613,64644,62200,64613,64611,64611,136
102208064,64611,64611,64611,64611,64613,63139,64611,64611,64611,64611,64611,31100,64611,64611,64611,64611,64611,64611,320
102208063,64611,64611,64340,62200,64210,64440,64613,64210,64611,64611,42100,66400,64613,13400,64644,11000,64611,13300,135
102208062,64611,64611,64330,64611,64611,64420,64611,64611,64611,36400,64249,34400,64611,64611,64611,64613,64249,64611,310
102208061,64611,64249,64611,64611,64611,32299,62200,64611,64611,64611,64611,64611,64641,64611,64613,64611,64611,64611,412
102208060,64611,64611,64611,64611,24100,63630,64611,64611,64611,64611,64611,64230,64611,64611,64611,64611,64611,64659,143
102208059,64611,61500,64140,64613,64659,35400,34200,65540,65610,64644,64459,52200,65510,64644,64611,64611,61100,64611,160
102208057,64611,64659,64652,64651,44299,45100,64611,64611,64613,64611,64611,65110,64611,64611,64611,64644,64611,64611,412
102208056,64611,64611,31200,64613,13400,33299,64611,62439,64612,64611,64654,66400,64656,64656,64652,64613,64613,44400,423
102208055,64611,64611,64611,31400,64659,63620,64410,64611,64612,64611,64410,64430,64611,64611,64611,64611,64611,64420,230
102208054,64611,64611,62100,36100,64630,35400,64611,64613,64611,64611,64644,36500,64641,64659,64611,64611,64611,51200,125
102208053,64611,64611,64611,64611,64611,44200,64611,64613,64611,62100,64611,64659,64613,64611,64641,64611,64611,64611,330
102208052,64611,64645,64659,64210,64613,33399,64656,64644,64340,64652,63400,51200,64653,64611,61200,64611,64659,65610,220
102208046,64611,64611,64654,64611,65650,42400,64611,64611,63500,64611,65400,64611,64613,64644,64611,64644,64659,51200,245
102208045,64611,64654,64659,64613,64613,64630,64645,64611,66099,64613,64613,66340,64613,64641,64613,64645,64644,65120,210
102208044,64611,64611,64613,64611,64630,42100,64611,65200,64611,64620,56000,51440,64611,64611,64611,64611,66330,64259,143
102208043,64611,64642,64643,64641,64613,64611,64613,64611,64613,64645,64613,64611,64611,64611,66310,64613,64611,66320,136
102208042,64611,62420,36100,64611,35100,64613,64613,64611,64613,64611,64613,64659,64641,64611,64611,64611,64644,31200,220
102208041,64611,64611,22000,31400,36400,63200,64611,64644,64530,64613,24100,35100,64641,64641,62410,11000,64530,24400,150
102208038,64611,64611,64611,64611,64659,36230,64611,64611,64611,64611,63630,62600,64611,64611,64611,64611,64611,64620,134
102208034,64611,64349,64613,64611,64611,64613,64611,64611,64611,64611,64611,52200,64611,64611,64611,64611,64611,64510,460
102208032,64611,64659,64613,64611,64611,45600,64611,64611,64611,64611,64611,43000,64611,64611,64611,64611,64611,44200,160
102208030,64611,64643,64613,64654,63110,45200,33299,21300,63120,64652,54400,64611,64642,64320,65530,64613,61500,64651,423
102208029,64611,64641,63139,64220,63110,36210,64613,64613,64613,64340,51200,51410,64653,64651,64651,64613,64651,64611,210
102208024,64611,64611,33299,64659,64646,64410,64611,64611,64630,64613,64611,65520,64611,64611,64611,64611,64611,65540,210
102208023,64611,64653,64611,62450,62100,64410,64613,64643,65510,64611,64340,64410,64611,64611,64611,64611,64611,64620,210
102208022,64611,64340,64630,64659,64611,63400,64642,64359,64340,64611,64130,52100,64653,64654,64653,64611,64641,51440,260
102208021,64611,64643,64611,64611,64613,64613,64613,64611,64613,13100,64620,64611,64644,64611,64644,64611,64611,64540,413
102208018,64611,64611,64611,64611,64644,64613,64611,64641,64613,64613,64611,64630,64641,64613,64644,64611,64611,64641,260
102208017,64611,64159,64613,64611,64613,64611,64642,64643,64613,64140,64140,66400,64140,64613,64651,64611,64613,51200,230
102208014,64611,64611,64644,42300,63130,64630,64611,64659,64613,64249,64642,11000,64611,64620,64611,64611,64611,65650,160
102208010,64613,64656,64651,63610,64410,63139,64659,64659,64611,23300,64651,66400,64653,65510,64642,64611,64644,52200,260
102208007,64611,64641,64659,64340,64611,61400,64613,62200,64644,62100,64659,51200,64613,64644,64641,64611,64611,66340,125
