,id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,original,semester
0,101208087,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,51200,64611,64611,64611,64611,64611,64611,6620,42.9,55
1,102205089,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64349,64651,64613,64613,64611,64611,64230,6217,78.6,91
2,101208066,64611,64611,64611,64259,64230,64611,64611,64611,64659,64613,64659,64611,64645,64645,64613,64645,33299,64613,4300,64.7,77
3,101208030,64611,64330,64652,64611,64613,64611,64653,64611,64611,64349,64611,64611,64642,64340,64651,64613,64611,64611,6217,91.5,99
4,102208075,64611,64611,64611,61300,64641,45600,64641,64613,64613,64611,64611,66200,64611,64611,64613,64611,64611,51430,7440,61.4,74
5,102205037,64611,64611,64611,64611,64611,64613,64611,64611,64611,64349,63139,51300,64611,64611,64611,64611,64340,65400,6620,53.5,66
6,102104031,64611,64642,64659,64644,63300,64612,64613,64656,63300,64359,64659,66400,64613,64644,65640,64611,64611,36230,6540,70.3,83
7,101208085,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64630,64611,64611,64611,64611,64611,64611,6217,58.4,71
8,101208069,64611,64611,64449,63130,64630,64420,64611,45299,64249,64641,64644,66320,64620,64611,64611,64654,36400,64120,4100,76.3,89
9,102208088,64611,64611,64611,64611,64611,34200,64611,64620,64611,64611,64611,65400,64611,64611,64611,64611,64611,55000,7450,44.0,56
10,102208081,64611,64613,64613,64613,64613,64611,64611,64659,64613,64249,64611,64613,64611,64611,64613,64644,64613,64130,6217,69.0,81
11,102208058,64611,64611,64611,64611,64611,64410,64611,64611,64611,64611,64611,65140,64611,64611,64611,64611,64611,54100,6250,20.9,33
12,102208049,64611,64611,64611,64611,64611,44200,64430,63130,64630,64611,64611,63500,64611,64611,64611,64611,64611,64620,7410,40.9,53
13,102208033,64611,64611,64611,64611,64611,41300,64611,64611,64611,64611,64611,63200,64611,64611,64611,64611,64611,64611,7410,54.9,67
14,102208008,64611,64611,64611,64420,64420,64611,64612,64612,64611,64611,64612,64612,64611,64611,64611,64611,64630,64630,6217,79.7,92
15,101208074,64611,64611,64611,64611,64612,64459,64611,64641,64611,64611,64644,66200,64613,64641,64641,64611,64644,62100,6219,50.6,63
16,99304030,64611,64611,64644,64611,64659,64644,64611,64611,64230,61200,64659,14400,64613,64642,64653,64611,64642,64510,5100,20.1,33
17,99203054,64611,64259,65640,64210,64611,64540,64611,64613,66099,62430,65130,62200,64611,64611,65650,64613,64611,64611,6220,86.7,99
18,103302104,64611,61300,64613,64656,64611,14300,64611,64659,64659,64659,64656,32200,64613,64613,64611,64611,64611,14099,1200,95.8,99
19,103302103,64611,64641,64611,61100,64611,62200,64611,64611,64611,64611,62100,32400,64611,62100,64611,64611,62410,36100,1140,89.0,99
20,102306046,64613,64611,65620,64659,64230,64410,64613,64259,64645,64611,62200,53000,13400,64230,62100,64611,64651,51410,5600,65.1,78
21,102306041,64611,64611,62200,64259,64230,64612,64611,64359,64611,64611,62460,64530,64611,64611,64611,64611,14400,65140,4400,35.6,48
22,102209035,64611,64659,64349,64642,64613,65540,64659,64644,64654,64130,64159,12000,64611,64659,64652,64613,64613,66340,5100,42.3,55
23,102208090,64611,64611,64654,64249,64645,36210,64249,36100,31400,64210,64611,64159,64611,64641,64330,64645,64611,36240,7520,70.9,83
24,102208089,64611,64651,64651,64641,64659,44200,64651,64613,64320,64613,64659,64110,64611,64613,33299,64611,64611,64613,7800,66.1,80
25,102208086,64611,64611,64611,64611,62410,64210,64611,64259,64644,64230,61600,64644,64230,64259,64210,64613,64613,62200,6213,83.5,96
26,102208085,64611,64613,64613,64430,64630,36400,64611,64611,64520,64611,64611,64620,64611,64611,64611,64611,64611,64613,7420,71.8,84
27,102208084,64611,64611,62100,64613,64611,64230,64611,64611,64611,64611,63610,64230,64611,64613,64613,36220,64611,35400,6520,52.3,65
28,102208083,64611,64359,64340,64630,64613,45399,64642,64613,65550,64130,64653,66340,62100,64340,64613,64611,64642,66320,7410,48.2,61
29,102208082,64611,64611,64611,64630,64210,63130,64611,64644,64611,64611,64410,65610,64659,64611,64611,64613,64613,64540,6211,81.2,94
30,102208078,64611,64349,64340,64613,64249,45100,64641,64641,64611,64613,64220,64659,36220,64310,62439,64611,64645,52300,7600,53.3,66
31,102208074,64611,64611,64611,64659,64611,64653,64611,64611,64642,64611,64420,46100,64611,64611,64611,64659,64613,54100,6640,65.6,78
32,102208073,64611,64613,45600,63300,64611,64520,63610,64611,64520,64611,64611,51430,64611,64611,64611,64613,64611,64659,6609,67.4,80
33,102208068,64611,64611,62410,64641,64611,43000,64645,64612,64659,64613,64611,65560,64611,64611,64641,64611,64249,64620,7410,54.4,67
34,102208066,64611,62430,64349,64641,64259,33299,64130,64659,64249,64611,64410,62450,64613,64310,65400,64611,64249,54200,7450,64.2,77
35,102208065,64611,64611,64645,64210,64611,64656,64611,64659,64641,64611,64644,64611,64613,64644,62200,64613,64611,64611,6217,59.2,72
36,102208064,64611,64611,64611,64611,64613,63139,64611,64611,64611,64611,64611,31100,64611,64611,64611,64611,64611,64611,5400,34.1,47
37,102208063,64611,64611,64340,62200,64210,64440,64613,64210,64611,64611,42100,66400,64613,13400,64644,11000,64611,13300,3200,55.3,68
38,102208062,64611,64611,64330,64611,64611,64420,64611,64611,64611,36400,64249,34400,64611,64611,64611,64613,64249,64611,8300,28.2,41
39,102208061,64611,64249,64611,64611,64611,32299,62200,64611,64611,64611,64611,64611,64641,64611,64613,64611,64611,64611,7420,75.7,88
40,102208060,64611,64611,64611,64611,24100,63630,64611,64611,64611,64611,64611,64230,64611,64611,64611,64611,64611,64659,2400,44.1,57
41,102208059,64611,61500,64140,64613,64659,35400,34200,65540,65610,64644,64459,52200,65510,64644,64611,64611,61100,64611,7430,54.2,67
42,102208057,64611,64659,64652,64651,44299,45100,64611,64611,64613,64611,64611,65110,64611,64611,64611,64644,64611,64611,7350,74.8,87
43,102208056,64611,64611,31200,64613,13400,33299,64611,62439,64612,64611,64654,66400,64656,64656,64652,64613,64613,44400,2100,70.5,83
44,102208055,64611,64611,64611,31400,64659,63620,64410,64611,64612,64611,64410,64430,64611,64611,64611,64611,64611,64420,6300,77.9,90
45,102208054,64611,64611,62100,36100,64630,35400,64611,64613,64611,64611,64644,36500,64641,64659,64611,64611,64611,51200,5200,51.6,64
46,102208053,64611,64611,64611,64611,64611,44200,64611,64613,64611,62100,64611,64659,64613,64611,64641,64611,64611,64611,7410,19.1,32
47,102208052,64611,64645,64659,64210,64613,33399,64656,64644,64340,64652,63400,51200,64653,64611,61200,64611,64659,65610,7460,80.0,92
48,102208046,64611,64611,64654,64611,65650,42400,64611,64611,63500,64611,65400,64611,64613,64644,64611,64644,64659,51200,7440,88.1,99
49,102208045,64611,64654,64659,64613,64613,64630,64645,64611,66099,64613,64613,66340,64613,64641,64613,64645,64644,65120,6213,94.4,99
50,102208044,64611,64611,64613,64611,64630,42100,64611,65200,64611,64620,56000,51440,64611,64611,64611,64611,66330,64259,7460,45.8,58
51,102208043,64611,64642,64643,64641,64613,64611,64613,64611,64613,64645,64613,64611,64611,64611,66310,64613,64611,66320,6213,60.3,73
52,102208042,64611,62420,36100,64611,35100,64613,64613,64611,64613,64611,64613,64659,64641,64611,64611,64611,64644,31200,2200,80.5,93
53,102208041,64611,64611,22000,31400,36400,63200,64611,64644,64530,64613,24100,35100,64641,64641,62410,11000,64530,24400,3300,51.2,64
54,102208038,64611,64611,64611,64611,64659,36230,64611,64611,64611,64611,63630,62600,64611,64611,64611,64611,64611,64620,7420,56.0,68
55,102208034,64611,64349,64613,64611,64611,64613,64611,64611,64611,64611,64611,52200,64611,64611,64611,64611,64611,64510,6620,63.6,76
56,102208032,64611,64659,64613,64611,64611,45600,64611,64611,64611,64611,64611,43000,64611,64611,64611,64611,64611,44200,1300,56.0,68
57,102208030,64611,64643,64613,64654,63110,45200,33299,21300,63120,64652,54400,64611,64642,64320,65530,64613,61500,64651,7140,70.2,83
58,102208029,64611,64641,63139,64220,63110,36210,64613,64613,64613,64340,51200,51410,64653,64651,64651,64613,64651,64611,7460,89.7,99
59,102208024,64611,64611,33299,64659,64646,64410,64611,64611,64630,64613,64611,65520,64611,64611,64611,64611,64611,65540,6230,86.4,99
60,102208023,64611,64653,64611,62450,62100,64410,64613,64643,65510,64611,64340,64410,64611,64611,64611,64611,64611,64620,6216,87.2,99
61,102208022,64611,64340,64630,64659,64611,63400,64642,64359,64340,64611,64130,52100,64653,64654,64653,64611,64641,51440,6640,78.9,91
62,102208021,64611,64643,64611,64611,64613,64613,64613,64611,64613,13100,64620,64611,64644,64611,64644,64611,64611,64540,8100,71.6,84
63,102208018,64611,64611,64611,64611,64644,64613,64611,64641,64613,64613,64611,64630,64641,64613,64644,64611,64611,64641,6217,81.7,94
64,102208017,64611,64159,64613,64611,64613,64611,64642,64643,64613,64140,64140,66400,64140,64613,64651,64611,64613,51200,6530,76.4,90
65,102208014,64611,64611,64644,42300,63130,64630,64611,64659,64613,64249,64642,11000,64611,64620,64611,64611,64611,65650,5100,56.7,70
66,102208010,64613,64656,64651,63610,64410,63139,64659,64659,64611,23300,64651,66400,64653,65510,64642,64611,64644,52200,8200,82.4,95
67,102208007,64611,64641,64659,64340,64611,61400,64613,62200,64644,62100,64659,51200,64613,64644,64641,64611,64611,66340,6620,53.7,66
68,102208006,64611,64642,64613,64654,64613,65610,64611,64613,64642,64613,54299,64611,64613,64653,64611,64613,64644,51100,6509,76.9,90
69,102208005,64611,64611,64645,64611,64611,64613,64611,64611,64613,64613,64611,64612,64611,64611,64611,64611,64611,64613,6217,53.6,66
70,102208004,64611,64612,36100,64611,64530,45200,64611,36100,64659,64611,34300,64210,64611,61500,64230,64611,61600,61600,7110,93.7,99
71,102208002,64611,64611,64611,64611,64642,62100,64611,64611,64659,64641,64642,64654,64613,64641,64611,64611,64611,64330,6211,55.8,68
72,102208001,64630,64654,64659,61600,36100,63630,64611,64630,64641,64611,64611,64651,64611,64613,64611,64611,64613,64613,2400,79.3,92
73,102205095,64611,64644,64310,64613,64659,64611,64659,64641,64642,64653,64340,64611,64653,64249,64653,64613,64613,64611,6217,87.2,99
74,102205092,64611,64611,64310,64310,36400,36300,64613,64349,64613,64611,64651,62600,64340,64651,64659,64613,64611,63200,7310,74.7,87
75,102205081,64611,64611,64259,64611,64611,64611,64611,64611,64611,64611,64611,52300,64611,64611,64611,64611,64611,64510,6620,49.7,62
76,102205051,64611,64611,61300,64611,64644,64641,64611,64643,64611,64611,64410,65610,64611,64611,64611,64611,66099,65110,6218,47.6,60
77,102205033,64613,64641,64613,64642,64611,64611,64652,64613,64651,64611,64652,66400,64613,64653,64652,64613,64613,65640,6213,59.5,72
78,102205030,64611,64641,64642,64611,36100,14199,64611,64644,64641,64659,64644,64630,64611,64611,64611,64611,64659,33299,7200,49.5,62
79,102205024,64611,64641,64340,64644,64613,64659,64613,64644,62420,64653,64642,64611,64653,64659,64613,64641,64611,64611,6217,91.3,99
80,102205022,64611,64654,31400,64653,64611,42300,64611,61200,64651,64611,64653,64540,64611,64611,64611,64611,64611,64510,7700,43.6,56
81,102205020,64611,64611,62600,33299,64611,44299,64611,64644,64611,64611,64611,36400,64611,64611,64611,64611,64611,66099,5200,52.3,65
82,102205017,64611,64659,64230,64249,64259,64642,64149,64613,64641,64220,64611,64644,64140,64644,64613,64240,64611,64611,6217,84.9,97
83,102103012,64611,64330,64653,64641,44100,35400,64340,66320,31300,64310,64611,65510,64653,64652,64613,64613,64611,66400,7330,60.0,72
84,101502012,64613,64659,64656,64644,64630,64420,64643,64613,64656,64659,64653,64240,64613,64611,64653,64645,64611,64210,6217,83.7,96
85,101401042,64611,64611,64641,64611,64611,63300,64659,64613,64611,64611,64611,63300,64611,64611,64611,64613,64659,64611,6220,46.8,60
86,101302049,64611,64611,64641,64611,64611,64249,64613,64659,64613,64611,64259,64259,64613,64613,64613,64611,64240,35300,6540,37.0,49
87,101209037,64613,64611,64641,64652,63640,63620,64642,64620,64652,64259,61500,63500,64659,64613,64230,64611,36220,64430,4300,63.2,76
88,101208094,64611,64611,64611,64349,64611,63300,33299,64613,64611,64656,64656,65300,64659,64611,64654,64310,64611,62300,6100,60.5,73
89,101208091,64611,64656,62200,64149,64230,33200,64613,64611,62200,64611,64410,64611,64611,64611,64611,64611,64611,64611,7420,76.5,90
90,101208090,64613,64642,64641,64613,64230,36100,64641,36100,33200,64249,64644,56000,64644,64613,64611,64611,34300,64613,7530,91.6,99
91,101208084,64612,64613,63130,64612,64611,63630,64611,64611,64611,64644,64611,64611,64611,64611,64611,64611,64611,64611,6218,70.7,83
92,101208082,64611,64140,64611,64659,63130,45500,64611,64642,64611,64611,61300,52100,64611,64149,64359,64611,64611,65540,7460,72.1,85
93,101208080,64611,64613,64651,64613,64249,64611,64611,64613,64611,64210,64642,64340,64611,64613,64642,64249,64641,65140,6217,86.3,99
94,101208079,64611,64220,64359,33100,64611,64611,64611,64611,64643,64613,64641,64349,64654,64644,64659,64613,64230,64349,6300,76.9,89
95,101208078,64611,64641,64340,64613,64641,64440,64613,64611,64641,64611,62439,64420,64611,64611,64611,64611,64611,64659,6212,55.0,67
96,101208070,64611,64613,64652,64642,64641,64611,64642,64613,64613,64613,64330,64611,64642,64613,64613,64611,64613,64611,6217,79.8,92
97,101208065,64611,64659,64641,64611,64611,64611,64611,64613,64611,64613,64611,64644,64611,64611,64611,64611,64613,64611,6217,87.4,99
98,101208064,64611,64644,64652,64340,36100,64630,64659,64651,64641,64641,45500,64612,64641,64613,62430,64611,64659,64611,2400,61.4,74
99,101208062,64611,64659,64644,64359,64644,64611,64642,64249,64159,64654,64644,64613,64642,64611,64642,64611,64520,64510,6217,69.2,82
100,101208060,64611,64611,64230,64651,64611,64611,64611,64611,64611,64611,64611,23200,64611,64611,64611,64611,64613,66320,5400,57.4,70
101,101208058,64613,42100,62500,52300,64230,44299,64659,65300,64611,64359,62500,46400,11000,64653,64644,64611,64613,65120,5300,88.9,99
102,101208056,64611,64656,64654,64643,62100,64613,64611,64611,64611,64611,62439,44100,64611,64611,64613,64611,62200,64611,6620,66.6,80
103,101208055,64611,64611,64613,63610,64612,64630,64611,44200,64659,64611,64611,65510,64611,64611,64611,64611,64620,64520,6240,66.9,79
104,101208054,64611,64653,64643,64613,63300,62300,64644,64611,64645,64645,64611,45200,64611,64644,64645,64611,64613,64613,6620,67.1,80
105,101208053,64611,64359,64656,64613,64613,64613,64643,64654,64611,64611,64643,64613,64659,36100,64613,33399,64613,64611,6400,69.4,82
106,101208052,64611,64349,64359,64652,64630,36600,64349,64613,64330,31400,64359,41200,64330,64259,64656,64611,64644,62439,8400,70.7,83
107,101208050,64611,64641,61600,64653,64611,42200,64249,64613,64611,64611,64659,53000,64611,64611,64611,64611,64641,64620,7460,79.2,92
108,101208034,64611,64643,64656,64613,64646,64611,64641,64613,64613,64613,64651,64611,64651,64651,64653,64613,64613,64641,6217,83.2,96
109,101208031,64611,64611,64653,64320,64630,64449,64611,64659,35200,64613,64659,64641,64613,64641,64613,64611,64611,64611,6260,53.7,66
110,101208025,64611,64611,62600,61600,64611,44200,64644,64611,64611,64611,33200,32100,64611,64611,64611,64611,64611,36100,1400,29.9,42
111,101208017,64611,64611,62410,64220,45200,62410,64644,64611,64611,64611,64611,51200,64611,64340,64611,64611,64611,65630,6629,40.9,53
112,101208015,64611,64611,64611,64611,61500,62500,64611,64611,64611,64611,64611,42100,64611,64611,64611,64611,64641,65530,5400,63.0,75
113,101208013,64611,64611,64611,64613,64230,64642,64651,64613,64613,64642,64611,61100,64611,64611,64611,64611,64611,64611,6220,37.8,50
114,101208008,64611,64611,64611,64611,64230,64659,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64540,6217,49.6,62
115,101208005,64611,64611,64611,64611,34100,64611,64611,64641,64611,64611,64611,65660,64611,64611,64611,64420,64611,64349,2400,56.6,69
116,101208004,64611,64642,64653,64310,64644,64249,64611,64611,64611,64611,64613,63139,64641,64645,64641,64611,64611,64611,6220,90.7,99
117,101208003,64611,64611,64611,64611,64611,65640,64611,64611,64611,64611,64611,65550,64611,64611,64611,64611,64611,64611,6217,19.9,32
118,101208002,64611,61600,34300,64611,33299,64612,64611,64611,64611,64611,64611,65300,64613,64611,64611,62410,64641,64613,2300,74.9,87
119,101205093,64613,64653,64652,62100,64259,64230,64611,64611,64611,64641,63300,21200,62410,64659,64510,64611,64611,42200,1119,49.2,62
120,101205043,64641,64653,64611,64642,64613,63610,64611,64611,62450,64613,64611,64630,64340,64641,64611,64611,64611,45500,6530,51.3,64
121,101205029,64611,64249,65610,64613,64659,36210,64642,64611,64520,64249,66400,36600,64611,66400,65550,64644,64641,64611,5500,72.3,85
122,101204026,64611,64259,64659,36400,64259,64613,64613,64613,64359,64611,42100,64520,62100,64359,64613,64613,64611,54400,6300,79.0,91
123,101203054,64611,64653,64611,66099,64613,64659,64611,64613,61500,64611,64659,54400,64611,64611,64613,64611,64611,64611,6620,76.2,90
124,101203004,64611,64611,64611,64652,64644,64644,64613,64613,64659,64611,64340,64611,64611,64611,64645,64641,64643,64611,6217,43.8,56
125,101103034,64611,64653,64611,64651,64613,64645,64611,64349,65110,64611,64645,31400,64611,64349,64611,64613,64659,36300,1140,47.7,60
126,101102026,64611,64611,64645,64641,64644,62420,64611,64611,64611,64611,64611,62500,64611,64611,64611,64611,64611,64249,6220,52.1,65
127,101102025,64611,64613,64643,64259,62200,36100,64641,62100,64641,64654,64613,64230,64611,64659,64349,64642,64340,61200,7420,81.7,94
128,101101050,64611,64646,64659,64613,64641,64611,64659,64611,64659,64613,64645,64611,64613,64613,64641,64611,64613,64611,6217,68.8,81
129,100508018,64611,64653,61500,64149,36100,64641,64641,64613,64642,64659,64340,64349,64613,64613,64611,62100,13400,64613,4200,73.1,86
130,100401072,64611,64611,64643,64654,64259,63130,64659,64611,64410,64249,63630,51300,64611,64659,66400,64645,13200,65400,4400,68.1,81
131,100401044,64611,64611,64359,64611,64613,65200,64359,64630,64611,64611,64611,52400,64611,64613,64611,64611,35300,66320,4300,65.7,78
132,100208053,64611,64130,64611,64641,64613,64420,64613,64613,64613,64611,64613,63130,64611,64645,64644,64611,64210,64611,6220,83.8,96
133,100206009,64611,64611,64410,64611,64410,65200,64611,61500,64611,64613,64611,65610,64259,64645,64520,64659,64659,64130,6215,88.1,99
134,100202044,64611,64611,64659,62200,64644,64611,64641,64613,64659,64613,61100,36220,64611,64641,64659,64641,64611,14400,1130,54.2,67
135,100104041,64611,64659,64651,64613,64643,64611,64230,64642,63200,62100,61600,64613,64330,64659,64349,64349,64613,33200,6540,81.4,94
136,100101021,64611,64659,64340,64659,64349,64259,64654,64644,64340,64656,64654,64410,64654,64130,64349,64259,64430,64611,6217,85.8,98
