id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week2,week3,week4,week5,week6,week7,week8,week9,clustered_label
101208087,32413,32413,32413,44200,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,0.93
102205089,32413,32413,32413,32414,32413,32413,32413,32413,32413,32411,32413,32413,32413,32413,32413,32413,32413,32413,0.436
101208066,32413,32413,32414,32413,32413,32413,32413,32413,34300,32413,32413,32413,32411,32411,32413,32413,32413,32414,0.436
101208030,32413,32414,32413,32413,32413,32414,32413,32413,32413,32413,32429,32414,32413,32413,32413,32414,32413,32413,0.436
102208075,32413,32413,32413,43000,32413,32413,32413,32413,32413,43000,32413,32413,32299,32413,24400,32413,32413,32413,0.92
102205037,32413,32414,33100,43000,32413,32413,32413,32413,32414,32229,32413,32413,32413,32413,32413,32413,32413,32413,0.93
102104031,32413,32429,32414,32220,32413,32413,32440,32413,32413,34400,32413,32414,32413,33200,32413,32413,32414,33200,0.434
101208085,32413,32413,32413,32411,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,0.436
101208069,32413,32413,32413,32240,32413,32413,32413,32414,34300,32429,32413,32420,33100,32420,32420,32413,24400,32414,0.44
102208088,32413,32413,32413,32229,32413,32413,32413,32413,32413,41000,32413,32413,32413,32413,31200,32413,32414,32413,0.84
102208081,32413,32414,32413,32413,32413,32413,32413,32413,32413,32429,32413,32413,32413,32413,32413,32413,32414,32413,0.436
102208058,32413,32413,32413,32240,32413,32413,32413,32413,32413,41000,32413,32413,32413,32413,32420,32413,32413,32413,0.84
102208049,32413,32413,32413,33299,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,24100,32420,33100,32411,0.63
102208033,32413,32413,32413,33100,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,21000,32413,32413,32413,0.63
102208008,32413,32413,32413,32413,32413,32413,32413,32413,32411,32411,32413,32413,32420,32420,32413,32413,32413,32413,0.436
101208074,32413,32413,32413,43000,32413,32413,32413,32413,32413,32100,32413,32413,32413,32413,32420,32413,32413,32413,0.93
99304030,32413,32299,32414,11199,32413,32413,32413,32413,32413,32440,32413,32413,32413,32414,32413,32413,32413,32411,0.31
99203054,32413,32100,32240,32100,32413,32413,32440,32413,32413,32413,32411,32440,32100,32413,32414,32413,32413,43000,0.42
103302104,32413,32414,32414,13100,32413,32413,32413,32413,32413,11400,32299,32413,32414,32413,11199,32413,32414,32414,0.2
103302103,32413,32413,34400,13100,32413,32100,32413,32413,32100,34400,32413,32413,32299,32413,32100,32413,32413,32413,0.31
102306046,32413,32413,32100,44299,13400,32411,32100,32413,32413,43000,32413,32440,32414,32411,32420,32413,32411,32414,0.96
102306041,32413,32413,32100,32411,32413,32413,32413,32413,11199,32240,32413,32100,32411,32411,32413,32413,32429,32413,0.7
102209035,32413,32429,32299,11300,32413,32414,32413,32413,32413,32240,32414,32414,32413,32413,32210,32414,32413,32414,0.31
102208090,32413,32411,32413,32429,32413,32413,32429,32413,32413,34400,32413,32414,32414,32414,34400,32414,34400,31100,0.435
102208089,32413,32413,32414,32429,32413,32413,34300,32413,32413,32413,32413,32413,32413,32414,24100,32413,32413,32429,0.63
102208086,32413,32411,32299,32413,32411,32411,32100,32413,32413,32100,32413,32413,32413,32100,32100,32413,32411,32413,0.436
102208085,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32420,32411,34300,32413,32413,32413,0.435
102208084,32413,32413,33399,32411,32413,32413,32413,34400,32413,34100,32413,34400,32413,32413,32411,32413,32413,32413,0.434
102208083,32413,32429,32414,32240,32100,32414,32413,32413,32413,32240,32429,32414,32411,32413,24400,32413,32413,32210,0.63
102208082,32413,32413,32420,32440,32414,32413,32413,32413,32413,32414,32413,32413,32411,32100,33100,32413,32413,32413,0.436
102208078,32413,32413,32429,32414,34400,32414,32100,32413,32414,44100,32414,32414,32413,32414,24400,32413,32413,32413,0.82
102208074,32413,32413,32420,22000,32413,32413,32413,32414,32413,41000,32413,32413,32414,32413,32413,32413,32413,32413,0.85
102208073,32413,32413,32413,43000,32413,32413,32413,32413,32413,32414,32413,24400,33200,32413,32440,33399,32413,32413,0.93
102208068,32413,32413,32413,32210,32413,32413,32413,32413,32411,32413,32413,32100,32413,32413,24300,32413,32413,32414,0.63
102208066,32413,32413,32420,32100,32413,32414,32299,32413,32414,41000,32100,32414,32413,32411,34300,32429,32414,32414,0.84
102208065,32413,32413,32413,32413,32413,32413,32100,32413,32413,32413,32413,32414,32100,32413,32414,32413,32414,32413,0.436
102208064,32413,32413,32413,31400,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,33100,32413,32413,32413,0.436
102208063,32413,32413,23000,32220,32413,13400,32413,11100,32413,13400,32413,32414,32100,32411,32420,32413,32411,32413,0.1
102208062,32413,34300,32411,31200,32413,32413,32413,32413,32414,32413,32413,32429,32413,32413,32420,32413,32413,32413,0.436
102208061,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32411,32413,32413,32413,13100,32100,32413,32413,0.64
102208060,32413,32413,32413,32411,32413,32413,32413,32413,32413,32414,32413,32413,32413,31300,33200,32413,32413,32413,0.436
102208059,32413,32413,32420,44100,32440,32413,32413,32413,31200,32413,32299,32429,32413,32414,34100,31200,32210,32440,0.93
102208057,32413,32413,32413,32210,32413,32413,32413,32413,32413,32413,32414,32414,32413,24100,24200,32413,32413,32413,0.61
102208056,32413,32413,32414,32220,32414,32414,32413,32413,32413,24100,32413,31400,32413,13400,34300,32413,32100,32413,0.5
102208055,32413,32413,32420,32420,32413,32413,32413,32413,32413,32420,32413,32413,31100,32414,33399,32420,32413,32413,0.436
102208054,32413,32413,32413,33399,32413,32414,32413,32413,32413,44200,32413,32100,34400,32411,34100,32413,32413,32413,0.84
102208053,32413,32100,32413,32414,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,24100,32413,32413,32413,0.63
102208052,32413,32413,33200,44200,32414,32413,32299,32413,32414,32440,32413,32414,32411,32413,13200,32414,32413,32414,0.64
102208046,32413,32413,32229,32413,32413,32413,32413,32413,32414,44200,32413,32414,32413,32440,23000,32413,32413,33299,0.82
102208045,32413,32413,32413,32240,32413,32413,32413,32413,32413,32240,32414,32414,32413,32413,32411,32413,32413,43000,0.42
102208044,32413,32413,42000,43000,32413,32413,32413,32413,32240,32411,32413,32413,32413,32411,23000,32413,33299,32413,0.91
102208043,32413,32414,32413,32413,32413,32413,32240,32413,32413,32220,32413,32414,32413,32413,32413,32413,32413,32413,0.436
102208042,32413,32413,32413,32414,32413,32413,32413,32413,32413,31400,32100,34400,32413,34100,32413,32413,32413,32413,0.433
102208041,32413,32413,31300,34100,32413,32413,32100,11100,32420,31300,32413,14000,31100,34300,33100,32413,32413,32411,0.1
102208038,32413,32413,33200,32100,32413,32413,32413,32413,32413,32413,32413,32413,32413,32414,34400,32413,32413,32413,0.435
102208034,32413,32413,32413,44100,32413,32413,32413,32413,32413,32440,32414,32413,32413,32413,32413,32413,32413,32413,0.93
102208032,32413,32413,32413,24300,32413,32413,32413,32413,32413,24100,32414,32413,32413,32413,24400,32413,32413,32413,0.2
102208030,32413,32414,41000,32413,32413,32429,32210,32413,32299,32413,32414,32413,32414,33100,24200,34300,12000,33100,0.62
102208029,32413,32414,44200,43000,32413,32413,32413,32413,32413,32413,32413,33100,32411,33100,34400,32413,32413,32413,0.93
102208024,32413,32413,32413,32440,32413,32413,32413,32413,32413,32210,32413,34300,32414,32414,32420,32413,32413,32411,0.433
102208023,32413,32413,32414,32420,32413,32413,32413,32413,32413,32413,32414,32413,32100,32100,32420,32413,32414,32440,0.436
102208022,32413,32413,32429,44100,32414,32414,32413,32413,32413,43000,32414,32411,32414,32413,33200,32413,32429,32414,0.92
102208021,32413,13300,32413,32413,32413,32413,32413,32413,32413,32413,32414,32413,32413,32413,32413,32413,32413,32413,0.41
102208018,32413,32413,32413,32411,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,0.436
102208017,32413,32429,32429,32220,32429,32413,32413,32413,32413,43000,32429,32413,32413,32413,32413,32413,32414,32413,0.84
102208014,32413,32411,32413,11100,32413,32413,32413,32413,32413,32440,32413,32413,23000,33100,32411,32413,32414,32413,0.31
102208010,32413,14000,32413,32220,32413,32440,32413,32413,32413,44100,32414,32413,33399,32420,33100,32414,32414,32413,0.81
102208007,32413,34400,32414,44200,32413,32413,32413,32413,32413,32240,32413,32414,32414,32413,32299,32413,32100,32413,0.93
102208006,32413,32413,41000,32413,32413,32413,32413,32413,32413,44200,32413,32413,32414,32413,32440,32413,32413,32413,0.83
102208005,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32414,32413,32413,32413,32413,32413,32413,0.436
102208004,32413,32413,31200,32411,32413,32299,32411,32413,32299,32299,32413,34400,32413,32420,24200,32413,34400,32414,0.63
102208002,32413,32413,32413,32414,32413,32413,32413,32413,32413,32429,32413,32413,32413,32413,34400,32413,32413,32414,0.435
102208001,32411,32413,32413,32413,32413,32413,32413,32413,32413,32413,32414,32414,32299,34400,33200,32413,32420,32413,0.433
102205095,32413,32413,32414,32413,32414,32414,32414,32413,32413,32413,32413,32414,32413,32414,32413,32414,32413,32413,0.436
102205092,32413,32413,32413,32100,32414,32413,32414,32413,32413,33100,32413,32414,32414,34300,34400,32413,32414,32413,0.435
102205081,32413,32413,32413,44200,32413,32413,32413,32413,32413,32440,32413,32411,32413,32413,32413,32413,32413,32413,0.93
102205051,32413,32413,32420,32440,32413,32413,32413,32413,43000,32210,32413,32299,32413,32413,32413,32413,32414,32413,0.46
102205033,32413,32413,32413,32220,32413,32413,32413,32413,32413,32440,32413,32413,32413,32413,32413,32413,32413,32413,0.436
102205030,32413,32414,32413,32411,32413,32413,32413,32413,32414,34300,32413,32413,32413,34400,13300,32413,32413,32413,0.64
102205024,32413,32413,32413,32413,32414,32414,32413,32413,32413,32413,32413,32414,32413,32413,32414,32413,32413,32100,0.436
102205022,32413,32413,32413,32413,32413,32413,32413,32413,32413,32440,32411,31100,32413,32413,23000,32413,32299,32413,0.63
102205020,32413,32413,32413,34300,32413,32413,32413,32413,32413,43000,32413,32100,34300,32413,24100,32413,32413,32413,0.82
102205017,32413,32100,32413,32413,32429,32413,32413,32411,32413,32413,32414,32411,32414,32411,32413,32429,32413,32413,0.436
102103012,32413,32414,32413,32210,32414,32414,32413,32413,32413,32220,32429,32413,32413,23000,34100,32414,32240,43000,0.5
101502012,32413,32414,32414,32411,32413,32413,32414,32414,32413,32411,32414,32414,32413,32411,32420,32414,32413,32414,0.436
101401042,32413,32413,32413,33200,32413,32413,32413,32413,32414,32413,32413,32413,32413,32413,33100,32414,32413,32413,0.436
101302049,32413,32413,32411,32411,32413,32413,32413,32413,32411,34100,32413,32413,32413,32413,32414,32413,32414,32413,0.434
101209037,32413,32411,32299,33299,32414,32413,32411,32413,34400,32420,32413,32413,32414,33200,33399,32413,32413,32413,0.435
101208094,32413,32414,32414,32440,32414,32413,32414,32414,32413,32100,32413,32413,32414,32413,33200,34300,32413,32413,0.436
101208091,32413,32413,32420,32413,32413,32413,32413,32413,32413,32413,32414,32100,32429,32411,13200,32413,32413,32100,0.64
101208090,32413,32411,32413,42000,32413,32413,32413,32413,31200,32413,32413,32413,32413,32411,34400,32413,34400,13200,0.94
101208084,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,33100,32413,32413,33200,32413,32413,32413,0.436
101208082,32413,32413,32299,44100,32413,32429,32429,32413,32413,32210,32429,32413,32414,33100,24400,32413,32413,32413,0.91
101208080,32413,32100,32413,32414,32413,32413,32413,32414,32413,32240,32413,32413,32413,32414,32413,32413,32413,32413,0.436
101208079,32413,32413,32413,32414,32414,32413,32414,32413,32411,32414,32429,32429,34300,32413,32413,32413,32413,32414,0.436
101208078,32413,32413,32100,32420,32413,32413,32413,32413,32413,32414,32413,32414,32413,32413,32420,32413,32413,32413,0.436
101208070,32413,32413,32429,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,0.436
101208065,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32414,32413,32413,32413,32413,32413,32413,32413,0.436
101208064,32413,32413,24400,32413,32413,32413,32100,32413,32414,32413,32413,32413,32414,34400,32411,32414,32413,32413,0.431
101208062,32413,32414,32413,32413,32413,32413,32413,32413,32440,32440,32414,32413,32429,32413,32413,32413,32411,32429,0.436
101208060,32413,32413,32413,14000,32413,32413,32413,32413,32413,32240,32413,32411,32413,32413,32413,32413,32413,32413,0.31
101208058,32413,32429,32100,22000,11100,32413,32413,32413,32413,32240,23000,32100,44100,32411,24100,32414,32440,32413,0.34
101208056,32413,32413,32100,23000,32413,32413,32413,32413,32100,32413,32414,32414,32414,34400,32413,32413,32413,32413,0.33
101208055,32413,32413,32413,32440,32413,32413,32413,32413,32413,32440,32413,32413,33399,32413,32411,32413,24100,32414,0.44
101208054,32413,32414,32413,24200,32413,32413,32414,32413,32413,32413,32413,32414,32413,33200,34400,32413,32413,32414,0.432
101208053,32413,32413,32414,32413,32414,34400,32413,13200,32413,32413,32429,32414,32413,32413,32413,32414,32414,32413,0.1
101208052,32413,31100,32429,21000,32429,32411,32414,32413,32413,32100,32414,32429,32413,32411,34200,32414,32413,32429,0.33
101208050,32413,32413,32414,44299,32413,32413,32413,32413,32413,32413,32413,32299,32413,32413,23000,32414,32413,32413,0.91
101208034,32413,32413,32413,32413,32413,32413,32414,32413,32413,32413,32414,32414,32413,32413,32413,32413,32413,32413,0.436
101208031,32413,32413,32414,32413,32413,32413,32413,32413,32413,32413,32413,32414,32429,32411,32100,32413,32414,34200,0.436
101208025,32413,32413,13200,13100,32413,32413,32413,32413,32413,34400,32413,32100,32299,32413,24100,32413,32413,32413,0.32
101208017,32413,32413,32413,43000,32413,32414,32413,32413,32413,32440,32413,32100,32411,24200,32100,32413,32413,32413,0.93
101208015,32413,32413,32413,23000,32413,32413,32413,32413,32413,32210,32413,32413,32413,32299,32100,32413,32413,32413,0.33
101208013,32413,32413,32413,32299,32413,32413,32413,32413,32413,32413,32413,32413,32413,32411,32413,32413,32413,32413,0.436
101208008,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32411,32414,32413,32413,32413,0.436
101208005,32413,32413,32413,32299,32413,32413,32413,32420,32413,32414,32413,32413,32413,31200,32413,32413,32413,32413,0.436
101208004,32413,32413,32413,33100,32413,32413,32413,32413,32413,32413,32413,32413,32414,32413,32414,32413,32413,32413,0.436
101208003,32413,32413,32413,32210,32413,32413,32413,32413,32413,32413,32413,32413,32413,32413,32440,32413,32413,32413,0.436
101208002,32413,32413,32413,32440,32413,32413,32413,32100,32413,32413,32299,31200,32413,34300,32413,32413,32413,32413,0.436
101205093,32413,32413,33200,12000,32100,32414,32440,32413,32413,23000,32414,32413,32100,32411,32411,32413,32413,32413,0.31
101205043,32413,32413,32413,32411,32414,32413,32413,32413,32413,24400,32413,32413,32413,32413,33399,32413,32413,32100,0.45
101205029,32413,32414,32220,34200,32413,32220,32210,32413,32413,32413,32414,32440,32413,32414,34400,32413,32413,32440,0.435
101204026,32413,32413,23000,32440,34400,32429,32413,32413,32413,41000,32411,32414,34300,32411,32413,32413,32413,32429,0.86
101203054,32413,32413,32414,41000,32413,32413,32413,32413,32413,32413,32414,32413,43000,32413,32414,32413,32413,32299,0.95
101203004,32413,32413,32414,32413,32413,32413,32414,32413,32414,32413,32413,32413,32413,32413,32413,32413,32413,32414,0.436
101103034,32413,32413,32413,31100,32413,32414,32413,32413,32414,34400,32413,32413,32413,32413,32413,32413,32414,32210,0.434
101102026,32413,32413,32413,32100,32413,32413,32413,32413,32413,32414,32413,32414,32413,32413,32100,32413,32413,32413,0.436
101102025,32413,32414,32413,32411,32413,32414,32414,32413,32414,32299,32413,32414,32411,32100,34400,32413,32100,32413,0.435
101101050,32413,32413,32414,32413,32413,32413,32413,32413,32413,32413,32414,32414,32413,32413,32413,32414,32413,32414,0.436
100508018,32413,32414,32414,32414,32413,32413,32413,32100,13400,32413,32414,32299,32429,34400,32413,32413,32413,32413,0.7
100401072,32413,32414,33200,43000,32413,32414,32220,32413,13400,32229,32413,32414,32414,32411,33100,32414,32413,32420,0.7
100401044,32413,32413,32413,44400,32413,32413,32413,32413,34100,32240,32413,32429,32413,32413,33299,32429,32411,32413,0.93
100208053,32413,32413,32413,33100,32413,32414,32413,32413,32411,32413,32429,32413,32413,32413,32420,32413,32413,32413,0.436
100206009,32413,32413,32413,32440,32411,32414,32440,32414,32414,32429,32413,32420,32413,32420,32240,32413,32299,32413,0.436
100202044,32413,32413,31200,34400,32413,32413,32414,32413,32413,11199,32413,32414,32100,32413,32413,32413,32413,32414,0.2
100104041,32413,34400,32299,32413,32429,32414,32414,32414,32413,13200,32414,32413,32413,32414,32413,32411,32413,33100,0.2
100101021,32413,32414,32414,32420,32414,32429,32414,32411,32420,32413,32414,32414,32414,32414,32411,32414,32413,32414,0.436
