id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week2,week3,week4,week5,week6,week7,week8,week9
101208087,0.64611,0.64611,0.64611,0.512,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611
102205089,0.64611,0.64611,0.64611,0.6435,0.64651,0.64614,0.64613,0.64611,0.64611,0.6423,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611
101208066,0.64611,0.64613,0.6466,0.64611,0.64645,0.64645,0.64613,0.64645,0.333,0.64613,0.64611,0.64611,0.6426,0.6423,0.64611,0.64611,0.64611,0.6466
101208030,0.64611,0.6435,0.64611,0.64611,0.64642,0.6434,0.64651,0.64614,0.64611,0.64611,0.6433,0.64652,0.64611,0.64614,0.64611,0.64653,0.64611,0.64611
102208075,0.64611,0.64611,0.64611,0.662,0.64611,0.64611,0.64613,0.64611,0.64611,0.5143,0.64611,0.64611,0.613,0.64641,0.456,0.64641,0.64613,0.64613
102205037,0.64611,0.6435,0.6314,0.513,0.64611,0.64611,0.64611,0.64611,0.6434,0.654,0.64611,0.64611,0.64611,0.64611,0.64614,0.64611,0.64611,0.64611
102104031,0.64611,0.6436,0.6466,0.664,0.64613,0.64644,0.6564,0.64611,0.64611,0.3623,0.64642,0.6466,0.64644,0.633,0.64612,0.64614,0.64656,0.633
101208085,0.64611,0.64611,0.64611,0.6463,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611
101208069,0.64611,0.64641,0.64644,0.6632,0.6462,0.64611,0.64611,0.64654,0.364,0.6412,0.64611,0.6445,0.6313,0.6463,0.6442,0.64611,0.453,0.6425
102208088,0.64611,0.64611,0.64611,0.654,0.64611,0.64611,0.64611,0.64611,0.64611,0.55,0.64611,0.64611,0.64611,0.64611,0.342,0.64611,0.6462,0.64611
102208081,0.64611,0.6425,0.64611,0.64613,0.64611,0.64611,0.64613,0.64644,0.64613,0.6413,0.64613,0.64614,0.64613,0.64613,0.64611,0.64611,0.6466,0.64613
102208058,0.64611,0.64611,0.64611,0.6514,0.64611,0.64611,0.64611,0.64611,0.64611,0.541,0.64611,0.64611,0.64611,0.64611,0.6441,0.64611,0.64611,0.64611
102208049,0.64611,0.64611,0.64611,0.635,0.64611,0.64611,0.64611,0.64611,0.64611,0.6462,0.64611,0.64611,0.64611,0.64611,0.442,0.6443,0.6313,0.6463
102208033,0.64611,0.64611,0.64611,0.632,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.64611,0.413,0.64611,0.64611,0.64611
102208008,0.64611,0.64611,0.64612,0.64612,0.64611,0.64611,0.64611,0.64611,0.6463,0.6463,0.64611,0.64611,0.6442,0.6442,0.64611,0.64612,0.64612,0.64611
101208074,0.64611,0.64611,0.64644,0.662,0.64613,0.64641,0.64641,0.64611,0.64644,0.621,0.64611,0.64611,0.64611,0.64612,0.6446,0.64611,0.64641,0.64611
99304030,0.64611,0.612,0.6466,0.144,0.64613,0.64642,0.64653,0.64611,0.64642,0.6451,0.64611,0.64644,0.64611,0.6466,0.64644,0.64611,0.64611,0.6423
99203054,0.64611,0.6243,0.6513,0.622,0.64611,0.64611,0.6565,0.64614,0.64611,0.64611,0.6426,0.6564,0.6421,0.64611,0.6454,0.64611,0.64613,0.661
103302104,0.64611,0.6466,0.64656,0.322,0.64613,0.64613,0.64611,0.64611,0.64611,0.141,0.613,0.64614,0.64656,0.64611,0.143,0.64611,0.6466,0.6466
103302103,0.64611,0.64611,0.621,0.324,0.64611,0.621,0.64611,0.64611,0.6241,0.361,0.64641,0.64611,0.611,0.64611,0.622,0.64611,0.64611,0.64611
102306046,0.64613,0.64611,0.622,0.53,0.134,0.6423,0.621,0.64611,0.64651,0.5141,0.64611,0.6562,0.6466,0.6423,0.6441,0.64613,0.6426,0.64645
102306041,0.64611,0.64611,0.6246,0.6453,0.64611,0.64611,0.64611,0.64611,0.144,0.6514,0.64611,0.622,0.6426,0.6423,0.64612,0.64611,0.6436,0.64611
102209035,0.64611,0.6413,0.6416,0.12,0.64611,0.6466,0.64652,0.64613,0.64613,0.6634,0.6466,0.6435,0.64642,0.64613,0.6554,0.6466,0.64644,0.64654
102208090,0.64611,0.6421,0.64611,0.6416,0.64611,0.64641,0.6433,0.64645,0.64611,0.3624,0.64611,0.64655,0.6425,0.64645,0.3621,0.6425,0.361,0.314
102208089,0.64611,0.64614,0.6466,0.6411,0.64611,0.64613,0.333,0.64611,0.64611,0.64613,0.64651,0.64651,0.64641,0.6466,0.442,0.64651,0.64613,0.6432
102208086,0.64611,0.6423,0.616,0.64644,0.6423,0.6426,0.6421,0.64613,0.64613,0.622,0.64611,0.64611,0.64611,0.6241,0.6421,0.64611,0.6426,0.64644
102208085,0.64611,0.64611,0.64611,0.6462,0.64611,0.64611,0.64611,0.64611,0.64611,0.64614,0.64613,0.64614,0.6443,0.6463,0.364,0.64611,0.64611,0.6452
102208084,0.64611,0.64611,0.6361,0.6423,0.64611,0.64613,0.64613,0.3622,0.64611,0.354,0.64611,0.621,0.64613,0.64611,0.6423,0.64611,0.64611,0.64611
102208083,0.64611,0.6413,0.64653,0.6634,0.621,0.6434,0.64613,0.64611,0.64642,0.6632,0.6436,0.6434,0.6463,0.64613,0.454,0.64642,0.64613,0.6555
