,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,cluster,cluster_count,mean,std
0,0,0,0,0,0,0,0.12,0.63,0,0.25,10,4,80.5,11.84271928
1,0,0,0,0,0,0,0,0,0.333333333,0.666666667,12,3,90,0.816496581
2,0,0,0,0,0,0.166666667,0.5,0.166666667,0,0.166666667,13,6,69.16666667,11.2014384
3,0,0,0,0,0.25,0,0,0.25,0.5,0,14,4,70.5,13.72042273
4,0,0,0,0,0.5,0,0,0,0.5,0,15,2,62,21
5,0,0,0,0,0.333333333,0,0,0,0.666666667,0,16,3,71.66666667,16.85889149
6,0,0,0,0,0,0,0,0.75,0.25,0,17,4,80,5.244044241
7,0,0,0,0,0,1,0,0,0,0,18,1,53,0
8,0,0,0,0,0,0.333333333,0,0,0.333333333,0.333333333,19,3,78.33333333,17.59419096
9,0,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,20,3,81.66666667,11.95361405
10,0,0,0,0,0,0,0,0,0,1,21,1,99,0
11,0,0,0,0,0,0.25,0.25,0.25,0,0.25,23,4,73,12.58967831
12,0,0,0,0,0,0,0,0,0.666666667,0.333333333,24,3,87.66666667,4.109609335
13,0,0,0,0,0,0,0,0,1,0,26,1,83,0
14,0,0,0,0,0,0,0.5,0,0,0.5,27,2,80.5,18.5
15,0,0,0,0,0,0,0,0.333333333,0.666666667,0,28,3,82,7.071067812
16,0,0,0,0,0,0,0.3333,0,0.333333333,0.333333333,30,6,72,17.23046398
17,0,0,0,0,0,0,1,0,0,0,31,1,64,0
18,0,0,0,0,0,0,1,0,0,0,32,2,64.5,0.5
19,0,0,0,0,0,0.2,0,0,0.2,0.6,33,5,85.2,14.30244734
20,0,0,0,0,0,0,1,0,0,0,34,1,67,0
21,0,0,0,0.1,0,0.1,0.4,0,0.2,0.2,35,10,70.4,18.24938355
22,0,0,0,0,0.2,0,0.6,0,0,0.2,36,5,66,18.53645058
23,0,0,0,0.25,0,0.25,0,0.5,0,0,37,4,57,15.14925741
24,0,0,0,0,0,0,0.5,0,0.5,0,38,2,76.5,8.5
25,0,0,0,0,0,0,0,0,1,0,39,1,80,0
26,0,0,0,0,0,0.166666667,0.166666667,0.333333333,0.166666667,0.166666667,40,6,65,13.47528602
27,0,0,0,0,0,0,1,0,0,0,50,1,68,0
28,0,0,0,0,0,0,0,1,0,0,60,1,73,0
29,0,0,0,0.025,0,0.05,0.2,0.1,0.1,0.525,70,40,70,17.33320513
30,0,0,0,0.333333333,0,0,0,0,0,0.666666667,80,3,71,26.87005769
31,0,0,0,0,0,0,0,0.5,0,0.5,90,2,84.5,6.5
