id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week2,week3,week4,week5,week6,week7,week8,week9
101208087,0.62,0.62,0.62,0.5,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
102205089,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
101208066,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.3,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
101208030,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
102208075,0.62,0.62,0.62,0.66,0.62,0.62,0.62,0.62,0.62,0.5,0.62,0.62,0.64,0.62,0.4,0.62,0.62,0.62
102205037,0.62,0.62,0.61,0.5,0.62,0.62,0.62,0.62,0.62,0.65,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
102104031,0.62,0.62,0.62,0.66,0.62,0.62,0.65,0.62,0.62,0.3,0.62,0.62,0.62,0.61,0.62,0.62,0.62,0.61
101208085,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
101208069,0.62,0.62,0.62,0.66,0.62,0.62,0.62,0.62,0.3,0.62,0.62,0.62,0.61,0.62,0.62,0.62,0.4,0.62
102208088,0.62,0.62,0.62,0.65,0.62,0.62,0.62,0.62,0.62,0.5,0.62,0.62,0.62,0.62,0.3,0.62,0.62,0.62
102208081,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
102208058,0.62,0.62,0.62,0.65,0.62,0.62,0.62,0.62,0.62,0.5,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
102208049,0.62,0.62,0.62,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.4,0.62,0.61,0.62
102208033,0.62,0.62,0.62,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.4,0.62,0.62,0.62
102208008,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
101208074,0.62,0.62,0.62,0.66,0.62,0.62,0.62,0.62,0.62,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
99304030,0.62,0.64,0.62,0.1,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
99203054,0.62,0.63,0.65,0.63,0.62,0.62,0.65,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.66
103302104,0.62,0.62,0.62,0.3,0.62,0.62,0.62,0.62,0.62,0.1,0.64,0.62,0.62,0.62,0.1,0.62,0.62,0.62
103302103,0.62,0.62,0.63,0.3,0.62,0.63,0.62,0.62,0.63,0.3,0.62,0.62,0.64,0.62,0.63,0.62,0.62,0.62
