id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,66,62,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,30,62,62,62,62,62,62,62,62,62,62,62,62,62,30,40
none,62,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,30,62,62,62,30
none,62,62,63,62,62,62,62,64,30,30,62,62,62,62,61,30,62,62,10
none,62,62,62,62,62,62,62,62,61,40,62,61,62,62,61,62,62,62,60
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,66,62,62,62,62,62,50,62,62,66,62,10,64,62,61,10
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,64,62,50,62,62,65,62,62,62,62,62,62,62,62,30,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,30,62,62,62,30
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,36
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,19
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,17
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,30,62,62,62,30
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,66,62,62,62,62,62,50,62,62,66,62,10,64,62,61,10
none,62,62,62,62,62,62,62,62,62,62,62,30,62,62,40,62,66,62,39
none,62,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,30,62,62,40,62,66,62,39
none,62,62,62,66,62,62,62,62,62,50,62,62,66,62,10,64,62,61,10
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,40
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,61,40,62,63,10,80
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,30,62,62,40,62,66,62,39
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,30,62,62,62,62,62,62,62,62,62,62,62,62,62,30,40
none,62,62,61,20,62,62,62,62,63,62,62,62,62,30,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,30,62,62,40,62,66,62,39
none,62,62,62,62,62,62,62,62,62,62,62,62,62,66,62,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,15
none,62,62,62,62,62,62,62,62,62,66,62,62,62,62,40,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,30,62,62,62,30
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,30,62,62,40,62,66,62,39
none,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,17
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,30,62,62,40,62,66,62,39
none,62,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,30,62,62,62,62,62,62,62,62,62,62,62,62,62,30,40
none,62,62,62,30,62,62,62,62,62,62,62,62,62,62,62,62,62,30,40
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,62,62,62,62,62,62,62,62,62,30,62,62,40,62,66,62,39
none,62,62,62,65,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,30,62,62,40,62,66,62,39
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,40
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,20,62,62,62,62,62,10,62,62,63,62,62,62,62,62,28
none,62,62,62,62,62,62,62,62,62,62,62,30,62,62,40,62,66,62,39
none,62,62,62,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,15
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,30,62,62,62,62,62,62,62,62,62,62,62,62,62,30,40
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,30,62,62,62,30
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,17
none,62,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,61,20,62,62,62,62,63,62,62,62,62,30,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,62,66,62,62,62,62,62,62,62,62,62,62,62,62,62,62,14
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,30,62,62,62,30
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,40
none,62,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,15
none,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,17
none,62,62,62,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,15
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,64,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,50
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,30,62,62,40,62,66,62,39
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,30,62,62,62,62,40,62,62,62,17
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,40
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,19
none,62,62,62,66,62,62,62,62,62,50,62,62,66,62,10,64,62,61,10
none,62,62,62,62,62,62,62,62,62,62,62,62,62,66,62,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,63,62,62,62,62,64,30,30,62,62,62,62,61,30,62,62,10
none,62,62,50,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,17
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,62,62,62,62,62,62,62,62,62,30,62,62,40,62,66,62,39
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,65,62,62,62,62,62,61,62,62,62,62,62,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,61,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,20
none,62,64,62,50,62,62,65,62,62,62,62,62,62,62,62,30,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,62,62,62,70
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,20,62,62,62,63,62,62,62,50,62,62,62,62,30,63,62,62,15
none,62,62,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,12
none,62,62,61,20,62,62,62,62,63,62,62,62,62,30,62,62,62,62,20
