id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week2,week3,week4,week5,week6,week7,week8,week9,clustered_label
none,6461,6461,6100,6600,6461,6463,6559,6210,3300,6461,6463,6420,6210,6461,6461,6465,6461,6440,6425
none,6461,6450,6409,1200,6461,6461,6461,5100,6461,6461,6461,3640,6461,6464,6461,6461,6463,6420,6500
none,6461,6461,6100,6600,6461,6463,6559,6210,3300,6461,6463,6420,6210,6461,6461,6465,6461,6440,6425
none,6461,6464,6463,6461,6420,6461,6461,6465,6463,6464,6461,6461,6463,6420,6463,6461,6463,6420,6425
none,6461,6461,6463,6461,6461,6461,6463,6461,6461,6461,6461,6461,6461,6462,6461,6461,6461,6461,8330
none,6461,6464,6220,3620,6463,6509,3300,3300,6461,6461,6461,6420,6461,6420,6520,6461,6450,3300,6425
none,6461,6450,6463,6600,6450,6463,1300,6461,6463,6461,6100,6100,6260,4600,1100,6464,6463,6461,7400
none,6461,6461,4200,6430,6450,6461,6461,6461,6461,6461,6463,6600,6461,6465,6461,6461,6461,6463,8230
none,6461,6461,6461,5200,6461,6461,6461,6461,6600,6461,3100,6464,6461,4200,6310,6465,6461,6461,6425
none,6461,6420,6461,6464,6464,6463,6450,6461,6461,6461,6461,6461,4400,6465,6461,6464,6464,6464,3300
none,6461,6461,6420,6509,6461,6430,5600,6463,6461,6461,6461,6461,6461,6461,6461,6461,6464,6463,6425
none,6461,6461,6463,3630,6463,6450,6465,6450,6420,6210,6461,6461,6450,6461,6465,6461,6220,6450,6425
none,6461,6461,6450,4200,6461,6462,6461,6463,6461,6461,6463,6420,6600,6464,6463,6240,6420,6461,6440
none,6461,6420,6461,6464,6464,6463,6450,6461,6461,6461,6461,6461,4400,6465,6461,6464,6464,6464,3300
none,6461,6461,6463,6461,6462,6461,6530,6461,6100,6461,6465,6463,6461,6461,6461,6420,6461,6461,3100
none,6461,6464,6320,2100,6220,6465,6430,6461,6461,4200,6464,6463,6240,6461,6465,6450,6440,6461,8366
none,6461,6461,6350,6465,6461,6461,6100,6461,6463,6461,6461,6461,6464,6461,6420,6461,1300,6450,8210
none,6461,6461,6461,6600,6420,6420,6420,6461,6465,6461,6461,6465,6463,6463,6463,6461,6463,6463,6425
none,6461,6461,6461,6600,6463,6463,6461,6463,6509,6450,6450,6440,6461,6450,6463,6320,3200,3400,1400
none,6461,6461,6440,6559,6463,6461,6461,6461,6461,6461,6461,6465,6210,6450,6440,6461,6461,6461,4400
