id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week2,week3,week4,week5,week6,week7,week8,week9
101208087,0.1321,0.1321,0.1321,0.64,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321
102205089,0.1321,0.1321,0.1321,0.1324,0.1323,0.1321,0.1321,0.1321,0.1321,0.136,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321
101208066,0.1321,0.1321,0.1326,0.1321,0.1325,0.1325,0.1321,0.1325,0.42,0.1321,0.1321,0.1321,0.136,0.136,0.1321,0.1321,0.1321,0.1326
101208030,0.1321,0.1324,0.1321,0.1321,0.1325,0.1323,0.1323,0.1321,0.1321,0.1321,0.135,0.1323,0.1321,0.1321,0.1321,0.1323,0.1321,0.1321
102208075,0.1321,0.1321,0.1321,0.24,0.1321,0.1321,0.1321,0.1321,0.1321,0.22,0.1321,0.1321,0.125,0.1325,0.52,0.1325,0.1321,0.1321
102205037,0.1321,0.1324,0.154,0.24,0.1321,0.1321,0.1321,0.1321,0.1324,0.16,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321
102104031,0.1321,0.135,0.1326,0.25,0.1321,0.1325,0.16,0.1321,0.1321,0.114,0.1321,0.1326,0.1325,0.152,0.1322,0.1321,0.1323,0.151
101208085,0.1321,0.1321,0.1321,0.131,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321
101208069,0.1321,0.1325,0.1325,0.26,0.1321,0.1321,0.1321,0.1323,0.115,0.135,0.1321,0.134,0.151,0.131,0.134,0.1321,0.52,0.136
102208088,0.1321,0.1321,0.1321,0.16,0.1321,0.1321,0.1321,0.1321,0.1321,0.62,0.1321,0.1321,0.1321,0.1321,0.14,0.1321,0.1326,0.1321
102208081,0.1321,0.1326,0.1321,0.1321,0.1321,0.1321,0.1321,0.1325,0.1321,0.135,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1326,0.1321
102208058,0.1321,0.1321,0.1321,0.26,0.1321,0.1321,0.1321,0.1321,0.1321,0.62,0.1321,0.1321,0.1321,0.1321,0.131,0.1321,0.1321,0.1321
102208049,0.1321,0.1321,0.1321,0.155,0.1321,0.1321,0.1321,0.1321,0.1321,0.133,0.1321,0.1321,0.1321,0.1321,0.53,0.134,0.151,0.1322
102208033,0.1321,0.1321,0.1321,0.155,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.56,0.1321,0.1321,0.1321
102208008,0.1321,0.1321,0.1321,0.1322,0.1321,0.1321,0.1321,0.1321,0.131,0.131,0.1321,0.1321,0.134,0.134,0.1321,0.1321,0.1322,0.1321
102207430,0.1321,0.1321,0.1321,0.1321,0.21,0.1321,0.1321,0.133,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.26,0.22,0.16,0.1321
101208074,0.1321,0.1321,0.1325,0.24,0.1321,0.1325,0.1325,0.1321,0.1325,0.123,0.1321,0.1321,0.1321,0.1322,0.134,0.1321,0.1325,0.1321
99304030,0.1321,0.124,0.1326,0.44,0.1321,0.1325,0.1323,0.1321,0.1325,0.133,0.1321,0.1325,0.1321,0.1326,0.1325,0.1321,0.1321,0.136
99203054,0.1321,0.122,0.26,0.123,0.1321,0.1321,0.16,0.1321,0.1321,0.1321,0.136,0.16,0.136,0.1321,0.133,0.1321,0.1321,0.22
126267,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321
104850,0.1321,0.1323,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1325,0.1321,0.136,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321
103302104,0.1321,0.1326,0.1323,0.41,0.1321,0.1321,0.1321,0.1321,0.1321,0.44,0.125,0.1321,0.1323,0.1321,0.44,0.1321,0.1325,0.1326
103302103,0.1321,0.1321,0.123,0.41,0.1321,0.123,0.1321,0.1321,0.122,0.111,0.1325,0.1321,0.14,0.1321,0.123,0.1321,0.1321,0.1321
103258005,0.1321,0.136,0.122,0.1321,0.1321,0.1325,0.1323,0.135,0.1325,0.1325,0.135,0.1323,0.136,0.111,0.1322,0.1321,0.136,0.136
102306046,0.1321,0.1321,0.123,0.63,0.42,0.136,0.123,0.1321,0.1323,0.22,0.1321,0.16,0.1326,0.136,0.131,0.1321,0.136,0.1325
102306041,0.1321,0.1321,0.122,0.133,0.1321,0.1321,0.1321,0.1321,0.44,0.26,0.1321,0.123,0.136,0.136,0.1321,0.1321,0.1324,0.1321
102258003,0.1321,0.136,0.1321,0.33,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.42,0.42,0.134,0.1321,0.1321,0.42
102209035,0.1321,0.135,0.135,0.43,0.1321,0.1326,0.1323,0.1321,0.1321,0.26,0.1325,0.1324,0.1325,0.1321,0.16,0.1326,0.1325,0.1323
102208090,0.1321,0.136,0.1321,0.135,0.1321,0.1325,0.135,0.1325,0.1321,0.112,0.1321,0.1323,0.1326,0.1325,0.114,0.1326,0.111,0.14
102208089,0.1321,0.1321,0.1326,0.135,0.1321,0.1321,0.42,0.1321,0.1321,0.1321,0.1321,0.1323,0.1325,0.1326,0.53,0.1323,0.1321,0.136
102208086,0.1321,0.136,0.125,0.1325,0.136,0.136,0.136,0.1321,0.1321,0.123,0.1321,0.1321,0.1321,0.122,0.136,0.1321,0.136,0.1325
102208085,0.1321,0.1321,0.1321,0.133,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.1321,0.134,0.131,0.115,0.1321,0.1321,0.133
102208084,0.1321,0.1321,0.156,0.136,0.1321,0.1321,0.1321,0.114,0.1321,0.121,0.1321,0.123,0.1321,0.1321,0.136,0.1321,0.1321,0.1321
102208083,0.1321,0.135,0.1323,0.26,0.123,0.1323,0.1321,0.1321,0.1325,0.25,0.135,0.1323,0.1322,0.1321,0.52,0.1325,0.1321,0.16
102208082,0.1321,0.1321,0.131,0.16,0.1325,0.1321,0.1321,0.1321,0.1321,0.133,0.1321,0.1321,0.131,0.136,0.151,0.1321,0.1325,0.1321
102208078,0.1321,0.1321,0.136,0.1326,0.114,0.1323,0.122,0.1321,0.1325,0.64,0.1324,0.1323,0.1321,0.1326,0.52,0.1325,0.1325,0.1321
