,actual_grade,predict_grade,torrance,week,id
0,42,40.7,-1.2999999999999972,9,101208025
1,42,40.7,-1.2999999999999972,10,101208025
2,42,40.7,-1.2999999999999972,11,101208025
3,42,40.7,-1.2999999999999972,12,101208025
4,42,40.7,-1.2999999999999972,13,101208025
5,42,40.7,-1.2999999999999972,14,101208025
6,42,40.7,-1.2999999999999972,15,101208025
7,42,40.7,-1.2999999999999972,16,101208025
8,42,40.7,-1.2999999999999972,17,101208025
9,42,40.7,-1.2999999999999972,18,101208025
10,53,55.44,2.4399999999999977,9,101208017
11,53,55.44,2.4399999999999977,10,101208017
12,53,55.44,2.4399999999999977,11,101208017
13,53,55.44,2.4399999999999977,12,101208017
14,53,55.44,2.4399999999999977,13,101208017
15,53,55.44,2.4399999999999977,14,101208017
16,53,55.44,2.4399999999999977,15,101208017
17,53,55.44,2.4399999999999977,16,101208017
18,53,55.44,2.4399999999999977,17,101208017
19,53,55.44,2.4399999999999977,18,101208017
20,75,68.3090625000002,-6.690937499999805,9,101208015
21,75,80.06,5.060000000000002,10,101208015
22,75,80.06,5.060000000000002,11,101208015
23,75,80.06,5.060000000000002,12,101208015
24,75,80.06,5.060000000000002,13,101208015
25,75,80.06,5.060000000000002,14,101208015
26,75,80.06,5.060000000000002,15,101208015
27,75,80.06,5.060000000000002,16,101208015
28,75,80.06,5.060000000000002,17,101208015
29,75,80.06,5.060000000000002,18,101208015
30,50,79.60143961352304,29.60143961352304,9,101208013
31,50,51.35,1.3500000000000014,10,101208013
32,50,40.7,-9.299999999999997,11,101208013
33,50,40.7,-9.299999999999997,12,101208013
34,50,40.7,-9.299999999999997,13,101208013
35,50,40.7,-9.299999999999997,14,101208013
36,50,40.7,-9.299999999999997,15,101208013
37,50,40.7,-9.299999999999997,16,101208013
38,50,40.7,-9.299999999999997,17,101208013
39,50,40.7,-9.299999999999997,18,101208013
40,62,79.89522169811002,17.89522169811002,9,101208008
41,62,77.45973799126664,15.459737991266636,10,101208008
42,62,62.0,0.0,11,101208008
43,62,62.0,0.0,12,101208008
44,62,62.0,0.0,13,101208008
45,62,62.0,0.0,14,101208008
46,62,62.0,0.0,15,101208008
47,62,62.0,0.0,16,101208008
48,62,62.0,0.0,17,101208008
49,62,62.0,0.0,18,101208008
50,69,83.79462093862773,14.79462093862773,9,101208005
51,69,71.0,2.0,10,101208005
52,69,71.0,2.0,11,101208005
53,69,71.0,2.0,12,101208005
54,69,71.0,2.0,13,101208005
55,69,71.0,2.0,14,101208005
56,69,71.0,2.0,15,101208005
57,69,71.0,2.0,16,101208005
58,69,71.0,2.0,17,101208005
59,69,71.0,2.0,18,101208005
60,99,81.08598540145785,-17.914014598542153,9,101208004
61,99,99.0,0.0,10,101208004
62,99,99.0,0.0,11,101208004
63,99,99.0,0.0,12,101208004
64,99,99.0,0.0,13,101208004
65,99,99.0,0.0,14,101208004
66,99,99.0,0.0,15,101208004
67,99,99.0,0.0,16,101208004
68,99,99.0,0.0,17,101208004
69,99,99.0,0.0,18,101208004
70,32,75.75682413656314,43.75682413656314,9,101208003
71,32,92.32775510204075,60.327755102040754,10,101208003
72,32,40.7,8.700000000000003,11,101208003
73,32,40.7,8.700000000000003,12,101208003
