,actual_grade,predict_grade,torrance,week,id,torrance_v2
0,55,75.47783883,20.47783883,9,101208087,31.77783883
10,91,75.47783883,-15.52216117,9,102205089,-4.222161172
20,77,71.5260582,-5.473941799,9,101208066,5.826058201
30,99,84.87532468,-14.12467532,9,101208030,-2.824675325
40,74,80.05555556,6.055555556,9,102208075,17.35555556
50,66,75.47783883,9.477838828,9,102205037,20.77783883
60,83,79.00793651,-3.992063492,9,102104031,7.307936508
70,71,75.47783883,4.477838828,9,101208085,15.77783883
80,89,89.44444444,0.444444444,9,101208069,11.74444444
90,56,55.44444444,-0.555555556,9,102208088,10.74444444
100,81,75.96139683,-5.038603175,9,102208081,6.261396825
110,33,66.12747253,33.12747253,9,102208058,44.42747253
120,53,55.44444444,2.444444444,9,102208049,13.74444444
130,67,65.85714286,-1.142857143,9,102208033,10.15714286
140,92,77.65892857,-14.34107143,9,102208008,-3.041071429
150,63,66.12747253,3.127472527,9,101208074,14.42747253
160,33,70.75064935,37.75064935,9,99304030,49.05064935
170,99,91.48582766,-7.514172336,9,99203054,3.785827664
180,99,99,0,9,103302104,11.3
190,99,99,0,9,103302103,11.3
200,78,76.20545635,-1.794543651,9,102306046,9.505456349
210,48,72.92888889,24.92888889,9,102306041,36.22888889
220,55,64.46359788,9.463597884,9,102209035,20.76359788
230,83,80.05555556,-2.944444444,9,102208090,8.355555556
240,80,80.05555556,0.055555556,9,102208089,11.35555556
250,96,80.91137566,-15.08862434,9,102208086,-3.788624339
260,84,80.05555556,-3.944444444,9,102208085,7.355555556
270,65,69.79117063,4.791170635,9,102208084,16.09117063
280,61,61.5,0.5,9,102208083,11.8
290,94,74.94550265,-19.05449735,9,102208082,-7.754497354
300,66,65.85714286,-0.142857143,9,102208078,11.15714286
310,78,74.03473389,-3.965266106,9,102208074,7.334733894
320,80,80.05555556,0.055555556,9,102208073,11.35555556
330,67,65.85714286,-1.142857143,9,102208068,10.15714286
340,77,80.05555556,3.055555556,9,102208066,14.35555556
