,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,cluster,cluster_count,mean,std,ex2_mean,ex2_std,fin_mean,fin_std
0,0,0,0,0.02919708,0.03649635,0.072992701,0.218978102,0.138686131,0.189781022,0.313868613,0,137,77.01 ,16.97593675,14.01824818,6.354896026,23.2459854,8.970592789
1,0,0,0,0.4,0.5,0.1,0,0,0,0,10,10,40.70 ,7.211795893,4.25,2.283090011,4.95,4.535691788
2,0,0,0,0,0,0,0,0.388888889,0.611111111,0,20,36,80.06 ,4.142895153,14.375,3.762709942,24.67222222,4.289755957
3,0,0,0,0,0,0.204545455,0.681818182,0.113636364,0,0,30,44,63.64 ,5.161443196,8.965909091,3.173751951,16.81818182,3.970188496
4,0,0,0,0,0,0,0.714285714,0.285714286,0,0,31,7,68.29 ,1.577908717,13,1.732050808,17.71428571,1.484614978
5,0,0,0,0,0,0,0.25,0.75,0,0,32,4,71.00 ,1.58113883,8.25,0.829156198,21.5,2.318404624
6,0,0,0,0,0,0,1,0,0,0,33,6,61.50 ,1.38443731,11.41666667,1.4553541,14.91666667,3.396280645
7,0,0,0,0,0,0,1,0,0,0,34,14,65.86 ,1.301490511,7.857142857,1.171515676,18.14285714,3.80051017
8,0,0,0,0,0,1,0,0,0,0,35,9,55.44 ,1.571348403,9,2.392116682,13,3.456073559
9,0,0,0,0,0,0,1,0,0,0,36,4,62.00 ,1.414213562,2.75,1.75,17.375,1.192424002
10,0,0,0,0,0,0,0,0,0.085106383,0.914893617,40,47,94.91 ,3.902153182,20.55319149,3.054877583,32.06382979,3.481893929
11,0,0,0,0,0,0,0,0,0,1,41,14,92.86 ,2.133312075,19.14285714,1.608332893,30.71428571,2.807606287
12,0,0,0,0,0,0,0,0,0,1,42,18,99.00 ,0,22.77777778,1.335646142,34.83333333,2.321398046
13,0,0,0,0,0,0,0,0,0.444444444,0.555555556,43,9,89.44 ,1.257078722,16.33333333,2,30.38888889,3.510126444
14,0,0,0,0,0,0,0,0,0,1,44,6,95.67 ,0.942809042,23.5,0.912870929,29.41666667,1.857791401
