,id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,Exam2,Final,original,semester
0,101208087,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,5100,6461,6461,6461,6461,6461,6461,35,9.0,19.0,42.9,55
1,102205089,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6420,6464,6461,6461,6461,6461,6450,43,14.0,35.5,78.6,91
2,101208066,6461,6461,6461,6450,6450,6461,6461,6461,6465,6461,6465,6461,6463,6463,6461,6463,3300,6461,20,15.0,23.0,64.7,77
3,101208030,6461,6420,6464,6461,6461,6461,6464,6461,6461,6420,6461,6461,6463,6420,6464,6461,6461,6461,42,23.5,33.5,91.5,99
4,102208075,6461,6461,6461,6100,6463,4500,6463,6461,6461,6461,6461,6600,6461,6461,6461,6461,6461,5100,20,10.0,24.0,61.4,74
5,102205037,6461,6461,6461,6461,6461,6461,6461,6461,6461,6420,6310,5100,6461,6461,6461,6461,6420,6520,34,7.5,18.0,53.5,66
6,102104031,6461,6461,6465,6463,6320,6461,6461,6464,6320,6420,6465,6600,6461,6463,6559,6461,6461,3640,20,13.0,25.5,70.3,83
7,101208085,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6465,6461,6461,6461,6461,6461,6461,31,12.0,16.5,58.4,71
8,101208069,6461,6461,6440,6310,6465,6440,6461,4500,6450,6463,6463,6600,6462,6461,6461,6464,3650,6409,43,17.5,28.5,76.3,89
9,102208088,6461,6461,6461,6461,6461,3400,6461,6462,6461,6461,6461,6520,6461,6461,6461,6461,6461,5500,35,7.5,7.0,44.0,56
10,102208081,6461,6461,6461,6461,6461,6461,6461,6465,6461,6450,6461,6461,6461,6461,6461,6463,6461,6409,20,12.5,21.0,69.0,81
11,102208058,6461,6461,6461,6461,6461,6440,6461,6461,6461,6461,6461,6509,6461,6461,6461,6461,6461,5400,10,4.0,2.0,20.9,33
