id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,original,semester
101208087,782,782,782,782,782,782,782,782,782,782,782,620,782,782,782,782,782,782,16,42.9,55
102205089,782,782,782,782,782,782,782,782,782,782,782,787,780,780,782,782,782,750,34,78.6,91
101208066,782,782,782,787,750,782,782,782,784,782,787,782,785,785,782,785,220,782,40,64.7,77
101208030,782,730,780,782,780,782,780,782,782,787,782,782,780,789,780,780,782,782,36,91.5,99
102208075,782,782,782,710,785,460,785,782,782,782,782,510,782,782,782,782,782,550,40,61.4,74
102205037,782,782,782,782,782,782,782,782,782,787,740,510,782,782,782,782,789,540,12,53.5,66
102104031,782,780,784,785,450,782,782,780,470,730,784,520,782,785,770,782,782,230,40,70.3,83
101208085,782,782,782,782,782,782,782,782,782,782,782,760,782,782,782,782,782,782,14,58.4,71
101208069,782,782,740,470,760,760,782,420,787,785,785,560,785,782,782,789,230,730,31,76.3,89
102208088,782,782,782,782,782,850,782,784,782,782,782,770,782,782,782,782,782,650,16,44.0,56
102208081,782,782,780,782,782,782,782,784,782,787,782,782,782,782,782,785,782,730,40,69.0,81
102208058,782,782,782,782,782,760,782,782,782,782,782,570,782,782,782,782,782,630,20,20.9,33
102208049,782,782,782,782,782,110,740,470,782,782,782,490,782,782,782,782,782,785,16,40.9,53
102208033,782,782,782,782,782,160,782,782,782,782,782,470,782,782,782,782,782,782,12,54.9,67
102208008,782,782,782,760,740,782,782,782,782,782,782,782,782,782,782,782,760,760,34,79.7,92
101208074,782,782,782,782,782,740,782,785,782,782,785,510,782,785,785,782,785,720,12,50.6,63
99304030,782,782,785,782,784,785,782,782,750,710,784,330,782,785,780,782,785,770,20,20.1,33
99203054,782,787,770,750,782,785,782,782,550,720,570,720,782,782,770,782,782,782,36,86.7,99
103302104,782,710,782,789,782,350,782,784,784,784,789,270,782,782,782,782,782,320,36,95.8,99
103302103,782,785,782,850,782,720,782,782,782,782,720,280,782,720,782,782,750,260,36,89.0,99
102306046,782,782,770,784,750,760,782,787,785,782,720,610,210,750,720,782,780,550,40,65.1,78
102306041,782,782,720,787,750,782,782,787,782,782,720,760,782,782,782,782,330,570,20,35.6,48
102209035,782,784,787,780,782,770,784,785,789,730,730,310,782,784,780,782,782,560,16,42.3,55
102208090,782,782,780,787,785,230,787,260,830,750,782,730,782,785,730,785,782,230,40,70.9,83
