id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week2,week3,week4,week5,week6,week7,week8,week9
101208087,782,782,782,620,782,782,782,782,782,782,782,782,782,782,782,782,782,782
102205089,782,782,782,787,780,780,782,782,782,750,782,782,782,782,782,782,782,782
101208066,782,782,787,782,785,785,782,785,220,782,782,782,787,750,782,782,782,784
101208030,782,787,782,782,780,789,780,780,782,782,730,780,782,780,782,780,782,782
102208075,782,782,782,510,782,782,782,782,782,550,782,782,710,785,460,785,782,782
102205037,782,787,740,510,782,782,782,782,789,540,782,782,782,782,782,782,782,782
102104031,782,730,784,520,782,785,770,782,782,230,780,784,785,450,782,782,780,470
101208085,782,782,782,760,782,782,782,782,782,782,782,782,782,782,782,782,782,782
101208069,782,785,785,560,785,782,782,789,230,730,782,740,470,760,760,782,420,787
102208088,782,782,782,770,782,782,782,782,782,650,782,782,782,782,850,782,784,782
102208081,782,787,782,782,782,782,782,785,782,730,782,780,782,782,782,782,784,782
102208058,782,782,782,570,782,782,782,782,782,630,782,782,782,782,760,782,782,782
102208049,782,782,782,490,782,782,782,782,782,785,782,782,782,782,110,740,470,782
102208033,782,782,782,470,782,782,782,782,782,782,782,782,782,782,160,782,782,782
102208008,782,782,782,782,782,782,782,782,760,760,782,782,760,740,782,782,782,782
101208074,782,782,785,510,782,785,785,782,785,720,782,782,782,782,740,782,785,782
99304030,782,710,784,330,782,785,780,782,785,770,782,785,782,784,785,782,782,750
99203054,782,720,570,720,782,782,770,782,782,782,787,770,750,782,785,782,782,550
103302104,782,784,789,270,782,782,782,782,782,320,710,782,789,782,350,782,784,784
103302103,782,782,720,280,782,720,782,782,750,260,785,782,850,782,720,782,782,782
102306046,782,782,720,610,210,750,720,782,780,550,782,770,784,750,760,782,787,785
102306041,782,782,720,760,782,782,782,782,330,570,782,720,787,750,782,782,787,782
102209035,782,730,730,310,782,784,780,782,782,560,784,787,780,782,770,784,785,789
102208090,782,750,782,730,782,785,730,785,782,230,782,780,787,785,230,787,260,830
102208089,782,780,784,730,782,782,220,782,782,782,780,780,785,784,110,780,782,730
102208086,782,750,710,785,750,787,750,782,782,720,782,782,782,750,750,782,750,785
102208085,782,782,782,785,782,782,782,782,782,782,782,782,740,782,230,782,782,785
102208084,782,782,450,750,782,782,782,230,782,850,782,720,782,782,750,782,782,782
102208083,782,730,780,570,720,789,782,782,780,560,730,789,782,782,460,785,782,770
102208082,782,782,760,770,784,782,782,782,782,785,782,782,782,750,470,782,785,782
102208078,782,782,750,784,230,789,750,782,785,640,787,789,782,787,420,785,785,782
102208074,782,782,760,140,782,782,782,784,782,630,782,782,784,782,780,782,782,780
102208073,782,782,782,550,782,782,782,782,782,784,782,460,450,782,785,450,782,785
102208068,782,782,782,770,782,782,785,782,787,785,782,750,785,782,410,785,782,784
102208066,782,782,760,750,780,789,770,782,787,630,720,787,785,750,220,730,784,787
102208065,782,782,785,782,782,785,720,782,782,782,782,785,750,782,789,782,784,785
102208064,782,782,782,820,782,782,782,782,782,782,782,782,782,782,740,782,782,782
102208063,782,782,120,520,782,210,785,340,782,210,782,789,720,750,760,782,750,782
102208062,782,230,787,860,782,782,782,782,787,782,782,730,782,782,760,782,782,782
102208061,782,782,782,782,785,782,782,782,782,782,787,782,782,782,270,720,782,782
102208060,782,782,782,750,782,782,782,782,782,784,782,782,782,810,450,782,782,782
102208059,782,785,740,640,770,785,782,782,850,782,710,730,782,784,290,850,770,770
102208057,782,782,782,570,782,782,782,785,782,782,784,780,780,110,430,782,782,782
102208056,782,782,789,520,789,789,780,782,782,110,782,840,782,210,220,782,750,782
102208055,782,782,760,740,782,782,782,782,782,760,782,782,830,784,440,760,782,782
102208054,782,782,785,410,785,784,782,782,782,620,782,720,260,760,710,782,782,782
102208053,782,720,782,789,782,782,782,782,782,782,782,782,782,782,110,782,782,782
102208052,782,780,480,620,780,782,710,782,784,770,785,784,750,782,240,789,785,789
102208046,782,782,540,782,782,785,782,785,784,620,782,789,782,770,130,782,782,490
102208045,782,780,782,560,782,785,782,785,785,570,785,784,782,782,782,785,782,550
102208044,782,785,660,550,782,782,782,782,570,750,782,780,782,782,120,782,740,782
102208043,782,785,782,782,782,782,560,782,782,560,780,785,782,782,782,782,782,782
102208042,782,782,782,784,785,782,782,782,785,840,750,260,782,280,782,782,782,782
102208041,782,782,810,280,785,785,750,340,760,810,782,920,830,250,470,782,785,760
102208038,782,782,450,720,782,782,782,782,782,780,782,782,782,784,230,782,782,782
102208034,782,782,782,640,782,782,782,782,782,770,787,782,782,782,782,782,782,782
102208032,782,782,782,110,782,782,782,782,782,110,784,782,782,782,460,782,782,782
102208030,782,780,630,782,780,730,770,782,710,780,780,782,789,470,430,220,930,740
102208029,782,789,620,550,780,780,780,780,780,782,785,740,750,470,260,782,780,780
