0,1,2,3,4,clustered_label
5.0,5.0,5.0,2.0,1.0,5552
5.0,5.0,2.0,1.0,0.0,5521
4.0,2.0,1.0,0.0,2.0,4210
6.0,4.0,3.0,4.0,5.0,6434
3.0,5.0,1.0,2.0,1.0,3512
6.0,5.0,2.0,2.0,0.0,6522
4.0,4.0,1.0,2.0,1.0,4412
5.0,4.0,1.0,1.0,1.0,5411
5.0,6.0,1.0,0.0,2.0,5610
3.0,3.0,1.0,5.0,0.0,3315
6.0,4.0,3.0,3.0,2.0,6433
4.0,3.0,2.0,2.0,1.0,4322
5.0,3.0,1.0,0.0,1.0,5310
5.0,4.0,2.0,1.0,1.0,5421
5.0,5.0,3.0,1.0,0.0,5531
4.0,5.0,1.0,1.0,1.0,4511
5.0,6.0,2.0,1.0,0.0,5621
5.0,5.0,3.0,0.0,0.0,5530
4.0,4.0,1.0,4.0,0.0,4414
6.0,5.0,4.0,0.0,0.0,6540
4.0,5.0,3.0,3.0,1.0,4533
5.0,5.0,2.0,0.0,0.0,5520
5.0,2.0,1.0,1.0,0.0,5211
3.0,4.0,2.0,1.0,2.0,3421
3.0,6.0,0.0,2.0,2.0,3602
6.0,3.0,1.0,4.0,1.0,6314
4.0,3.0,3.0,5.0,1.0,4335
4.0,4.0,2.0,4.0,2.0,4424
3.0,1.0,0.0,3.0,1.0,3103
4.0,3.0,2.0,1.0,2.0,4321
4.0,4.0,3.0,2.0,2.0,4432
2.0,4.0,0.0,3.0,4.0,2403
5.0,2.0,1.0,1.0,0.0,5211
5.0,2.0,2.0,4.0,2.0,5224
5.0,5.0,0.0,2.0,1.0,5502
5.0,5.0,2.0,1.0,0.0,5521
5.0,5.0,2.0,2.0,1.0,5522
5.0,5.0,4.0,1.0,1.0,5541
5.0,5.0,3.0,4.0,1.0,5534
5.0,5.0,2.0,1.0,0.0,5521
5.0,2.0,2.0,3.0,2.0,5223
3.0,4.0,4.0,5.0,0.0,3445
6.0,6.0,3.0,3.0,1.0,6633
4.0,5.0,4.0,0.0,2.0,4540
3.0,2.0,1.0,6.0,1.0,3216
4.0,3.0,1.0,2.0,0.0,4312
5.0,5.0,3.0,1.0,0.0,5531
5.0,5.0,4.0,1.0,1.0,5541
5.0,5.0,2.0,6.0,3.0,5526
5.0,6.0,2.0,0.0,0.0,5620
5.0,5.0,1.0,0.0,0.0,5510
5.0,3.0,2.0,1.0,2.0,5321
4.0,3.0,2.0,3.0,0.0,4323
5.0,4.0,2.0,2.0,0.0,5422
5.0,3.0,0.0,1.0,1.0,5301
3.0,5.0,3.0,1.0,1.0,3531
6.0,5.0,1.0,3.0,2.0,6513
6.0,5.0,4.0,0.0,1.0,6540
4.0,4.0,2.0,1.0,0.0,4421
6.0,6.0,5.0,3.0,4.0,6653
6.0,7.0,1.0,1.0,1.0,6711
5.0,4.0,3.0,1.0,1.0,5431
5.0,5.0,2.0,0.0,1.0,5520
5.0,6.0,0.0,1.0,0.0,5601
5.0,6.0,4.0,1.0,0.0,5641
5.0,5.0,2.0,1.0,1.0,5521
4.0,3.0,3.0,1.0,2.0,4331
5.0,5.0,3.0,1.0,0.0,5531
6.0,6.0,2.0,1.0,0.0,6621
5.0,4.0,1.0,0.0,0.0,5410
5.0,5.0,2.0,4.0,11.0,5524
4.0,4.0,0.0,6.0,1.0,4406
4.0,5.0,4.0,3.0,3.0,4543
6.0,7.0,4.0,1.0,7.0,6741
4.0,0.0,2.0,3.0,1.0,4023
4.0,4.0,2.0,2.0,1.0,4422
5.0,4.0,1.0,1.0,0.0,5411
5.0,4.0,3.0,1.0,1.0,5431
6.0,5.0,2.0,0.0,1.0,6520
5.0,4.0,2.0,6.0,1.0,5426
4.0,4.0,1.0,1.0,1.0,4411
6.0,6.0,2.0,4.0,0.0,6624
5.0,5.0,4.0,2.0,1.0,5542
4.0,5.0,2.0,2.0,2.0,4522
5.0,4.0,2.0,5.0,1.0,5425
5.0,5.0,1.0,2.0,0.0,5512
4.0,5.0,0.0,1.0,0.0,4501
6.0,6.0,2.0,1.0,2.0,6621
5.0,4.0,3.0,2.0,1.0,5432
6.0,5.0,2.0,2.0,2.0,6522
1.0,2.0,1.0,6.0,4.0,1216
4.0,5.0,0.0,2.0,2.0,4502
6.0,4.0,2.0,2.0,0.0,6422
5.0,4.0,3.0,1.0,3.0,5431
4.0,1.0,4.0,4.0,3.0,4144
5.0,5.0,3.0,7.0,1.0,5537
4.0,3.0,1.0,1.0,1.0,4311
4.0,3.0,3.0,5.0,1.0,4335
4.0,4.0,1.0,2.0,1.0,4412
5.0,4.0,2.0,4.0,4.0,5424
3.0,7.0,1.0,1.0,0.0,3711
6.0,5.0,5.0,3.0,0.0,6553
4.0,5.0,3.0,4.0,2.0,4534
5.0,5.0,2.0,1.0,0.0,5521
5.0,4.0,1.0,2.0,2.0,5412
5.0,5.0,1.0,0.0,2.0,5510
5.0,6.0,3.0,1.0,1.0,5631
5.0,4.0,2.0,2.0,1.0,5422
5.0,4.0,2.0,2.0,1.0,5422
6.0,6.0,4.0,1.0,0.0,6641
4.0,4.0,1.0,2.0,2.0,4412
