index,clustered_label,0,1,2,3,4
0,2560,1,1,0,0,0
1,7655,1,1,0,0,0
2,8300,0,0,0,0,0
3,7655,0,0,0,0,0
4,1300,0,0,0,0,0
5,2560,0,0,0,0,0
6,4400,0,0,0,0,0
7,7655,1,0,0,0,0
8,7800,1,0,0,0,0
9,5539,0,0,0,0,0
10,7655,0,0,0,0,0
11,5539,0,0,0,0,0
12,6200,1,0,0,0,0
13,6200,1,0,0,0,0
14,7655,1,1,1,0,0
15,8100,0,0,0,0,0
16,2540,1,0,0,0,0
17,2520,1,0,0,0,0
18,7300,0,0,0,0,0
19,7655,0,0,0,0,0
20,7655,0,0,0,0,0
21,1400,0,0,0,0,0
22,2520,1,1,0,0,0
23,7655,0,0,0,0,0
24,1200,0,0,0,0,0
25,8300,0,0,0,0,0
26,4200,0,0,0,0,0
27,2520,0,0,0,0,0
28,7640,0,0,0,0,0
29,6100,0,0,0,0,0
30,7655,0,0,0,0,0
31,7654,0,0,0,0,0
32,7500,1,0,0,0,0
33,7410,1,0,0,0,0
34,7440,1,1,0,0,0
35,5510,0,0,0,0,0
36,1100,0,0,0,0,0
37,2400,1,1,0,0,0
38,7655,1,1,0,0,0
39,7440,1,1,0,0,0
40,5400,0,0,0,0,0
41,7655,0,0,0,0,0
42,7659,0,0,0,0,0
43,5300,0,0,0,0,0
44,7120,0,0,0,0,0
45,7450,0,0,0,0,0
46,7460,1,1,0,0,0
47,2530,1,1,0,0,0
48,4300,1,1,1,0,0
49,5100,0,0,0,0,0
50,7430,1,0,0,0,0
51,5539,0,0,0,0,0
52,6100,0,0,0,0,0
53,2200,1,0,0,0,0
54,6400,0,0,0,0,0
55,7300,0,0,0,0,0
56,6600,0,0,0,0,0
57,7653,0,0,0,0,0
58,7609,0,0,0,0,0
59,7200,1,0,0,0,0
60,7500,0,0,0,0,0
61,2560,1,0,0,0,0
62,1100,0,0,0,0,0
63,8200,1,0,0,0,0
64,2600,1,0,0,0,0
65,7654,1,0,0,0,0
66,7654,0,0,0,0,0
67,1300,0,0,0,0,0
68,7620,0,0,0,0,0
69,7655,1,0,0,0,0
70,5539,0,0,0,0,0
71,7700,0,0,0,0,0
72,3100,0,0,0,0,0
73,5529,0,0,0,0,0
74,2540,0,0,0,0,0
75,5600,0,0,0,0,0
76,7655,1,0,0,0,0
77,7440,1,1,0,0,0
78,7655,0,0,0,0,0
79,7440,1,0,0,0,0
80,7655,0,0,0,0,0
81,7630,0,0,0,0,0
82,2560,1,0,0,0,0
83,8300,0,0,0,0,0
84,7655,1,0,0,0,0
85,5400,0,0,0,0,0
86,7655,0,0,0,0,0
87,6100,0,0,0,0,0
88,6400,0,0,0,0,0
89,7655,0,0,0,0,0
90,4100,0,0,0,0,0
91,7654,0,0,0,0,0
92,7110,0,0,0,0,0
93,7653,1,0,0,0,0
94,7130,0,0,0,0,0
95,7440,1,0,0,0,0
96,7450,0,0,0,0,0
97,2100,0,0,0,0,0
98,7420,0,0,0,0,0
99,2200,1,0,0,0,0
100,7653,0,0,0,0,0
101,7800,0,0,0,0,0
102,7655,0,0,0,0,0
103,7655,1,1,1,1,1
104,7655,1,0,0,0,0
105,7500,1,1,0,0,0
106,7655,1,1,0,0,0
107,7659,1,0,0,0,0
108,3400,1,0,0,0,0
109,2550,0,0,0,0,0
110,8400,0,0,0,0,0
111,7140,0,0,0,0,0
112,7200,0,0,0,0,0
113,2550,0,0,0,0,0
114,6300,0,0,0,0,0
115,7655,0,0,0,0,0
116,7651,0,0,0,0,0
117,6600,0,0,0,0,0
118,2510,1,0,0,0,0
119,2550,0,0,0,0,0
120,7655,1,0,0,0,0
121,7655,1,1,1,1,0
122,7655,1,0,0,0,0
123,7120,1,1,1,1,0
124,7655,1,1,1,0,0
125,4400,1,1,1,0,0
126,5200,0,0,0,0,0
127,7410,0,0,0,0,0
128,7652,1,0,0,0,0
129,5600,0,0,0,0,0
130,3200,1,0,0,0,0
131,7655,1,1,1,0,0
132,7659,1,0,0,0,0
133,7655,0,0,0,0,0
134,7654,0,0,0,0,0
135,7655,0,0,0,0,0
136,8300,1,0,0,0,0
137,2300,1,0,0,0,0
138,2200,1,0,0,0,0
139,7120,0,0,0,0,0
140,7654,0,0,0,0,0
141,5520,1,0,0,0,0
142,5520,0,0,0,0,0
143,7655,1,0,0,0,0
