index,clustered_label,0,1,2,3,4
0,2560,1,1,1,1,1
1,7655,1,1,1,1,1
2,8300,1,1,0,0,0
3,7655,1,1,1,1,0
4,1300,1,1,1,1,0
5,2560,1,1,1,1,0
6,4400,1,1,1,1,0
7,7655,1,1,1,1,0
8,7800,1,1,1,1,1
9,5539,1,1,1,1,1
10,7655,1,1,1,1,1
11,5539,1,1,1,1,1
12,6200,1,1,1,1,0
13,6200,1,1,1,1,0
14,7655,1,1,1,1,0
15,8100,1,1,1,1,0
16,2540,1,1,1,1,0
17,2520,1,1,1,1,1
18,7300,1,1,1,1,0
19,7655,1,1,1,1,1
20,7655,1,1,1,1,1
21,1400,1,1,1,1,0
22,2520,1,1,0,0,0
23,7655,1,1,1,1,1
24,1200,1,1,1,1,0
25,8300,1,1,1,1,0
26,4200,1,1,1,1,0
27,2520,1,1,1,1,0
28,7640,1,1,1,1,0
29,6100,1,1,1,1,1
30,7655,1,1,1,1,1
31,7654,1,1,1,1,1
32,7500,1,1,1,1,1
33,7410,1,1,1,1,1
34,7440,1,1,1,1,0
35,5510,1,1,1,1,1
36,1100,1,1,1,1,1
37,2400,1,1,1,1,0
38,7655,1,1,0,0,0
39,7440,1,1,0,0,0
40,5400,1,1,1,1,1
41,7655,1,1,1,1,0
42,7659,1,1,1,1,0
43,5300,1,1,1,1,0
44,7120,1,1,1,1,1
45,7450,1,1,1,1,1
46,7460,1,1,1,1,0
47,2530,1,1,1,1,1
48,4300,1,1,1,1,1
49,5100,1,1,0,0,0
50,7430,1,1,1,1,1
51,5539,1,1,1,1,1
52,6100,1,1,1,1,1
53,2200,1,1,1,1,0
54,6400,1,1,1,1,0
55,7300,1,1,1,1,0
56,6600,1,1,1,1,1
57,7653,1,1,1,1,1
58,7609,1,1,1,1,0
59,7200,1,1,1,1,0
60,7500,1,1,1,1,1
61,2560,1,1,1,1,0
62,1100,1,1,1,1,0
63,8200,1,1,1,1,0
64,2600,1,1,1,1,0
65,7654,1,1,1,1,0
66,7654,1,1,1,1,1
67,1300,1,1,1,1,0
68,7620,1,1,1,1,1
69,7655,1,1,1,1,1
70,5539,1,1,1,1,0
71,7700,1,1,1,1,0
72,3100,1,1,1,1,1
73,5529,1,1,1,1,1
74,2540,1,1,1,1,1
75,5600,1,1,1,1,0
76,7655,1,1,1,1,1
77,7440,1,1,0,0,0
78,7655,1,1,1,1,1
79,7440,1,1,1,1,1
80,7655,1,1,1,1,1
81,7630,1,1,1,1,0
82,2560,1,1,1,1,1
83,8300,1,1,1,1,0
84,7655,1,1,1,1,0
85,5400,1,1,1,1,0
86,7655,1,1,1,1,1
87,6100,1,1,1,1,0
88,6400,1,1,1,1,0
89,7655,1,1,1,1,1
90,4100,1,1,1,1,1
91,7654,1,1,1,1,1
92,7110,1,1,1,1,1
93,7653,1,1,0,0,0
94,7130,1,1,1,1,1
95,7440,1,1,1,1,0
96,7450,1,1,1,1,0
97,2100,1,1,1,1,1
98,7420,1,1,1,1,1
99,2200,1,1,1,1,1
100,7653,1,1,1,1,1
101,7800,1,1,0,0,0
102,7655,1,1,1,1,0
103,7655,1,1,1,1,1
104,7655,1,1,1,1,0
105,7500,1,1,1,1,1
106,7655,1,1,0,0,0
107,7659,1,1,1,1,0
108,3400,1,1,1,1,0
109,2550,1,1,1,1,1
110,8400,1,1,1,1,1
111,7140,1,1,1,1,1
112,7200,1,1,1,1,0
113,2550,1,1,1,1,1
114,6300,1,1,1,1,0
115,7655,1,1,1,1,1
116,7651,1,1,1,1,0
117,6600,1,1,1,1,0
118,2510,1,1,1,1,0
119,2550,1,1,1,1,0
120,7655,1,1,1,1,0
121,7655,1,1,1,1,1
122,7655,1,1,1,1,1
123,7120,1,1,1,1,1
124,7655,1,1,1,1,1
125,4400,1,1,1,1,1
126,5200,1,1,1,1,0
127,7410,1,1,1,1,0
128,7652,1,1,1,1,0
129,5600,1,1,1,1,1
130,3200,1,1,1,1,0
131,7655,1,1,1,1,1
132,7659,1,1,1,1,0
133,7655,1,1,1,1,0
134,7654,1,1,1,1,1
135,7655,1,1,1,1,0
136,8300,1,1,1,1,0
137,2300,1,1,1,1,0
138,2200,1,1,1,1,1
139,7120,1,1,0,0,0
140,7654,1,1,1,1,1
141,5520,1,1,1,1,0
142,5520,1,1,1,1,1
143,7655,1,1,1,1,1
