TA_video,TA_text,Teacher_video,Teacher_text,id,week,clustered_label
0,0,0,0,100101021,week1,5521
0,0,9,94,100101021,week2,5526
28,60,5,44,100101021,week3,5524
0,8,0,104,100101021,week4,5526
0,88,0,20,100101021,week5,5524
34,0,8,257,100101021,week6,5560
0,49,0,47,100101021,week7,5524
0,0,0,46,100101021,week8,5522
0,53,0,39,100101021,week9,5524
0,34,0,49,100101021,week10,5522
0,41,0,43,100101021,week11,5522
0,0,904,0,100101021,week12,5300
0,38,6,47,100101021,week13,5522
0,254,0,35,100101021,week14,5529
0,89,0,39,100101021,week15,5524
0,0,0,307,100101021,week16,5560
0,0,2308,65,100101021,week17,5300
0,0,0,0,100101021,week18,5521
0,0,0,0,100104041,week1,5521
0,0,0,88,100104041,week2,5522
0,23,0,16,100104041,week3,5521
0,0,0,13,100104041,week4,5521
0,13,0,53,100104041,week5,5522
0,0,0,0,100104041,week6,5521
0,0,0,375,100104041,week7,5560
0,12,0,30,100104041,week8,5522
0,49,3265,1394,100104041,week9,5300
0,16,0,1960,100104041,week10,5400
0,662,68,637,100104041,week11,5400
0,8,7,5,100104041,week12,5521
0,203,0,10,100104041,week13,5529
0,7,0,119,100104041,week14,5526
0,98,0,80,100104041,week15,5524
0,111,0,32,100104041,week16,5524
0,0,0,12,100104041,week17,5521
0,32,0,7089,100104041,week18,3220
0,0,0,0,100202044,week1,5521
0,0,0,0,100202044,week2,5521
0,0,0,112,100202044,week3,5526
0,0,0,1231,100202044,week4,5400
0,0,0,61,100202044,week5,5522
0,0,0,0,100202044,week6,5521
0,0,0,39,100202044,week7,5522
0,0,0,24,100202044,week8,5521
0,0,0,122,100202044,week9,5526
0,0,0,10,100202044,week10,5521
0,1832,0,9,100202044,week11,5550
0,6,62,3871,100202044,week12,5220
0,0,0,7,100202044,week13,5521
0,0,0,43,100202044,week14,5522
0,0,0,123,100202044,week15,5526
0,0,0,37,100202044,week16,5522
0,0,0,0,100202044,week17,5521
0,0,0,14667,100202044,week18,3100
0,0,0,0,100206009,week1,5521
0,0,0,0,100206009,week2,5521
0,0,1055,20,100206009,week3,5300
0,0,0,0,100206009,week4,5521
0,0,806,16,100206009,week5,5539
3462,0,1818,0,100206009,week6,5100
0,0,0,0,100206009,week7,5521
0,946,0,89,100206009,week8,5550
0,0,0,0,100206009,week9,5521
0,6,0,9,100206009,week10,5521
