clustered_label,point_x,point_y
86584,961/864,161/144
86300,79/72,10/9
89400,55/48,7/6
86530,319/288,161/144
86560,319/288,161/144
54299,1/32,1/36
53000,1/16,1/12
81000,25/24,13/12
86582,961/864,161/144
86200,79/72,10/9
86520,319/288,161/144
54600,1/32,1/36
15000,1/16,1/12
85400,55/48,7/6
84400,55/48,83/72
71000,13/16,7/8
86400,79/72,10/9
86540,319/288,161/144
22000,7/16,1/2
51000,1/16,1/12
42300,55/48,19/16
43000,25/24,9/8
24000,7/16,1/2
86550,319/288,161/144
84500,55/48,83/72
83000,25/24,13/12
23000,7/16,1/2
88000,25/24,13/12
86100,79/72,10/9
86510,319/288,161/144
86800,79/72,10/9
55399,1/32,1/24
84100,55/48,83/72
56000,1/16,1/12
84300,55/48,83/72
87000,25/24,13/12
44000,25/24,9/8
42100,55/48,19/16
89200,55/48,7/6
86640,163/144,41/36
54400,1/32,1/36
86586,961/864,161/144
42400,55/48,19/16
32000,13/16,7/8
14000,1/16,1/12
74000,13/16,7/8
85300,55/48,7/6
11000,1/16,1/12
86700,79/72,10/9
55299,1/32,1/24
86900,79/72,10/9
31000,13/16,7/8
21000,7/16,1/2
61000,7/16,1/2
34000,13/16,7/8
85100,55/48,7/6
45000,25/24,9/8
54200,1/32,1/36
84600,55/48,83/72
41000,25/24,9/8
54500,1/32,1/36
86630,163/144,41/36
64000,7/16,1/2
86610,163/144,41/36
13000,1/16,1/12
84200,55/48,83/72
86581,961/864,161/144
52000,1/16,1/12
12000,1/16,1/12
16000,1/16,1/12
86570,319/288,161/144
72000,13/16,7/8
55100,1/32,1/24
89099,55/48,7/6
85200,55/48,7/6
73000,13/16,7/8
82000,25/24,13/12
86585,961/864,161/144
46000,25/24,9/8
42200,55/48,19/16
86620,163/144,41/36
54100,1/32,1/36
55200,1/32,1/24
