0,1,2,3,clustered_label
5.0,2.0,1.0,2.0,5212
6.0,2.0,2.0,2.0,6222
5.0,5.0,0.0,3.0,5503
6.0,2.0,1.0,1.0,6211
0.0,3.0,0.0,1.0,0301
6.0,3.0,3.0,3.0,6333
6.0,5.0,2.0,9.0,6529
2.0,5.0,1.0,1.0,2511
7.0,0.0,5.0,4.0,7054
10.0,2.0,3.0,1.0,10231
5.0,1.0,2.0,1.0,5121
5.0,2.0,1.0,2.0,5212
4.0,4.0,3.0,3.0,4433
6.0,2.0,1.0,3.0,6213
4.0,1.0,0.0,4.0,4104
4.0,3.0,5.0,4.0,4354
6.0,3.0,1.0,3.0,6313
4.0,4.0,9.0,4.0,4494
7.0,2.0,1.0,2.0,7212
8.0,4.0,1.0,4.0,8414
5.0,2.0,1.0,1.0,5211
6.0,4.0,0.0,2.0,6402
9.0,2.0,4.0,5.0,9245
5.0,0.0,1.0,1.0,5011
3.0,3.0,1.0,0.0,3310
5.0,1.0,4.0,2.0,5142
4.0,2.0,4.0,3.0,4243
6.0,1.0,0.0,4.0,6104
5.0,0.0,3.0,3.0,5033
12.0,5.0,1.0,0.0,12510
4.0,2.0,2.0,1.0,4221
6.0,5.0,1.0,3.0,6513
7.0,4.0,1.0,3.0,7413
7.0,3.0,3.0,1.0,7331
7.0,3.0,3.0,6.0,7336
5.0,1.0,6.0,4.0,5164
8.0,3.0,2.0,3.0,8323
8.0,3.0,0.0,2.0,8302
5.0,4.0,2.0,1.0,5421
5.0,2.0,3.0,5.0,5235
5.0,1.0,3.0,2.0,5132
5.0,3.0,2.0,1.0,5321
5.0,3.0,1.0,3.0,5313
4.0,4.0,1.0,3.0,4413
5.0,1.0,3.0,0.0,5130
6.0,3.0,1.0,2.0,6312
5.0,4.0,1.0,5.0,5415
11.0,6.0,1.0,3.0,11613
5.0,3.0,0.0,2.0,5302
5.0,1.0,3.0,1.0,5131
8.0,1.0,6.0,6.0,8166
3.0,1.0,2.0,2.0,3122
7.0,4.0,1.0,0.0,7410
5.0,4.0,1.0,2.0,5412
5.0,2.0,1.0,1.0,5211
5.0,2.0,2.0,1.0,5221
6.0,2.0,2.0,1.0,6221
5.0,3.0,2.0,1.0,5321
3.0,3.0,0.0,5.0,3305
2.0,4.0,0.0,4.0,2404
4.0,0.0,1.0,1.0,4011
4.0,4.0,1.0,2.0,4412
4.0,4.0,1.0,2.0,4412
6.0,1.0,2.0,4.0,6124
7.0,1.0,1.0,3.0,7113
5.0,4.0,1.0,1.0,5411
7.0,4.0,3.0,5.0,7435
6.0,3.0,0.0,7.0,6307
4.0,0.0,1.0,1.0,4011
6.0,3.0,0.0,1.0,6301
5.0,1.0,0.0,5.0,5105
6.0,8.0,1.0,9.0,6819
8.0,1.0,0.0,1.0,8101
8.0,4.0,1.0,0.0,8410
6.0,1.0,1.0,4.0,6114
6.0,2.0,1.0,1.0,6211
8.0,3.0,0.0,4.0,8304
7.0,2.0,4.0,3.0,7243
6.0,1.0,2.0,3.0,6123
6.0,4.0,3.0,0.0,6430
6.0,1.0,3.0,6.0,6136
5.0,1.0,2.0,4.0,5124
4.0,4.0,1.0,2.0,4412
8.0,3.0,0.0,2.0,8302
7.0,3.0,1.0,5.0,7315
7.0,3.0,0.0,4.0,7304
5.0,0.0,2.0,1.0,5021
4.0,5.0,1.0,1.0,4511
7.0,3.0,1.0,1.0,7311
6.0,3.0,0.0,2.0,6302
5.0,3.0,1.0,2.0,5312
7.0,1.0,3.0,1.0,7131
6.0,5.0,2.0,0.0,6520
0.0,5.0,3.0,2.0,0532
6.0,3.0,1.0,1.0,6311
5.0,1.0,1.0,2.0,5112
4.0,4.0,5.0,5.0,4455
5.0,0.0,0.0,0.0,5000
4.0,1.0,1.0,8.0,4118
8.0,8.0,3.0,2.0,8832
6.0,2.0,1.0,4.0,6214
6.0,0.0,1.0,1.0,6011
5.0,3.0,6.0,1.0,5361
6.0,3.0,2.0,2.0,6322
4.0,4.0,2.0,3.0,4423
7.0,3.0,2.0,3.0,7323
5.0,1.0,3.0,2.0,5132
5.0,1.0,0.0,4.0,5104
5.0,3.0,2.0,5.0,5325
6.0,3.0,2.0,1.0,6321
5.0,5.0,4.0,3.0,5543
6.0,3.0,1.0,1.0,6311
6.0,0.0,3.0,5.0,6035
3.0,7.0,4.0,5.0,3745
8.0,2.0,2.0,7.0,8227
6.0,2.0,0.0,11.0,62011
4.0,1.0,0.0,5.0,4105
5.0,1.0,3.0,6.0,5136
7.0,3.0,1.0,5.0,7315
6.0,2.0,4.0,2.0,6242
7.0,6.0,2.0,1.0,7621
5.0,3.0,1.0,1.0,5311
6.0,2.0,2.0,4.0,6224
4.0,4.0,3.0,1.0,4431
4.0,0.0,6.0,2.0,4062
1.0,4.0,3.0,7.0,1437
