0,1,2,clustered_label
7.0,5.0,3.0,753
6.0,5.0,1.0,651
6.0,4.0,2.0,642
5.0,5.0,3.0,553
8.0,0.0,2.0,802
8.0,2.0,3.0,823
7.0,8.0,3.0,783
7.0,5.0,1.0,751
5.0,2.0,1.0,521
5.0,6.0,4.0,564
6.0,4.0,1.0,641
6.0,5.0,1.0,651
2.0,2.0,1.0,221
6.0,5.0,1.0,651
7.0,3.0,3.0,733
6.0,4.0,2.0,642
7.0,4.0,2.0,742
5.0,6.0,1.0,561
5.0,5.0,3.0,553
7.0,3.0,1.0,731
4.0,5.0,3.0,453
9.0,7.0,4.0,974
6.0,3.0,4.0,634
8.0,7.0,2.0,872
6.0,2.0,3.0,623
8.0,8.0,6.0,886
8.0,4.0,2.0,842
6.0,6.0,6.0,666
6.0,5.0,4.0,654
6.0,3.0,2.0,632
5.0,6.0,2.0,562
1.0,0.0,2.0,102
7.0,5.0,3.0,753
6.0,5.0,2.0,652
6.0,4.0,0.0,640
8.0,6.0,4.0,864
5.0,3.0,3.0,533
4.0,5.0,2.0,452
6.0,4.0,2.0,642
6.0,7.0,2.0,672
5.0,2.0,1.0,521
9.0,7.0,5.0,975
10.0,8.0,4.0,1084
4.0,3.0,3.0,433
6.0,2.0,3.0,623
6.0,2.0,3.0,623
5.0,5.0,2.0,552
4.0,4.0,1.0,441
7.0,6.0,5.0,765
6.0,4.0,2.0,642
6.0,8.0,3.0,683
8.0,4.0,4.0,844
3.0,5.0,1.0,351
5.0,6.0,5.0,565
11.0,11.0,5.0,11115
4.0,4.0,5.0,445
8.0,5.0,2.0,852
5.0,6.0,6.0,566
10.0,10.0,1.0,10101
0.0,0.0,2.0,002
4.0,2.0,1.0,421
4.0,3.0,2.0,432
7.0,6.0,3.0,763
6.0,3.0,2.0,632
5.0,4.0,3.0,543
4.0,4.0,3.0,443
7.0,6.0,1.0,761
9.0,8.0,3.0,983
7.0,4.0,2.0,742
6.0,5.0,2.0,652
4.0,4.0,2.0,442
6.0,3.0,0.0,630
4.0,6.0,4.0,464
7.0,3.0,1.0,731
4.0,8.0,2.0,482
4.0,3.0,2.0,432
4.0,1.0,1.0,411
5.0,5.0,1.0,551
6.0,5.0,3.0,653
6.0,4.0,3.0,643
7.0,5.0,3.0,753
7.0,6.0,2.0,762
9.0,5.0,3.0,953
5.0,5.0,4.0,554
7.0,6.0,7.0,767
5.0,3.0,2.0,532
7.0,7.0,3.0,773
5.0,2.0,1.0,521
7.0,6.0,2.0,762
5.0,4.0,3.0,543
6.0,5.0,1.0,651
6.0,6.0,3.0,663
8.0,6.0,1.0,861
5.0,2.0,1.0,521
8.0,11.0,3.0,8113
6.0,6.0,5.0,665
5.0,3.0,2.0,532
4.0,1.0,1.0,411
5.0,4.0,1.0,541
3.0,1.0,5.0,315
8.0,6.0,2.0,862
5.0,5.0,1.0,551
8.0,6.0,1.0,861
3.0,4.0,4.0,344
6.0,7.0,2.0,672
5.0,4.0,2.0,542
5.0,4.0,2.0,542
6.0,6.0,1.0,661
6.0,5.0,4.0,654
5.0,3.0,0.0,530
4.0,4.0,0.0,440
4.0,6.0,3.0,463
5.0,5.0,0.0,550
8.0,6.0,3.0,863
3.0,4.0,5.0,345
7.0,5.0,3.0,753
5.0,6.0,3.0,563
8.0,6.0,3.0,863
2.0,3.0,4.0,234
6.0,4.0,2.0,642
7.0,3.0,1.0,731
5.0,6.0,4.0,564
4.0,0.0,2.0,402
8.0,5.0,2.0,852
2.0,0.0,1.0,201
7.0,5.0,3.0,753
