index,id,clustered_label,0,1,2
0,101208087.0,430,1,1,0
1,102205089.0,134,1,1,1
2,101208066.0,134,0,0,0
3,101208030.0,134,1,0,0
4,102208075.0,300,1,1,1
5,102205037.0,450,1,1,0
6,102104031.0,300,0,0,0
7,101208085.0,132,0,0,0
8,101208069.0,133,1,1,1
9,102208088.0,660,0,0,0
10,102208081.0,133,0,0,0
11,102208058.0,510,1,1,0
12,102208033.0,240,1,1,1
13,102208008.0,134,1,1,1
14,101208074.0,450,1,1,1
15,99203054.0,135,1,0,0
16,102209035.0,220,1,0,0
17,102208090.0,300,1,1,1
18,102208089.0,630,0,0,0
19,102208086.0,134,1,1,1
20,102208085.0,120,1,1,1
21,102208084.0,860,0,0,0
22,102208083.0,140,1,1,1
23,102208082.0,134,1,1,0
24,102208078.0,300,1,0,0
25,102208074.0,850,0,0,0
26,102208073.0,410,0,0,0
27,102208068.0,850,0,0,0
28,102208066.0,110,1,1,1
29,102208065.0,134,0,0,0
30,102208064.0,220,1,0,0
31,102208063.0,700,1,1,0
32,102208062.0,120,1,0,0
33,102208061.0,160,0,0,0
34,102208060.0,150,0,0,0
35,102208059.0,450,1,0,0
36,102208057.0,620,1,0,0
37,102208056.0,180,1,1,0
38,102208055.0,220,1,1,1
39,102208054.0,110,0,0,0
40,102208053.0,133,1,1,1
41,102208052.0,840,0,0,0
42,102208046.0,810,0,0,0
43,102208045.0,135,1,0,0
44,102208043.0,300,1,1,0
45,102208042.0,110,0,0,0
46,102208041.0,640,0,0,0
47,102208038.0,132,1,1,1
48,102208034.0,430,1,0,0
49,102208032.0,150,1,1,0
50,102208030.0,660,1,1,1
51,102208029.0,440,0,0,0
52,102208024.0,134,1,1,1
53,102208023.0,860,0,0,0
54,102208022.0,820,1,0,0
55,102208021.0,540,1,0,0
56,102208018.0,134,1,1,1
57,102208017.0,110,1,1,0
58,102208014.0,420,0,0,0
59,102208010.0,110,1,0,0
60,102208007.0,520,1,1,0
61,102208006.0,700,1,1,1
62,102208005.0,220,1,0,0
63,102208004.0,120,1,1,1
64,102208002.0,133,1,1,1
65,102208001.0,134,1,1,0
66,102205095.0,134,1,0,0
67,102205092.0,300,0,0,0
68,102205081.0,430,1,1,1
69,102205051.0,131,0,0,0
70,102205033.0,134,0,0,0
71,102205030.0,160,1,0,0
72,102205024.0,136,1,0,0
73,102205022.0,160,1,1,1
74,102205020.0,630,0,0,0
75,102205017.0,134,1,0,0
76,102103012.0,180,1,1,0
77,101502012.0,134,0,0,0
78,101401042.0,630,0,0,0
79,101209037.0,150,1,1,0
80,101208094.0,630,1,1,1
81,101208091.0,160,1,1,1
82,101208090.0,830,0,0,0
83,101208084.0,120,1,0,0
84,101208082.0,430,1,1,1
85,101208080.0,136,0,0,0
86,101208079.0,134,0,0,0
87,101208078.0,530,1,1,1
88,101208070.0,134,1,1,1
89,101208065.0,134,1,1,1
90,101208064.0,300,1,1,1
91,101208062.0,120,1,1,0
92,101208060.0,450,1,0,0
93,101208058.0,230,0,0,0
94,101208056.0,820,0,0,0
95,101208055.0,850,1,1,1
96,101208054.0,150,1,1,1
97,101208053.0,170,1,1,1
98,101208052.0,210,1,0,0
99,101208050.0,560,1,1,1
100,101208034.0,134,1,1,0
101,101208031.0,630,0,0,0
102,101208025.0,550,0,0,0
103,101208017.0,430,1,0,0
104,101208015.0,610,1,1,1
105,101208008.0,134,1,1,1
106,101208005.0,133,1,1,1
107,101208004.0,134,1,1,1
108,101208003.0,520,1,1,1
109,101208002.0,300,0,0,0
110,101205093.0,510,1,0,0
111,101205043.0,520,1,0,0
112,101205029.0,134,1,1,0
113,101204026.0,700,1,1,1
114,101203054.0,410,1,0,0
115,101103034.0,133,1,1,0
116,101102026.0,134,1,0,0
117,101102025.0,133,0,0,0
118,101101050.0,134,0,0,0
119,100508018.0,650,1,0,0
120,100401072.0,460,1,1,1
121,100401044.0,300,0,0,0
122,100206009.0,530,1,1,1
123,100202044.0,510,1,1,0
124,100104041.0,110,1,1,0
125,100101021.0,134,1,1,1
