id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36
101208087.0,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.33,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.66,0.652
102205089.0,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.654,0.652,0.652,0.652,0.652,0.652,0.6509999999999999,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652
101208066.0,0.652,0.652,0.652,0.6509999999999999,0.6509999999999999,0.652,0.652,0.652,0.6509999999999999,0.652,0.6509999999999999,0.652,0.652,0.652,0.652,0.652,0.61,0.652,0.652,0.61,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.66,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652
101208030.0,0.652,0.654,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.654,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.654,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.6509999999999999,0.652,0.652,0.652,0.652,0.652,0.652
102208075.0,0.652,0.652,0.652,0.6559999999999999,0.652,0.54,0.652,0.652,0.652,0.652,0.652,0.36,0.652,0.652,0.652,0.652,0.652,0.36,0.652,0.652,0.652,0.652,0.1,0.53,0.652,0.652,0.652,0.652,0.55,0.652,0.652,0.652,0.652,0.652,0.652,0.54
102205037.0,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.654,0.655,0.36,0.652,0.652,0.652,0.652,0.652,0.66,0.652,0.652,0.652,0.652,0.54,0.62,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652
102104031.0,0.652,0.652,0.6509999999999999,0.652,0.53,0.652,0.652,0.652,0.53,0.654,0.652,0.62,0.652,0.652,0.66,0.652,0.652,0.61,0.34,0.63,0.62,0.6509999999999999,0.2,0.652,0.63,0.652,0.32,0.62,0.652,0.652,0.652,0.2,0.652,0.66,0.653,0.652
101208085.0,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.52,0.652,0.652,0.652,0.652,0.52,0.652,0.652,0.652,0.652,0.652,0.652,0.652
101208069.0,0.652,0.652,0.653,0.655,0.653,0.653,0.652,0.55,0.6509999999999999,0.652,0.652,0.62,0.652,0.652,0.652,0.652,0.61,0.654,0.62,0.62,0.62,0.652,0.53,0.63,0.53,0.53,0.654,0.652,0.652,0.652,0.652,0.66,0.652,0.652,0.652,0.652
102208088.0,0.652,0.652,0.652,0.652,0.652,0.64,0.652,0.652,0.652,0.652,0.652,0.66,0.652,0.652,0.652,0.652,0.652,0.31,0.652,0.652,0.34,0.31,0.652,0.62,0.652,0.652,0.652,0.36,0.653,0.652,0.652,0.652,0.652,0.652,0.2,0.36
