0,1,2,3,clustered_label
4.0,3.0,3.0,1.0,4331
0.0,4.0,6.0,2.0,0462
1.0,0.0,4.0,8.0,1048
6.0,4.0,2.0,4.0,6424
6.0,3.0,4.0,1.0,6341
3.0,4.0,1.0,0.0,3410
1.0,7.0,6.0,1.0,1761
2.0,0.0,4.0,7.0,2047
5.0,6.0,0.0,2.0,5602
3.0,1.0,2.0,1.0,3121
3.0,6.0,7.0,5.0,3675
2.0,3.0,3.0,2.0,2332
1.0,1.0,8.0,9.0,1189
6.0,3.0,1.0,4.0,6314
5.0,1.0,1.0,1.0,5111
5.0,7.0,4.0,3.0,5743
1.0,6.0,3.0,3.0,1633
4.0,1.0,1.0,5.0,4115
1.0,1.0,0.0,4.0,1104
7.0,3.0,3.0,0.0,7330
4.0,2.0,3.0,1.0,4231
0.0,4.0,4.0,3.0,0443
6.0,0.0,1.0,6.0,6016
1.0,2.0,0.0,4.0,1204
3.0,3.0,1.0,1.0,3311
4.0,6.0,5.0,3.0,4653
2.0,4.0,2.0,6.0,2426
3.0,0.0,6.0,7.0,3067
2.0,3.0,0.0,5.0,2305
7.0,3.0,4.0,1.0,7341
4.0,2.0,1.0,3.0,4213
0.0,3.0,8.0,5.0,0385
3.0,0.0,4.0,5.0,3045
3.0,2.0,2.0,8.0,3228
12.0,5.0,4.0,0.0,12540
7.0,6.0,3.0,4.0,7634
0.0,6.0,3.0,3.0,0633
3.0,0.0,3.0,4.0,3034
3.0,2.0,1.0,1.0,3211
2.0,1.0,0.0,1.0,2101
5.0,9.0,4.0,4.0,5944
1.0,4.0,5.0,2.0,1452
2.0,1.0,4.0,4.0,2144
1.0,1.0,1.0,4.0,1114
1.0,1.0,1.0,1.0,1111
6.0,7.0,2.0,1.0,6721
1.0,3.0,2.0,4.0,1324
2.0,2.0,6.0,10.0,22610
6.0,4.0,0.0,4.0,6404
4.0,1.0,1.0,1.0,4111
7.0,11.0,3.0,2.0,71132
1.0,5.0,5.0,0.0,1550
4.0,0.0,4.0,4.0,4044
0.0,3.0,1.0,4.0,0314
5.0,1.0,2.0,0.0,5120
5.0,6.0,4.0,5.0,5645
1.0,4.0,3.0,4.0,1434
