index,id,clustered_label,0,1,2,3
0.0,101208087.0,82100.0,1,1,1,0
1.0,102205089.0,85632.0,0,0,0,0
2.0,101208066.0,85632.0,0,0,0,0
3.0,101208030.0,85632.0,0,0,0,0
4.0,102208075.0,24000.0,1,1,1,1
5.0,102205037.0,74300.0,0,0,0,0
6.0,102104031.0,73000.0,1,1,0,0
7.0,101208085.0,13100.0,0,0,0,0
8.0,101208069.0,71000.0,1,0,0,0
9.0,102208088.0,87400.0,0,0,0,0
10.0,102208081.0,74600.0,0,0,0,0
11.0,102208058.0,88000.0,0,0,0,0
12.0,102208033.0,16399.0,0,0,0,0
13.0,102208008.0,85632.0,0,0,0,0
14.0,101208074.0,74300.0,0,0,0,0
15.0,99203054.0,85640.0,0,0,0,0
16.0,102209035.0,14000.0,1,1,1,0
17.0,102208090.0,74400.0,0,0,0,0
18.0,102208089.0,52000.0,0,0,0,0
19.0,102208086.0,85632.0,1,0,0,0
20.0,102208085.0,55000.0,0,0,0,0
21.0,102208084.0,34000.0,1,0,0,0
22.0,102208083.0,62300.0,0,0,0,0
23.0,102208082.0,85634.0,0,0,0,0
24.0,102208078.0,64300.0,1,0,0,0
25.0,102208074.0,41000.0,0,0,0,0
26.0,102208073.0,81000.0,1,0,0,0
27.0,102208068.0,76000.0,0,0,0,0
28.0,102208066.0,55000.0,1,1,0,0
29.0,102208065.0,85632.0,1,0,0,0
30.0,102208064.0,82200.0,0,0,0,0
31.0,102208063.0,94000.0,1,0,0,0
32.0,102208062.0,89099.0,0,0,0,0
33.0,102208061.0,64400.0,0,0,0,0
34.0,102208060.0,64500.0,0,0,0,0
35.0,102208059.0,72000.0,0,0,0,0
36.0,102208057.0,66000.0,1,1,1,0
37.0,102208056.0,91000.0,0,0,0,0
38.0,102208055.0,64099.0,0,0,0,0
39.0,102208054.0,54000.0,0,0,0,0
40.0,102208053.0,76000.0,0,0,0,0
41.0,102208052.0,63000.0,0,0,0,0
42.0,102208046.0,52000.0,0,0,0,0
43.0,102208045.0,85640.0,0,0,0,0
44.0,102208043.0,85636.0,0,0,0,0
45.0,102208042.0,85300.0,1,0,0,0
46.0,102208041.0,51000.0,1,0,0,0
47.0,102208038.0,34000.0,0,0,0,0
48.0,102208034.0,82100.0,0,0,0,0
49.0,102208032.0,14000.0,0,0,0,0
50.0,102208030.0,65000.0,0,0,0,0
51.0,102208029.0,82300.0,1,1,0,0
52.0,102208024.0,85200.0,0,0,0,0
53.0,102208023.0,85500.0,0,0,0,0
54.0,102208022.0,62200.0,0,0,0,0
55.0,102208021.0,35000.0,1,0,0,0
56.0,102208018.0,85632.0,1,1,0,0
57.0,102208017.0,87100.0,0,0,0,0
58.0,102208014.0,42000.0,0,0,0,0
59.0,102208010.0,56000.0,0,0,0,0
60.0,102208007.0,33000.0,0,0,0,0
61.0,102208006.0,85900.0,1,0,0,0
62.0,102208005.0,85610.0,0,0,0,0
63.0,102208004.0,61400.0,1,1,1,0
64.0,102208002.0,74600.0,0,0,0,0
65.0,102208001.0,64200.0,0,0,0,0
66.0,102205095.0,85632.0,1,1,1,0
67.0,102205092.0,54000.0,0,0,0,0
68.0,102205081.0,82100.0,1,1,0,0
69.0,102205051.0,74100.0,0,0,0,0
70.0,102205033.0,82400.0,1,0,0,0
71.0,102205030.0,64400.0,1,0,0,0
72.0,102205024.0,89400.0,0,0,0,0
73.0,102205022.0,85700.0,0,0,0,0
74.0,102205020.0,64599.0,0,0,0,0
75.0,102205017.0,85632.0,0,0,0,0
