id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week2,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week3,week30,week31,week32,week33,week34,week35,week36,week4,week5,week6,week7,week8,week9
101208087,0.4633,0.4633,0.4633,0.61,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.44,0.464,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633
102205089,0.4633,0.4633,0.4633,0.4634,0.4633,0.4633,0.4633,0.4633,0.4633,0.462,0.4633,0.4633,0.4633,0.4633,0.4633,0.4634,0.4633,0.4633,0.4634,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4635,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633
101208066,0.4633,0.4633,0.4632,0.4633,0.4634,0.4634,0.4633,0.4634,0.424,0.4633,0.4633,0.4633,0.426,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.41,0.4633,0.4633,0.4634,0.4633,0.4633,0.4633,0.4634,0.4633,0.4633,0.462,0.462,0.4633,0.4633,0.4633,0.4632
101208030,0.4633,0.4633,0.4633,0.4633,0.4634,0.4634,0.4633,0.4633,0.4633,0.4633,0.4633,0.4631,0.4631,0.4633,0.4633,0.4633,0.4633,0.4634,0.4633,0.4633,0.4633,0.4633,0.4633,0.4632,0.4633,0.4633,0.4634,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4634,0.4633,0.4633
102208075,0.4633,0.4633,0.4633,0.56,0.4633,0.4633,0.4633,0.4633,0.4633,0.55,0.4633,0.4633,0.4633,0.4634,0.4633,0.31,0.21,0.4633,0.4634,0.4633,0.4633,0.23,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.25,0.4631,0.4633,0.24,0.4634,0.4633,0.4633
102205037,0.4633,0.4634,0.44,0.56,0.4633,0.4633,0.4633,0.4633,0.4634,0.51,0.4633,0.4633,0.4633,0.4633,0.4633,0.25,0.51,0.4633,0.4633,0.4633,0.4633,0.4635,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633
102104031,0.4633,0.4631,0.4632,0.55,0.4633,0.4634,0.41,0.4633,0.4633,0.425,0.65,0.4633,0.426,0.55,0.4632,0.11,0.4633,0.461,0.4634,0.64,0.54,0.4633,0.4632,0.4633,0.4633,0.11,0.4634,0.41,0.45,0.4636,0.4634,0.21,0.4636,0.4633,0.4634,0.21
101208085,0.4633,0.4633,0.4633,0.464,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.26,0.4633,0.4633,0.4633,0.4633,0.26,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4636,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633
101208069,0.4633,0.4634,0.4634,0.51,0.4635,0.4633,0.4633,0.4634,0.425,0.45,0.55,0.4633,0.51,0.51,0.466,0.21,0.461,0.21,0.21,0.4631,0.4633,0.4633,0.45,0.4633,0.4633,0.51,0.4633,0.4633,0.4633,0.4633,0.44,0.464,0.45,0.4633,0.24,0.4632
102208088,0.4633,0.4633,0.4633,0.41,0.4633,0.4633,0.4633,0.4633,0.4633,0.65,0.4633,0.4633,0.466,0.65,0.66,0.4636,0.51,0.4633,0.4633,0.4633,0.55,0.464,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.11,0.55,0.4633,0.4633,0.465,0.4633,0.4635,0.4633
