TA_video,TA_text,Teacher_video,Teacher_text,id,week,clustered_label
0,0,0,0,100101021,week1,4633
0,0,9,94,100101021,week2,4634
28,60,5,44,100101021,week3,4634
0,8,0,104,100101021,week4,4634
0,88,0,20,100101021,week5,4634
34,0,8,257,100101021,week6,4620
0,49,0,47,100101021,week7,4634
0,0,0,46,100101021,week8,4634
0,53,0,39,100101021,week9,4634
0,34,0,49,100101021,week10,4634
0,41,0,43,100101021,week11,4634
0,0,904,0,100101021,week12,4500
0,38,6,47,100101021,week13,4634
0,254,0,35,100101021,week14,4631
0,89,0,39,100101021,week15,4634
0,0,0,307,100101021,week16,4620
0,0,2308,65,100101021,week17,4500
0,0,0,0,100101021,week18,4633
0,0,0,0,100101021,week19,4633
0,88,0,131,100101021,week20,4632
0,0,0,0,100101021,week21,4633
0,81,0,64,100101021,week22,4634
0,0,0,80,100101021,week23,4634
0,0,0,0,100101021,week24,4633
0,0,0,68,100101021,week25,4634
39,39,0,38,100101021,week26,4634
0,0,0,0,100101021,week27,4633
3118,0,0,39,100101021,week28,5100
35,0,0,0,100101021,week29,4633
0,0,0,0,100101021,week30,4633
0,0,0,0,100101021,week31,4633
0,0,0,54,100101021,week32,4634
0,0,0,0,100101021,week33,4633
0,0,0,0,100101021,week34,4633
0,0,0,0,100101021,week35,4633
0,0,52,0,100101021,week36,4633
0,0,0,0,100104041,week1,4633
0,0,0,88,100104041,week2,4634
0,23,0,16,100104041,week3,4633
0,0,0,13,100104041,week4,4633
0,13,0,53,100104041,week5,4634
0,0,0,0,100104041,week6,4633
0,0,0,375,100104041,week7,4620
0,12,0,30,100104041,week8,4634
0,49,3265,1394,100104041,week9,4400
0,16,0,1960,100104041,week10,4260
0,662,68,637,100104041,week11,4620
0,8,7,5,100104041,week12,4633
0,203,0,10,100104041,week13,4631
0,7,0,119,100104041,week14,4632
0,98,0,80,100104041,week15,4634
0,111,0,32,100104041,week16,4634
0,0,0,12,100104041,week17,4633
0,32,0,7089,100104041,week18,1100
0,0,0,0,100104041,week19,4633
0,435,0,0,100104041,week20,4631
0,0,0,0,100104041,week21,4633
0,0,0,41,100104041,week22,4634
0,0,0,0,100104041,week23,4633
0,0,0,0,100104041,week24,4633
0,0,0,993,100104041,week25,4610
0,0,0,0,100104041,week26,4633
0,0,0,0,100104041,week27,4633
0,0,0,118,100104041,week28,4632
0,940,0,0,100104041,week29,4650
0,0,0,0,100104041,week30,4633
0,0,0,0,100104041,week31,4633
0,0,0,38,100104041,week32,4634
