0,1,2,clustered_label
7.0,7.0,5.0,775
1.0,6.0,8.0,168
6.0,1.0,6.0,616
8.0,3.0,1.0,831
6.0,8.0,5.0,685
1.0,6.0,8.0,168
5.0,1.0,6.0,516
7.0,6.0,2.0,762
6.0,8.0,2.0,682
1.0,6.0,8.0,168
5.0,1.0,5.0,515
7.0,4.0,1.0,741
6.0,6.0,4.0,664
1.0,6.0,8.0,168
4.0,1.0,6.0,416
8.0,4.0,2.0,842
5.0,8.0,5.0,585
1.0,6.0,8.0,168
4.0,1.0,6.0,416
8.0,5.0,2.0,852
6.0,8.0,4.0,684
0.0,6.0,7.0,067
4.0,1.0,6.0,416
7.0,3.0,1.0,731
5.0,7.0,4.0,574
1.0,6.0,6.0,166
5.0,2.0,6.0,526
8.0,4.0,1.0,841
6.0,8.0,5.0,685
1.0,5.0,6.0,156
3.0,1.0,7.0,317
7.0,2.0,1.0,721
6.0,7.0,4.0,674
1.0,6.0,7.0,167
3.0,1.0,6.0,316
7.0,5.0,1.0,751
6.0,7.0,4.0,674
1.0,6.0,7.0,167
3.0,1.0,6.0,316
8.0,5.0,1.0,851
6.0,7.0,5.0,675
1.0,5.0,6.0,156
3.0,1.0,6.0,316
7.0,3.0,1.0,731
6.0,8.0,4.0,684
1.0,6.0,7.0,167
5.0,1.0,5.0,515
7.0,2.0,1.0,721
6.0,7.0,3.0,673
1.0,5.0,8.0,158
3.0,1.0,6.0,316
7.0,3.0,1.0,731
5.0,7.0,3.0,573
1.0,6.0,7.0,167
5.0,2.0,5.0,525
7.0,4.0,1.0,741
5.0,6.0,1.0,561
1.0,7.0,7.0,177
4.0,0.0,6.0,406
8.0,6.0,2.0,862
6.0,7.0,4.0,674
1.0,5.0,6.0,156
3.0,1.0,6.0,316
8.0,4.0,1.0,841
6.0,8.0,4.0,684
1.0,6.0,8.0,168
5.0,1.0,4.0,514
5.0,0.0,2.0,502
6.0,7.0,4.0,674
0.0,6.0,8.0,068
4.0,1.0,5.0,415
6.0,4.0,0.0,640
5.0,7.0,4.0,574
1.0,6.0,8.0,168
5.0,2.0,6.0,526
8.0,4.0,1.0,841
5.0,8.0,6.0,586
1.0,7.0,8.0,178
4.0,1.0,6.0,416
8.0,4.0,2.0,842
6.0,7.0,5.0,675
2.0,6.0,7.0,267
4.0,1.0,6.0,416
8.0,5.0,1.0,851
6.0,7.0,4.0,674
2.0,6.0,7.0,267
3.0,1.0,6.0,316
7.0,3.0,1.0,731
6.0,8.0,3.0,683
1.0,5.0,7.0,157
4.0,1.0,7.0,417
8.0,7.0,1.0,871
6.0,6.0,3.0,663
1.0,6.0,8.0,168
5.0,1.0,5.0,515
8.0,5.0,1.0,851
6.0,7.0,3.0,673
1.0,6.0,8.0,168
5.0,1.0,6.0,516
8.0,5.0,1.0,851
6.0,8.0,5.0,685
0.0,6.0,8.0,068
5.0,1.0,7.0,517
7.0,3.0,1.0,731
6.0,7.0,4.0,674
1.0,5.0,7.0,157
3.0,1.0,5.0,315
7.0,4.0,1.0,741
6.0,7.0,4.0,674
1.0,6.0,6.0,166
3.0,1.0,6.0,316
7.0,4.0,2.0,742
5.0,8.0,3.0,583
1.0,6.0,8.0,168
5.0,1.0,6.0,516
7.0,2.0,0.0,720
6.0,7.0,4.0,674
1.0,6.0,8.0,168
4.0,1.0,6.0,416
8.0,5.0,1.0,851
5.0,8.0,2.0,582
1.0,6.0,7.0,167
4.0,1.0,6.0,416
7.0,4.0,1.0,741
6.0,7.0,4.0,674
1.0,5.0,6.0,156
3.0,1.0,6.0,316
8.0,5.0,1.0,851
6.0,7.0,5.0,675
1.0,5.0,7.0,157
3.0,2.0,6.0,326
8.0,5.0,1.0,851
5.0,8.0,4.0,584
1.0,6.0,8.0,168
3.0,2.0,5.0,325
7.0,4.0,1.0,741
6.0,8.0,5.0,685
1.0,5.0,7.0,157
4.0,1.0,6.0,416
7.0,4.0,1.0,741
6.0,8.0,4.0,684
1.0,6.0,8.0,168
5.0,1.0,6.0,516
8.0,5.0,1.0,851
6.0,8.0,5.0,685
1.0,5.0,8.0,158
5.0,1.0,6.0,516
7.0,3.0,1.0,731
6.0,8.0,5.0,685
1.0,7.0,7.0,177
2.0,2.0,6.0,226
8.0,5.0,0.0,850
6.0,7.0,3.0,673
0.0,6.0,8.0,068
5.0,1.0,6.0,516
7.0,4.0,1.0,741
6.0,6.0,2.0,662
1.0,6.0,6.0,166
4.0,2.0,5.0,425
6.0,3.0,1.0,631
5.0,7.0,3.0,573
1.0,6.0,7.0,167
4.0,1.0,6.0,416
8.0,5.0,2.0,852
6.0,7.0,3.0,673
1.0,6.0,7.0,167
3.0,1.0,7.0,317
7.0,3.0,1.0,731
