id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week2,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week3,week30,week31,week32,week33,week34,week35,week36,week4,week5,week6,week7,week8,week9
101208087,0.686,0.686,0.686,0.76,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.51,0.687,0.686,0.686,0.686,0.686,0.686,0.686
102205089,0.686,0.686,0.686,0.681,0.686,0.686,0.686,0.686,0.686,0.63,0.686,0.686,0.686,0.686,0.686,0.684,0.686,0.686,0.684,0.686,0.686,0.686,0.686,0.686,0.686,0.688,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686
101208066,0.686,0.686,0.682,0.686,0.684,0.684,0.686,0.684,0.38,0.686,0.686,0.686,0.36,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.65,0.686,0.686,0.684,0.686,0.686,0.686,0.684,0.686,0.686,0.682,0.63,0.686,0.686,0.686,0.682
101208030,0.686,0.681,0.686,0.686,0.684,0.684,0.686,0.686,0.686,0.686,0.686,0.681,0.681,0.686,0.686,0.686,0.686,0.684,0.686,0.686,0.686,0.686,0.684,0.682,0.686,0.686,0.684,0.686,0.686,0.686,0.686,0.686,0.686,0.684,0.686,0.686
102208075,0.686,0.686,0.686,0.91,0.686,0.686,0.686,0.686,0.686,0.93,0.686,0.686,0.686,0.684,0.686,0.16,0.56,0.686,0.683,0.686,0.686,0.42,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.45,0.64,0.684,0.47,0.684,0.686,0.686
102205037,0.686,0.681,0.51,0.91,0.686,0.686,0.686,0.686,0.684,0.95,0.686,0.686,0.686,0.686,0.686,0.48,0.96,0.686,0.686,0.686,0.686,0.688,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686
102104031,0.686,0.681,0.683,0.93,0.686,0.684,0.65,0.686,0.686,0.35,0.77,0.684,0.36,0.93,0.683,0.21,0.686,0.62,0.684,0.72,0.97,0.686,0.682,0.686,0.686,0.37,0.684,0.65,0.66,0.685,0.684,0.55,0.685,0.686,0.684,0.55
101208085,0.686,0.686,0.686,0.67,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.46,0.686,0.686,0.686,0.686,0.46,0.686,0.686,0.686,0.686,0.686,0.686,0.685,0.686,0.686,0.686,0.686,0.686,0.686,0.686
101208069,0.686,0.684,0.684,0.96,0.688,0.686,0.686,0.684,0.39,0.67,0.93,0.686,0.95,0.97,0.64,0.57,0.62,0.55,0.57,0.681,0.686,0.686,0.66,0.686,0.686,0.97,0.686,0.686,0.686,0.686,0.54,0.67,0.67,0.686,0.44,0.682
102208088,0.686,0.686,0.686,0.65,0.686,0.686,0.686,0.686,0.686,0.78,0.686,0.686,0.64,0.77,0.74,0.685,0.96,0.686,0.686,0.686,0.93,0.67,0.686,0.686,0.686,0.686,0.686,0.686,0.34,0.92,0.686,0.686,0.61,0.686,0.688,0.686
102208081,0.686,0.682,0.686,0.686,0.686,0.686,0.686,0.684,0.686,0.681,0.686,0.686,0.686,0.686,0.686,0.57,0.686,0.686,0.686,0.63,0.684,0.64,0.686,0.686,0.686,0.686,0.683,0.686,0.64,0.686,0.686,0.686,0.686,0.686,0.683,0.686
102208058,0.686,0.686,0.686,0.95,0.686,0.686,0.686,0.686,0.686,0.77,0.686,0.686,0.686,0.686,0.686,0.686,0.76,0.686,0.686,0.686,0.686,0.686,0.686,0.683,0.686,0.686,0.686,0.683,0.66,0.15,0.686,0.686,0.67,0.686,0.686,0.686
102208033,0.686,0.686,0.686,0.55,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.12,0.47,0.67,0.686,0.686,0.66,0.14,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.58,0.686,0.686,0.11,0.686,0.686,0.686
