id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week2,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week3,week30,week31,week32,week33,week34,week35,week36,week4,week5,week6,week7,week8,week9
101208087,686,686,686,760,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,510,687,686,686,686,686,686,686
102205089,686,686,686,680,686,686,686,686,686,630,686,686,686,686,686,684,686,686,684,686,686,686,686,686,686,688,686,686,686,686,686,686,686,686,686,686
101208066,686,686,682,686,684,684,686,684,380,686,686,686,360,686,686,686,686,686,686,686,650,686,686,684,686,686,686,684,686,686,682,630,686,686,686,682
101208030,686,680,686,686,684,684,686,686,686,686,686,680,680,686,686,686,686,684,686,686,686,686,684,682,686,686,684,686,686,686,686,686,686,684,686,686
102208075,686,686,686,910,686,686,686,686,686,930,686,686,686,684,686,160,560,686,682,686,686,420,686,686,686,686,686,686,686,450,640,684,470,684,686,686
102205037,686,680,510,910,686,686,686,686,684,950,686,686,686,686,686,480,960,686,686,686,686,688,686,686,686,686,686,686,686,686,686,686,686,686,686,686
102104031,686,680,682,930,686,684,650,686,686,350,770,684,360,930,682,210,686,620,684,720,970,686,682,686,686,370,684,650,660,685,684,550,685,686,684,550
101208085,686,686,686,670,686,686,686,686,686,686,686,686,686,686,686,686,460,686,686,686,686,460,686,686,686,686,686,686,685,686,686,686,686,686,686,686
101208069,686,684,684,960,688,686,686,684,390,670,930,686,950,970,640,570,620,550,570,680,686,686,660,686,686,970,686,686,686,686,540,670,670,686,440,682
102208088,686,686,686,650,686,686,686,686,686,780,686,686,640,770,740,685,960,686,686,686,930,670,686,686,686,686,686,686,340,920,686,686,610,686,688,686
102208081,686,682,686,686,686,686,686,684,686,680,686,686,686,686,686,570,686,686,686,630,684,640,686,686,686,686,682,686,640,686,686,686,686,686,682,686
102208058,686,686,686,950,686,686,686,686,686,770,686,686,686,686,686,686,760,686,686,686,686,686,686,682,686,686,686,682,660,150,686,686,670,686,686,686
102208033,686,686,686,550,686,686,686,686,686,686,686,686,686,686,686,120,470,670,686,686,660,140,686,686,686,686,686,686,686,580,686,686,110,686,686,686
102208008,686,686,685,685,686,686,686,686,670,670,687,686,685,686,687,687,686,685,687,670,660,685,686,686,686,686,686,686,685,686,670,660,686,685,685,686
101208074,686,686,684,910,686,684,684,686,684,620,686,686,684,670,970,460,660,686,686,686,686,686,686,686,686,686,686,686,686,686,686,685,660,686,684,686
