id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label
101208087,234,234,234,234,234,234,234,234,234,234,234,141,234,234,234,234,234,234,0.1141
102205089,234,234,234,234,234,234,234,234,234,234,234,231,234,234,234,234,234,231,0.3262
101208066,234,234,234,231,231,234,234,234,231,234,231,234,234,234,234,234,222,234,0.3261
101208030,234,231,234,234,234,234,234,234,234,234,234,234,234,231,234,234,234,234,0.3262
102208075,234,234,234,231,234,130,234,234,234,234,234,130,234,234,234,234,234,130,0.74
102205037,234,234,234,234,234,234,234,234,234,231,244,144,234,234,234,234,234,241,0.1141
102104031,234,234,231,234,110,234,234,234,110,231,234,110,234,234,233,234,234,223,0.141
101208085,234,234,234,234,234,234,234,234,234,234,234,233,234,234,234,234,234,234,0.3262
101208069,234,234,242,243,233,242,234,141,231,234,234,110,234,234,234,234,223,233,0.112
102208088,234,234,234,234,234,211,234,231,234,234,234,241,234,234,234,234,234,310,0.314
102208081,234,234,234,234,234,234,234,234,234,231,234,234,234,234,234,234,234,231,0.3262
102208058,234,234,234,234,234,233,234,234,234,234,234,110,234,234,234,234,234,320,0.111
102208049,234,234,234,234,234,142,244,243,234,234,234,130,234,234,234,234,234,234,0.113
102208033,234,234,234,234,234,330,234,234,234,234,234,110,234,234,234,234,234,234,0.1144
102208008,234,234,234,242,242,234,234,234,234,234,234,234,234,234,234,234,233,233,0.3262
101208074,234,234,234,234,234,244,234,234,234,234,234,141,234,234,234,234,234,213,0.1142
99304030,234,234,234,234,231,234,234,234,231,213,231,410,234,234,234,234,234,233,0.832
99203054,234,231,233,231,234,234,234,234,130,212,243,212,234,234,242,234,234,234,0.36
103302104,234,231,234,234,234,410,234,234,234,231,234,430,234,234,234,234,234,410,0.42
103302103,234,234,234,213,234,212,234,234,234,234,213,430,234,213,234,234,212,211,0.842
102306046,234,234,233,231,231,233,234,231,234,234,212,340,430,231,213,234,234,130,0.823
102306041,234,234,213,231,231,234,234,231,234,234,214,233,234,234,234,234,410,243,0.53
102209035,234,234,231,234,234,244,231,234,234,231,231,440,234,234,234,234,234,110,0.844
102208090,234,234,234,231,234,223,231,211,223,231,234,231,234,234,231,234,234,223,0.325
102208089,234,234,234,234,231,144,234,234,231,234,231,233,234,234,222,234,234,234,0.734
102208086,234,234,234,234,212,231,234,231,234,231,213,234,231,231,231,234,234,213,0.325
102208085,234,234,234,242,234,223,234,234,233,234,234,234,234,234,234,234,234,234,0.3263
102208084,234,234,213,234,234,231,234,234,234,234,130,231,234,234,234,223,234,223,0.334
102208083,234,231,234,234,234,130,234,234,244,231,234,243,213,234,234,234,234,110,0.71
102208082,234,234,234,234,231,243,234,234,234,234,233,242,234,234,234,234,234,233,0.3266
102208078,234,234,234,234,231,141,234,234,234,234,231,234,223,231,231,234,234,142,0.71
102208074,234,234,234,231,234,234,234,234,234,234,233,340,234,234,234,234,234,320,0.831
102208073,234,234,130,110,234,233,130,234,233,234,234,130,234,234,234,234,234,234,0.15
102208068,234,234,231,234,234,130,234,234,231,234,234,244,234,234,234,234,231,234,0.732
102208066,234,212,234,234,231,222,231,234,231,234,233,214,234,231,241,234,231,340,0.314
102208065,234,234,234,231,234,234,234,231,234,234,234,234,234,234,212,234,234,234,0.3264
102208064,234,234,234,234,234,243,234,234,234,234,234,120,234,234,234,234,234,234,0.1143
102208063,234,234,234,212,231,233,234,231,234,234,340,110,234,430,234,440,234,430,0.24
102208062,234,234,231,234,234,242,234,234,234,223,231,120,234,234,234,234,231,234,0.1143
102208061,234,231,234,234,234,430,212,234,234,234,234,234,234,234,234,234,234,234,0.43
102208060,234,234,234,234,430,130,234,234,234,234,234,231,234,234,234,234,234,234,0.76
102208059,234,231,231,234,234,223,211,244,242,234,244,320,242,234,234,234,213,234,0.833
102208057,234,234,234,234,320,141,234,234,234,234,234,244,234,234,234,234,234,234,0.76
102208056,234,234,223,234,430,222,234,231,234,234,234,110,234,231,234,234,234,320,0.12
102208055,234,234,234,223,234,130,233,234,234,234,233,242,234,234,234,234,234,233,0.732
102208054,234,234,213,211,233,211,234,234,234,234,234,120,234,231,234,234,234,141,0.116
102208053,234,234,234,234,234,144,234,234,234,213,234,234,234,234,234,234,234,234,0.734
102208052,234,234,234,231,234,430,231,234,234,234,110,141,234,234,212,234,234,242,0.41
102208046,234,234,234,234,242,310,234,234,130,234,243,234,234,234,234,234,231,141,0.66
102208045,234,234,234,234,234,234,234,234,130,234,234,110,234,234,234,234,234,243,0.115
102208044,234,234,234,234,234,340,234,110,234,234,330,130,234,234,234,234,243,231,0.13
102208043,234,234,234,234,234,234,234,234,234,234,234,234,234,234,110,234,234,110,0.61
102208042,234,231,211,234,221,234,234,234,234,234,234,234,234,234,234,234,234,223,0.324
102208041,234,234,410,223,221,110,234,234,233,234,222,120,234,234,212,440,233,430,0.21
102208038,234,234,234,234,231,223,234,234,234,234,110,213,234,234,234,234,234,234,0.333
102208034,234,231,234,234,234,234,234,234,234,234,234,144,234,234,234,234,234,233,0.1141
102208032,234,234,234,234,234,130,234,234,234,234,234,143,234,234,234,234,234,144,0.74
102208030,234,234,234,234,110,141,222,420,244,234,340,234,234,231,244,234,231,234,0.72
102208029,234,234,244,231,110,223,234,234,234,234,141,130,234,234,234,234,234,234,0.142
102208024,234,234,222,234,234,233,234,234,233,234,234,244,234,234,234,234,234,244,0.3266
102208023,234,234,234,231,213,233,234,234,242,234,234,233,234,234,234,234,234,234,0.322
102208022,234,234,233,231,234,110,234,231,234,234,231,320,234,234,234,234,234,130,0.71
102208021,234,234,234,234,234,234,234,234,234,430,234,234,234,234,234,234,234,234,0.35
102208018,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,0.3262
102208017,234,231,234,234,234,234,234,234,234,231,231,110,231,234,234,234,234,141,0.116
102208014,234,234,234,340,243,234,234,231,234,231,234,440,234,234,234,234,234,242,0.86
102208010,234,231,234,130,233,244,234,234,234,410,234,110,234,242,234,234,234,320,0.16
102208007,234,234,234,234,234,214,234,212,234,213,234,141,234,234,234,234,234,110,0.62
102208006,234,234,234,231,234,242,234,234,234,234,340,234,234,234,234,234,234,141,0.64
102208005,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,0.3262
102208004,234,234,211,234,233,141,234,211,234,234,213,231,234,212,231,234,212,212,0.731
102208002,234,234,234,234,234,213,234,234,231,234,234,234,234,234,234,234,234,231,0.3263
102208001,234,234,234,212,211,130,234,233,234,234,234,234,234,234,234,234,234,234,0.735
102205095,234,234,231,234,231,234,234,234,234,234,234,234,234,231,234,234,234,234,0.3262
102205092,234,234,231,231,223,223,234,234,234,234,234,212,231,234,231,234,234,110,0.62
102205081,234,234,231,234,234,234,234,234,234,234,234,142,234,234,234,234,234,233,0.1141
102205051,234,234,212,234,234,234,234,234,234,234,233,242,234,234,234,234,130,244,0.321
102205033,234,234,234,234,234,234,234,234,234,234,234,110,234,234,234,234,234,233,0.1143
102205030,234,234,234,234,211,410,234,234,234,231,234,234,234,234,234,234,234,222,0.43
102205024,234,234,234,234,234,231,234,234,231,234,234,234,234,231,234,234,234,234,0.3262
102205022,234,234,223,234,234,340,234,213,234,234,234,233,234,234,234,234,234,233,0.43
102205020,234,234,212,222,234,320,234,234,234,234,234,223,234,234,234,234,234,130,0.65
102205017,234,234,231,231,231,234,231,234,234,231,234,234,231,234,234,231,234,234,0.3262
102103012,234,231,234,234,320,221,234,110,120,231,234,242,234,234,234,234,234,110,0.63
101502012,234,231,234,234,233,242,234,234,234,231,234,231,234,234,234,234,234,231,0.3262
101401042,234,234,234,234,234,110,231,234,234,234,234,110,234,234,234,234,234,234,0.113
101302049,234,234,234,234,234,231,234,231,234,234,231,231,234,234,234,234,231,222,0.3265
101209037,234,234,234,234,110,130,234,234,234,231,231,130,234,234,231,234,223,242,0.143
101208094,234,234,234,234,234,110,222,234,234,234,234,243,234,234,234,231,234,214,0.736
101208091,234,234,212,231,231,222,234,234,212,234,233,234,234,234,234,234,234,234,0.324
101208090,234,234,234,234,231,211,234,211,222,231,234,330,234,234,234,234,213,234,0.833
101208084,234,234,243,234,234,110,234,234,234,234,234,234,234,234,234,234,234,234,0.736
101208082,234,231,234,231,110,130,234,234,234,234,231,320,234,231,231,234,234,242,0.81
101208080,234,234,234,234,231,234,234,234,234,231,234,234,234,234,234,231,234,243,0.3262
101208079,234,231,231,221,234,234,234,234,234,234,234,234,234,234,234,234,231,231,0.3261
101208078,234,234,234,234,234,233,234,234,234,234,231,242,234,234,234,234,234,234,0.3266
101208070,234,234,234,234,234,234,234,234,234,234,231,234,234,234,234,234,234,234,0.3262
101208065,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,0.3262
101208064,234,234,234,234,211,234,231,234,234,234,130,234,234,234,212,234,231,234,0.334
101208062,234,231,234,231,234,234,234,231,231,234,234,234,234,234,234,234,233,233,0.3262
101208060,234,234,231,234,234,234,234,234,234,234,234,430,234,234,234,234,234,110,0.844
101208058,234,340,241,142,231,144,231,244,234,231,242,310,440,234,234,234,234,243,0.822
101208056,234,234,234,234,213,234,234,234,234,234,231,320,234,234,234,234,212,234,0.833
101208055,234,234,234,130,234,234,234,142,234,234,234,242,234,234,234,234,234,233,0.323
101208054,234,234,234,234,110,241,234,234,234,234,234,141,234,234,234,234,234,234,0.144
101208053,234,231,234,234,234,234,234,234,234,234,234,234,231,211,234,430,234,234,0.34
101208052,234,231,231,234,234,120,234,234,231,223,231,310,231,231,231,234,234,231,0.733
101208050,234,234,212,234,234,340,231,234,234,234,234,340,234,234,234,234,234,234,0.44
101208034,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,0.3262
101208031,234,234,234,231,234,242,234,231,120,234,234,234,234,234,234,234,234,234,0.36
101208025,234,234,212,213,234,142,234,234,234,234,222,430,234,234,234,234,234,211,0.841
101208017,234,234,212,231,141,212,234,234,234,234,234,130,234,234,234,234,234,242,0.144
101208015,234,234,234,234,212,242,234,234,234,234,234,340,234,234,234,234,234,242,0.833
101208013,234,234,234,234,231,234,234,234,234,234,234,213,234,234,234,234,234,234,0.322
101208008,234,234,234,234,231,234,234,234,234,234,234,234,234,234,234,234,234,233,0.3262
101208005,234,234,234,234,223,234,234,234,234,234,234,214,234,234,234,233,234,234,0.322
101208004,234,234,234,231,234,231,234,234,234,234,234,243,234,234,234,234,234,234,0.3266
101208003,234,234,234,234,234,233,234,234,234,234,234,244,234,234,234,234,234,234,0.3266
101208002,234,212,213,234,222,234,234,234,234,234,234,244,234,234,234,212,234,234,0.324
101205093,234,234,234,213,231,231,234,234,234,234,110,420,212,231,233,234,234,340,0.85
101205043,234,234,234,234,234,130,234,234,212,234,234,234,231,234,234,234,234,130,0.71
101205029,234,231,242,234,234,223,234,234,233,231,110,221,234,110,244,234,234,234,0.331
101204026,234,231,234,223,231,234,234,234,231,234,340,233,213,231,234,234,234,340,0.313
101203054,234,234,234,130,234,234,234,234,212,234,234,340,234,234,234,234,234,234,0.834
101203004,234,234,234,234,234,234,234,234,231,234,234,234,234,234,234,234,234,234,0.3262
101103034,234,234,234,234,234,234,234,234,244,234,234,223,234,234,234,234,234,211,0.322
101102026,234,234,234,234,234,231,234,234,234,234,234,241,234,234,234,234,234,231,0.3266
101102025,234,234,234,231,213,211,234,213,234,234,234,231,234,234,234,234,234,212,0.325
101101050,234,234,231,234,234,234,231,234,231,234,234,234,234,234,234,234,234,234,0.3262
100508018,234,234,231,231,211,234,234,234,234,231,234,234,234,234,234,213,430,234,0.53
100401072,234,234,234,234,231,110,231,234,233,231,110,142,234,234,110,234,430,243,0.52
100401044,234,234,231,234,234,110,231,233,234,234,234,143,234,234,234,234,222,110,0.74
100208053,234,231,234,234,234,242,234,234,234,234,234,243,234,234,234,234,231,234,0.3266
100206009,234,234,233,234,233,110,234,212,234,234,234,242,231,234,233,234,234,231,0.736
100202044,234,234,234,212,234,234,234,234,231,234,213,223,234,234,231,234,234,410,0.311
100104041,234,231,234,234,234,234,231,234,120,223,211,234,231,231,231,231,234,410,0.312
100101021,234,231,231,231,231,231,231,234,231,231,231,242,231,231,231,231,110,234,0.321
