id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week2,week3,week4,week5,week6,week7,week8,week9
101208087,0.234,0.234,0.234,0.141,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234
102205089,0.234,0.234,0.234,0.232,0.234,0.234,0.234,0.234,0.234,0.231,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234
101208066,0.234,0.234,0.232,0.234,0.234,0.234,0.234,0.234,0.222,0.234,0.234,0.234,0.232,0.232,0.234,0.234,0.234,0.232
101208030,0.234,0.234,0.234,0.234,0.234,0.232,0.234,0.234,0.234,0.234,0.232,0.234,0.234,0.234,0.234,0.234,0.234,0.234
102208075,0.234,0.234,0.234,0.13,0.234,0.234,0.234,0.234,0.234,0.13,0.234,0.234,0.231,0.234,0.13,0.234,0.234,0.234
102205037,0.234,0.232,0.244,0.144,0.234,0.234,0.234,0.234,0.234,0.241,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234
102104031,0.234,0.232,0.234,0.11,0.234,0.234,0.233,0.234,0.234,0.223,0.234,0.232,0.234,0.11,0.234,0.234,0.234,0.11
101208085,0.234,0.234,0.234,0.233,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234
101208069,0.234,0.234,0.234,0.11,0.234,0.234,0.234,0.234,0.224,0.233,0.234,0.242,0.243,0.233,0.242,0.234,0.141,0.232
102208088,0.234,0.234,0.234,0.241,0.234,0.234,0.234,0.234,0.234,0.31,0.234,0.234,0.234,0.234,0.211,0.234,0.232,0.234
102208081,0.234,0.232,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.232,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234
102208058,0.234,0.234,0.234,0.11,0.234,0.234,0.234,0.234,0.234,0.32,0.234,0.234,0.234,0.234,0.233,0.234,0.234,0.234
102208049,0.234,0.234,0.234,0.13,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.142,0.244,0.243,0.234
102208033,0.234,0.234,0.234,0.11,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.33,0.234,0.234,0.234
102208008,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.233,0.233,0.234,0.234,0.242,0.242,0.234,0.234,0.234,0.234
101208074,0.234,0.234,0.234,0.141,0.234,0.234,0.234,0.234,0.234,0.213,0.234,0.234,0.234,0.234,0.244,0.234,0.234,0.234
99304030,0.234,0.213,0.232,0.41,0.234,0.234,0.234,0.234,0.234,0.233,0.234,0.234,0.234,0.232,0.234,0.234,0.234,0.232
99203054,0.234,0.212,0.243,0.212,0.234,0.234,0.242,0.234,0.234,0.234,0.232,0.233,0.231,0.234,0.234,0.234,0.234,0.13
103302104,0.234,0.232,0.234,0.43,0.234,0.234,0.234,0.234,0.234,0.41,0.231,0.234,0.234,0.234,0.41,0.234,0.234,0.234
