0,1,2,3,clustered_label
0.0,1.0,1.0,3.0,011
7.0,3.0,5.0,0.0,735
14.0,4.0,10.0,4.0,14410
18.0,4.0,12.0,4.0,18412
10.0,7.0,9.0,5.0,1079
11.0,7.0,9.0,4.0,1179
11.0,6.0,7.0,3.0,1167
11.0,4.0,7.0,4.0,1147
12.0,5.0,7.0,4.0,1257
12.0,6.0,8.0,3.0,1268
19.0,5.0,13.0,8.0,19513
9.0,8.0,11.0,8.0,9811
8.0,8.0,11.0,4.0,8811
18.0,4.0,12.0,7.0,18412
9.0,8.0,12.0,4.0,9812
18.0,4.0,11.0,4.0,18411
11.0,5.0,9.0,6.0,1159
9.0,8.0,11.0,7.0,9811
8.0,8.0,10.0,4.0,8810
10.0,7.0,8.0,14.0,1078
14.0,5.0,8.0,9.0,1458
11.0,6.0,8.0,10.0,1168
10.0,6.0,8.0,10.0,1068
8.0,2.0,5.0,1.0,825
5.0,2.0,5.0,3.0,525
6.0,7.0,8.0,9.0,678
10.0,4.0,7.0,3.0,1047
8.0,7.0,7.0,10.0,877
11.0,7.0,8.0,10.0,1178
10.0,5.0,8.0,10.0,1058
10.0,5.0,8.0,9.0,1058
9.0,4.0,7.0,12.0,947
10.0,4.0,6.0,11.0,1046
11.0,5.0,7.0,9.0,1157
10.0,6.0,7.0,10.0,1067
10.0,5.0,7.0,9.0,1057
10.0,5.0,8.0,10.0,1058
10.0,6.0,8.0,9.0,1068
10.0,5.0,7.0,9.0,1057
10.0,5.0,7.0,10.0,1057
10.0,6.0,7.0,9.0,1067
10.0,5.0,7.0,9.0,1057
9.0,4.0,7.0,12.0,947
11.0,5.0,7.0,8.0,1157
10.0,6.0,7.0,9.0,1067
10.0,5.0,7.0,9.0,1057
9.0,4.0,7.0,3.0,947
8.0,7.0,7.0,9.0,877
10.0,4.0,7.0,3.0,1047
8.0,7.0,7.0,9.0,877
11.0,6.0,8.0,10.0,1168
10.0,5.0,8.0,10.0,1058
8.0,2.0,5.0,2.0,825
7.0,2.0,5.0,7.0,725
8.0,2.0,7.0,6.0,827
7.0,2.0,5.0,8.0,725
7.0,0.0,5.0,7.0,705
7.0,1.0,5.0,6.0,715
7.0,1.0,5.0,6.0,715
5.0,1.0,4.0,2.0,514
5.0,3.0,4.0,4.0,534
4.0,2.0,4.0,4.0,424
4.0,0.0,3.0,4.0,403
3.0,1.0,4.0,1.0,314
6.0,5.0,5.0,3.0,655
6.0,5.0,5.0,3.0,655
6.0,5.0,5.0,3.0,655
7.0,5.0,5.0,4.0,755
5.0,4.0,6.0,3.0,546
9.0,4.0,5.0,3.0,945
4.0,3.0,4.0,3.0,434
3.0,4.0,4.0,2.0,344
3.0,3.0,3.0,1.0,333
3.0,3.0,3.0,2.0,333
3.0,3.0,2.0,3.0,332
2.0,3.0,3.0,2.0,233
3.0,3.0,3.0,2.0,333
3.0,3.0,3.0,2.0,333
4.0,3.0,3.0,2.0,433
3.0,4.0,4.0,2.0,344
5.0,7.0,4.0,4.0,574
