index,clustered_label,0,1,2,3
0,310,0,0,0,0
1,310,0,0,0,0
2,310,0,0,0,0
3,310,0,0,0,0
4,310,0,0,0,0
5,310,0,0,0,0
6,250,0,0,0,0
7,250,0,0,0,0
8,250,0,0,0,0
9,310,0,0,0,0
10,310,0,0,0,0
11,310,0,0,0,0
12,310,0,0,0,0
13,310,1,0,0,0
14,310,0,0,0,0
15,250,1,0,0,0
16,310,0,0,0,0
17,310,0,0,0,0
18,310,0,0,0,0
20,330,0,0,0,0
21,330,1,0,0,0
22,330,0,0,0,0
23,330,0,0,0,0
24,265,0,0,0,0
25,330,0,0,0,0
26,330,0,0,0,0
27,330,0,0,0,0
28,330,1,1,0,0
29,330,0,0,0,0
30,330,0,0,0,0
31,330,0,0,0,0
32,330,0,0,0,0
33,330,0,0,0,0
34,330,0,0,0,0
35,330,0,0,0,0
36,330,0,0,0,0
37,330,0,0,0,0
38,330,0,0,0,0
39,330,0,0,0,0
40,330,0,0,0,0
41,330,0,0,0,0
42,330,0,0,0,0
43,330,0,0,0,0
44,330,0,0,0,0
45,330,0,0,0,0
46,330,0,0,0,0
47,330,0,0,0,0
48,330,1,1,0,0
49,330,0,0,0,0
50,330,1,1,0,0
51,330,0,0,0,0
52,330,0,0,0,0
55,250,0,0,0,0
56,250,0,0,0,0
57,250,0,0,0,0
58,250,0,0,0,0
59,250,0,0,0,0
60,250,0,0,0,0
63,264,0,0,0,0
64,264,0,0,0,0
67,264,0,0,0,0
68,264,0,0,0,0
69,264,0,0,0,0
70,430,0,0,0,0
71,430,1,0,0,0
72,430,1,0,0,0
73,430,1,0,0,0
74,250,0,0,0,0
77,244,1,1,0,0
88,213,0,0,0,0
89,216,0,0,0,0
90,216,0,0,0,0
91,243,0,0,0,0
92,213,0,0,0,0
93,213,0,0,0,0
94,213,0,0,0,0
95,213,0,0,0,0
96,213,0,0,0,0
97,216,0,0,0,0
98,216,0,0,0,0
99,440,0,0,0,0
