clustered_label,0,1,2,3,4,5
260,1.0,1.0,1.0,1.0,1.0,0.0
260,1.0,1.0,1.0,1.0,1.0,0.0
260,1.0,1.0,1.0,1.0,1.0,0.0
260,1.0,1.0,1.0,1.0,1.0,0.0
260,1.0,1.0,1.0,1.0,1.0,0.0
260,1.0,1.0,1.0,1.0,1.0,0.0
650,0.0,0.0,0.0,0.0,0.0,0.0
650,1.0,1.0,1.0,1.0,0.0,0.0
650,1.0,1.0,1.0,1.0,1.0,0.0
260,1.0,1.0,1.0,1.0,1.0,0.0
260,1.0,1.0,1.0,1.0,1.0,0.0
260,1.0,1.0,1.0,1.0,1.0,0.0
260,0.0,0.0,0.0,0.0,0.0,0.0
260,1.0,1.0,1.0,1.0,1.0,0.0
260,1.0,1.0,1.0,1.0,1.0,0.0
650,1.0,1.0,1.0,1.0,1.0,0.0
260,1.0,1.0,1.0,1.0,1.0,0.0
260,1.0,1.0,1.0,1.0,1.0,0.0
260,0.0,0.0,0.0,0.0,0.0,0.0
665,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,0.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,0.0,0.0
667,1.0,1.0,1.0,1.0,0.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,0.0,0.0,0.0,0.0,0.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,0.0,0.0,0.0,0.0,0.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,0.0,0.0,0.0,0.0,0.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,0.0,0.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,0.0,0.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,0.0,0.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,1.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,0.0,0.0,0.0,0.0
