,cluster,mean,std
0,100.0,0.28991,0.11363
1,200.0,0.10495,0.06891
2,300.0,0.07422,0.0286
3,400.0,0.03256,0.01559
4,500.0,0.02159,0.01182
5,600.0,0.00828,0.0069
6,700.0,0.01252,0.00418
7,800.0,0.00291,0.00269
8,900.0,0.29908,0.16873
9,1000.0,0.05341,0.0395
10,1100.0,0.34728,0.0873
11,1200.0,0.06461,0.01892
12,1300.0,0.03261,0.00745
13,1400.0,0.01733,0.0046
14,1500.0,0.00355,0.0041
15,1600.0,0.00212,0.00189
16,1700.0,0.08537,0.02788
17,1800.0,0.06325,0.03202
18,1900.0,0.04394,0.01701
19,2100.0,0.01463,0.00789
20,2200.0,0.00655,0.00389
21,2300.0,0.00269,0.00165
22,2400.0,0.00619,0.00233
23,2500.0,0.13249,0.08691
24,2600.0,0.092,0.0568
25,2700.0,0.02685,0.01714
26,2800.0,0.01195,0.00961
27,2900.0,0.00644,0.0056
28,3100.0,0.00096,0.00103
29,3200.0,0.0002,0.00051
30,101.0,0.34496,0.04267
31,102.0,0.23813,0.01046
32,103.0,0.2022,0.01572
33,104.0,0.20619,0.01952
34,105.0,0.37432,0.00217
35,106.0,0.20321,0.02494
36,107.0,0.33924,0.02876
37,108.0,0.06222,0.088
38,109.0,0.48996,0.11641
39,111.0,0.3576,0.00844
40,112.0,0.24399,0.07849
41,113.0,0.26676,0.01025
42,114.0,0.33209,0.09553
43,115.0,0.34944,0.02445
44,116.0,0.46844,0.04529
45,117.0,0.47379,0.04082
46,118.0,0.38352,0.08163
47,119.0,0.27752,0.0457
48,121.0,0.83933,0.11394
49,122.0,0.68119,0.06264
50,123.0,0.44134,0.05098
51,124.0,0.08717,0.04028
52,125.0,0.39733,0.03267
53,126.0,0.66842,0.11274
54,127.0,0.49643,0.06037
55,128.0,0.31617,0.02824
56,129.0,0.09475,0.02895
57,401.0,0.04352,0.00655
58,402.0,0.03013,0.00693
59,403.0,0.04646,0.00645
60,404.0,0.04014,0.00747
61,405.0,0.03656,0.00494
62,406.0,0.04637,0.00582
63,407.0,0.02989,0.00567
64,408.0,0.00717,0.00923
65,409.0,0.00473,0.00865
66,411.0,0.03224,0.00525
67,412.0,0.05042,0.00664
68,413.0,0.06006,0.00739
69,414.0,0.03766,0.00424
70,415.0,0.01889,0.01113
71,416.0,0.00549,0.00597
72,417.0,0.01038,0.00393
73,418.0,0.00127,0.00127
74,419.0,0.02685,0.00824
75,421.0,0.04038,0.00675
76,422.0,0.05535,0.00725
77,423.0,0.04104,0.00554
78,424.0,0.02827,0.00281
79,425.0,0.01466,0.00324
80,426.0,0.0016,0.00288
81,427.0,0.00822,0.01099
82,428.0,0.00695,0.01057
83,429.0,0.00365,0.00376
84,431.0,0.03766,0.00669
85,432.0,0.02039,0.00339
86,433.0,0.01888,0.00853
87,434.0,0.00581,0.004
88,435.0,0.00072,0.00107
89,436.0,0.00389,0.00383
90,501.0,0.02184,0.00765
91,502.0,0.00237,0.00181
92,503.0,0.02472,0.00493
93,504.0,0.03292,0.00493
94,505.0,0.01415,0.0046
95,506.0,0.01299,0.00401
96,507.0,0.02404,0.00659
97,508.0,0.0319,0.00594
98,509.0,0.03427,0.00635
99,511.0,0.02125,0.00447
100,512.0,0.00317,0.00315
101,513.0,0.02662,0.0026
102,514.0,0.02399,0.00536
103,515.0,0.03699,0.00311
104,516.0,0.02919,0.00315
105,517.0,0.01602,0.0054
106,518.0,0.00287,0.00372
107,519.0,0.01686,0.00346
108,521.0,0.03324,0.00307
109,522.0,0.03091,0.00502
110,523.0,0.02969,0.00713
111,524.0,0.00828,0.00632
112,525.0,0.00645,0.00368
113,526.0,0.01984,0.00237
114,527.0,0.02302,0.00286
115,528.0,0.0276,0.00417
116,529.0,0.03489,0.00459
