clustered_label,point_x,point_y
2800,7/16,1/2
3215,113/112,41/40
2300,13/16,7/8
2700,5/16,3/8
1800,3/16,1/4
200,3/16,1/4
3222,113/112,41/40
3000,11/16,3/4
3207,113/112,41/40
3100,13/16,7/8
2100,9/16,5/8
3229,113/112,41/40
3217,113/112,41/40
3216,113/112,41/40
2200,11/16,3/4
3220,113/112,41/40
3202,113/112,41/40
1400,11/16,3/4
2400,15/16,1
700,13/16,7/8
3225,113/112,41/40
3204,113/112,41/40
436,61/144,43/96
3206,113/112,41/40
2900,9/16,5/8
1200,7/16,1/2
800,15/16,1
1729,1/80,1/64
1300,9/16,5/8
2000,7/16,1/2
3209,113/112,41/40
1600,15/16,1
3212,113/112,41/40
3221,113/112,41/40
3231,113/112,41/40
600,11/16,3/4
1026,17/112,47/280
403,61/144,43/96
3219,113/112,41/40
3230,113/112,41/40
425,61/144,43/96
521,19/32,101/168
3226,113/112,41/40
3234,113/112,41/40
1104,21/64,21/64
3210,113/112,41/40
3227,113/112,41/40
1103,21/64,21/64
523,19/32,101/168
3205,113/112,41/40
1119,21/64,21/64
3235,113/112,41/40
1023,17/112,47/280
3214,113/112,41/40
3211,113/112,41/40
1124,21/64,21/64
1113,21/64,21/64
3201,113/112,41/40
3232,113/112,41/40
408,61/144,43/96
532,19/32,101/168
901,1/112,1/40
1010,17/112,47/280
1017,17/112,47/280
526,19/32,101/168
422,61/144,43/96
1008,17/112,47/280
300,5/16,3/8
1108,21/64,21/64
517,19/32,101/168
419,61/144,43/96
411,61/144,43/96
1009,17/112,47/280
527,19/32,101/168
1101,21/64,21/64
902,1/112,1/40
515,19/32,101/168
400,61/144,43/96
903,1/112,1/40
112,1/80,1/48
428,61/144,43/96
406,61/144,43/96
1016,17/112,47/280
410,61/144,43/96
1722,1/80,1/64
1723,1/80,1/64
2520,1/128,1/32
2509,1/128,1/32
522,19/32,101/168
1727,1/80,1/64
413,61/144,43/96
2501,1/128,1/32
2620,31/224,11/56
1900,5/16,3/8
535,19/32,101/168
1705,1/80,1/64
518,19/32,101/168
2519,1/128,1/32
508,19/32,101/168
514,19/32,101/168
1732,1/80,1/64
412,61/144,43/96
2628,31/224,11/56
531,19/32,101/168
2617,31/224,11/56
431,61/144,43/96
528,19/32,101/168
434,61/144,43/96
429,61/144,43/96
423,61/144,43/96
2517,1/128,1/32
525,19/32,101/168
1726,1/80,1/64
909,1/112,1/40
1122,21/64,21/64
2525,1/128,1/32
2619,31/224,11/56
529,19/32,101/168
1118,21/64,21/64
1728,1/80,1/64
540,19/32,101/168
1011,17/112,47/280
537,19/32,101/168
1111,21/64,21/64
2627,31/224,11/56
1114,21/64,21/64
1127,21/64,21/64
2623,31/224,11/56
1715,1/80,1/64
432,61/144,43/96
424,61/144,43/96
1116,21/64,21/64
511,19/32,101/168
516,19/32,101/168
519,19/32,101/168
524,19/32,101/168
1112,21/64,21/64
1123,21/64,21/64
433,61/144,43/96
2510,1/128,1/32
2614,31/224,11/56
102,1/80,1/48
920,1/112,1/40
926,1/112,1/40
1714,1/80,1/64
2626,31/224,11/56
1707,1/80,1/64
417,61/144,43/96
420,61/144,43/96
3224,113/112,41/40
2612,31/224,11/56
404,61/144,43/96
541,19/32,101/168
415,61/144,43/96
130,1/80,1/48
120,1/80,1/48
505,19/32,101/168
1739,1/80,1/64
125,1/80,1/48
1713,1/80,1/64
1702,1/80,1/64
1733,1/80,1/64
2532,1/128,1/32
924,1/112,1/40
539,19/32,101/168
922,1/112,1/40
1021,17/112,47/280
123,1/80,1/48
1034,17/112,47/280
509,19/32,101/168
405,61/144,43/96
533,19/32,101/168
506,19/32,101/168
1018,17/112,47/280
1014,17/112,47/280
117,1/80,1/48
1013,17/112,47/280
1028,17/112,47/280
1033,17/112,47/280
907,1/112,1/40
402,61/144,43/96
1031,17/112,47/280
538,19/32,101/168
913,1/112,1/40
512,19/32,101/168
1117,21/64,21/64
1024,17/112,47/280
929,1/112,1/40
915,1/112,1/40
414,61/144,43/96
1030,17/112,47/280
1002,17/112,47/280
504,19/32,101/168
1012,17/112,47/280
407,61/144,43/96
914,1/112,1/40
1029,17/112,47/280
916,1/112,1/40
930,1/112,1/40
917,1/112,1/40
1001,17/112,47/280
1019,17/112,47/280
908,1/112,1/40
1025,17/112,47/280
416,61/144,43/96
421,61/144,43/96
1027,17/112,47/280
2604,31/224,11/56
2523,1/128,1/32
2602,31/224,11/56
427,61/144,43/96
503,19/32,101/168
1032,17/112,47/280
1709,1/80,1/64
426,61/144,43/96
128,1/80,1/48
129,1/80,1/48
2518,1/128,1/32
2526,1/128,1/32
2625,31/224,11/56
103,1/80,1/48
2522,1/128,1/32
1731,1/80,1/64
502,19/32,101/168
534,19/32,101/168
1710,1/80,1/64
2610,31/224,11/56
1721,1/80,1/64
1704,1/80,1/64
931,1/112,1/40
2503,1/128,1/32
1718,1/80,1/64
1736,1/80,1/64
1708,1/80,1/64
119,1/80,1/48
2502,1/128,1/32
2515,1/128,1/32
1128,21/64,21/64
1003,17/112,47/280
2506,1/128,1/32
106,1/80,1/48
1703,1/80,1/64
2521,1/128,1/32
2529,1/128,1/32
921,1/112,1/40
1724,1/80,1/64
2514,1/128,1/32
1737,1/80,1/64
2624,31/224,11/56
2524,1/128,1/32
925,1/112,1/40
2512,1/128,1/32
2530,1/128,1/32
2531,1/128,1/32
114,1/80,1/48
536,19/32,101/168
2611,31/224,11/56
124,1/80,1/48
1005,17/112,47/280
507,19/32,101/168
2622,31/224,11/56
1115,21/64,21/64
122,1/80,1/48
118,1/80,1/48
1007,17/112,47/280
1132,21/64,21/64
1106,21/64,21/64
127,1/80,1/48
1035,17/112,47/280
911,1/112,1/40
1121,21/64,21/64
1120,21/64,21/64
121,1/80,1/48
906,1/112,1/40
918,1/112,1/40
115,1/80,1/48
1110,21/64,21/64
919,1/112,1/40
2615,31/224,11/56
1006,17/112,47/280
932,1/112,1/40
107,1/80,1/48
1022,17/112,47/280
1717,1/80,1/64
501,19/32,101/168
1015,17/112,47/280
2504,1/128,1/32
912,1/112,1/40
2607,31/224,11/56
1102,21/64,21/64
126,1/80,1/48
1719,1/80,1/64
108,1/80,1/48
1734,1/80,1/64
1701,1/80,1/64
1004,17/112,47/280
1107,21/64,21/64
2616,31/224,11/56
2601,31/224,11/56
1500,13/16,7/8
1738,1/80,1/64
2609,31/224,11/56
101,1/80,1/48
2505,1/128,1/32
2605,31/224,11/56
1109,21/64,21/64
905,1/112,1/40
409,61/144,43/96
910,1/112,1/40
1105,21/64,21/64
2621,31/224,11/56
2507,1/128,1/32
111,1/80,1/48
2508,1/128,1/32
2527,1/128,1/32
104,1/80,1/48
2511,1/128,1/32
2606,31/224,11/56
2528,1/128,1/32
2516,1/128,1/32
110,1/80,1/48
1706,1/80,1/64
542,19/32,101/168
1125,21/64,21/64
530,19/32,101/168
1130,21/64,21/64
1129,21/64,21/64
1711,1/80,1/64
1126,21/64,21/64
934,1/112,1/40
2513,1/128,1/32
