PERIOD,CUSTOMER_NUM,AR_AMT,CURRENT_AMT,P1_1-30_amt,P2_31-60_amt,P3_61-90_amt,P4_91-120_amt,P5_121-150_amt,P6_151-180_amt,P7_over180_amt,refund,clustered_label
201601,10000,2338.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201602,10000,2337.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,10000,2414.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,10000,1615.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201605,10000,2417.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,10000,2379.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,10000,2406.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201608,10000,2420.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201609,10000,2420.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201610,10000,2433.46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8
201602,100042,950.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,100042,4755.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,100042,40675.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201605,100042,21859.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,100042,19186.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,100042,26810.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201608,100042,27866.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201609,100042,8046.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201610,100042,4845.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201612,100042,7200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201701,100042,7200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201702,100042,11110.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201703,100042,19088.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201704,100042,23388.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201706,100042,7140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201601,100199,2110.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201602,100199,4221.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,100199,3975.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,100199,5754.06,0.624234019,0.375765981,0.0,0.0,0.0,0.0,0.0,0.0,0,0.76
201605,100199,1768.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201601,10020,112679.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201602,10020,167151.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,10020,106590.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,10020,64324.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201605,10020,63569.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,10020,68650.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,10020,95176.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201608,10020,34988.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201609,10020,49187.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201610,10020,78399.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201611,10020,48644.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201612,10020,41095.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201701,10020,67004.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201702,10020,53509.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201703,10020,86123.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201704,10020,67555.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201705,10020,83175.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201706,10020,99108.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201608,100399,1363.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
