0,1,2,3,clustered_label
7.0,5.0,2.0,1.0,7521
6.0,4.0,3.0,2.0,6432
8.0,3.0,3.0,1.0,8331
8.0,4.0,2.0,1.0,8421
5.0,2.0,0.0,2.0,5202
7.0,0.0,0.0,1.0,7001
4.0,2.0,3.0,1.0,4231
7.0,4.0,4.0,2.0,7442
6.0,3.0,0.0,2.0,6302
6.0,4.0,4.0,2.0,6442
7.0,4.0,4.0,2.0,7442
7.0,3.0,4.0,2.0,7342
7.0,2.0,1.0,1.0,7211
7.0,1.0,0.0,3.0,7103
9.0,5.0,4.0,0.0,9540
7.0,4.0,4.0,1.0,7441
9.0,5.0,6.0,2.0,9562
7.0,3.0,2.0,2.0,7322
5.0,4.0,4.0,1.0,5441
8.0,4.0,4.0,3.0,8443
7.0,3.0,3.0,2.0,7332
6.0,4.0,4.0,1.0,6441
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
4.0,2.0,5.0,5.0,4255
6.0,2.0,3.0,1.0,6231
6.0,4.0,3.0,0.0,6430
7.0,4.0,4.0,2.0,7442
8.0,4.0,2.0,2.0,8422
7.0,4.0,3.0,2.0,7432
7.0,3.0,3.0,0.0,7330
7.0,2.0,1.0,1.0,7211
7.0,1.0,1.0,0.0,7110
6.0,4.0,4.0,3.0,6443
7.0,4.0,4.0,2.0,7442
8.0,4.0,3.0,1.0,8431
7.0,1.0,1.0,0.0,7110
9.0,4.0,4.0,2.0,9442
7.0,4.0,4.0,3.0,7443
5.0,3.0,3.0,2.0,5332
4.0,4.0,3.0,2.0,4432
6.0,4.0,4.0,2.0,6442
7.0,4.0,3.0,2.0,7432
8.0,3.0,1.0,1.0,8311
6.0,4.0,3.0,0.0,6430
7.0,4.0,4.0,2.0,7442
6.0,3.0,4.0,2.0,6342
8.0,4.0,3.0,2.0,8432
7.0,3.0,4.0,2.0,7342
7.0,1.0,1.0,1.0,7111
6.0,3.0,4.0,9.0,6349
13.0,7.0,2.0,1.0,13721
8.0,3.0,0.0,0.0,8300
12.0,10.0,4.0,1.0,121041
6.0,1.0,0.0,1.0,6101
7.0,3.0,4.0,5.0,7345
7.0,4.0,1.0,2.0,7412
7.0,3.0,4.0,1.0,7341
8.0,4.0,4.0,2.0,8442
7.0,4.0,5.0,3.0,7453
7.0,4.0,3.0,3.0,7433
6.0,2.0,2.0,0.0,6220
5.0,3.0,3.0,2.0,5332
4.0,5.0,5.0,2.0,4552
6.0,4.0,3.0,1.0,6431
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
6.0,3.0,4.0,2.0,6342
7.0,3.0,0.0,1.0,7301
8.0,1.0,0.0,2.0,8102
7.0,2.0,1.0,2.0,7212
7.0,4.0,4.0,2.0,7442
7.0,4.0,6.0,1.0,7461
7.0,4.0,3.0,1.0,7431
6.0,4.0,3.0,1.0,6431
8.0,2.0,3.0,4.0,8234
7.0,4.0,5.0,2.0,7452
7.0,3.0,4.0,2.0,7342
6.0,3.0,2.0,2.0,6322
6.0,4.0,3.0,2.0,6432
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,1.0,7441
6.0,4.0,4.0,2.0,6442
6.0,2.0,2.0,0.0,6220
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
8.0,3.0,3.0,1.0,8331
7.0,4.0,4.0,3.0,7443
8.0,2.0,1.0,1.0,8211
8.0,3.0,4.0,2.0,8342
7.0,4.0,4.0,2.0,7442
6.0,2.0,2.0,3.0,6223
9.0,4.0,4.0,2.0,9442
7.0,4.0,2.0,1.0,7421
7.0,3.0,4.0,2.0,7342
8.0,4.0,4.0,1.0,8441
7.0,4.0,3.0,2.0,7432
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,3.0,3.0,1.0,7331
9.0,5.0,5.0,2.0,9552
6.0,4.0,4.0,1.0,6441
6.0,4.0,4.0,2.0,6442
7.0,4.0,3.0,2.0,7432
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
6.0,1.0,1.0,1.0,6111
5.0,4.0,4.0,2.0,5442
7.0,4.0,4.0,2.0,7442
8.0,4.0,4.0,2.0,8442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
6.0,4.0,4.0,2.0,6442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
6.0,3.0,2.0,1.0,6321
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,1.0,7441
8.0,4.0,4.0,2.0,8442
6.0,3.0,4.0,3.0,6343
6.0,5.0,4.0,1.0,6541
7.0,4.0,3.0,2.0,7432
7.0,4.0,3.0,1.0,7431
4.0,4.0,5.0,1.0,4451
6.0,5.0,3.0,2.0,6532
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
5.0,2.0,2.0,0.0,5220
8.0,4.0,4.0,2.0,8442
7.0,4.0,4.0,2.0,7442
5.0,3.0,3.0,4.0,5334
7.0,3.0,3.0,2.0,7332
6.0,3.0,6.0,1.0,6361
4.0,4.0,3.0,2.0,4432
8.0,2.0,1.0,0.0,8210
13.0,10.0,3.0,3.0,131033
5.0,2.0,1.0,1.0,5211
10.0,5.0,4.0,2.0,10542
7.0,4.0,4.0,2.0,7442
6.0,4.0,4.0,1.0,6441
7.0,4.0,5.0,2.0,7452
7.0,3.0,4.0,2.0,7342
9.0,4.0,3.0,0.0,9430
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
6.0,4.0,3.0,2.0,6432
7.0,4.0,4.0,2.0,7442
7.0,1.0,3.0,1.0,7131
7.0,3.0,4.0,2.0,7342
6.0,3.0,3.0,0.0,6330
4.0,3.0,1.0,1.0,4311
7.0,4.0,4.0,2.0,7442
8.0,3.0,5.0,2.0,8352
7.0,4.0,3.0,2.0,7432
6.0,4.0,4.0,2.0,6442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
6.0,3.0,5.0,2.0,6352
8.0,5.0,5.0,3.0,8553
7.0,4.0,3.0,2.0,7432
7.0,5.0,4.0,1.0,7541
6.0,4.0,3.0,2.0,6432
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,3.0,3.0,2.0,7332
8.0,4.0,4.0,2.0,8442
7.0,4.0,3.0,2.0,7432
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,3.0,2.0,7432
8.0,4.0,4.0,2.0,8442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,3.0,3.0,1.0,7331
7.0,3.0,3.0,0.0,7330
7.0,4.0,4.0,2.0,7442
7.0,3.0,4.0,2.0,7342
7.0,4.0,4.0,2.0,7442
7.0,3.0,4.0,2.0,7342
6.0,3.0,4.0,2.0,6342
7.0,6.0,5.0,4.0,7654
7.0,2.0,3.0,2.0,7232
8.0,4.0,1.0,2.0,8412
8.0,3.0,3.0,1.0,8331
5.0,3.0,3.0,1.0,5331
6.0,4.0,3.0,2.0,6432
7.0,4.0,4.0,2.0,7442
7.0,4.0,2.0,1.0,7421
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
8.0,3.0,2.0,1.0,8321
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
6.0,3.0,3.0,1.0,6331
7.0,4.0,4.0,2.0,7442
5.0,3.0,3.0,2.0,5332
9.0,4.0,4.0,2.0,9442
7.0,4.0,4.0,2.0,7442
4.0,5.0,0.0,1.0,4501
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,3.0,7443
7.0,3.0,4.0,2.0,7342
5.0,4.0,4.0,2.0,5442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,1.0,7441
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,4.0,4.0,2.0,7442
7.0,3.0,5.0,2.0,7352
8.0,4.0,2.0,1.0,8421
7.0,1.0,2.0,1.0,7121
