index,CUSTOMER_NUM,clustered_label,0,1,2,3
0,97760,3700,1,0,0,0
2,90344,3560,0,0,0,0
3,89942,1800,0,0,0,0
4,89067,3100,1,0,0,0
5,88632,4600,0,0,0,0
6,8785,3400,1,0,0,0
7,87671,2800,0,0,0,0
8,87585,3560,1,1,1,1
9,86964,1500,0,0,0,0
10,86928,1600,0,0,0,0
13,85107,3560,1,1,1,1
14,83255,2800,0,0,0,0
16,79760,6800,1,0,0,0
17,79182,3560,1,1,0,0
18,78918,3300,0,0,0,0
19,77940,4170,1,1,1,0
20,74175,4120,0,0,0,0
22,7172,3560,0,0,0,0
23,71411,3540,0,0,0,0
24,66601,3300,0,0,0,0
25,63424,3560,1,0,0,0
26,61884,3560,0,0,0,0
27,5924,3560,1,1,1,1
28,5883,2110,1,1,1,1
29,58661,3600,1,1,1,1
30,57850,3700,0,0,0,0
31,57643,3560,0,0,0,0
32,5516,3560,0,0,0,0
34,53663,3200,1,1,1,1
35,5056,6700,1,0,0,0
36,48444,3560,1,1,0,0
37,4735,3560,1,1,1,1
38,4681,5600,1,0,0,0
39,44740,3550,1,1,1,1
40,3836,3200,0,0,0,0
41,35330,3560,1,0,0,0
42,34044,3560,0,0,0,0
43,3339,2100,1,1,1,1
45,3259,5600,0,0,0,0
46,29939,3200,1,1,1,0
47,28286,1800,0,0,0,0
48,2504,4600,0,0,0,0
50,18048,2100,0,0,0,0
52,170802,3600,1,1,0,0
53,169919,6200,0,0,0,0
54,169858,5100,0,0,0,0
55,169523,3600,1,1,1,1
56,169018,6800,0,0,0,0
57,168657,3300,0,0,0,0
58,168204,6100,1,0,0,0
59,167147,2300,1,0,0,0
60,166427,3800,0,0,0,0
61,166255,3100,0,0,0,0
65,162270,3600,0,0,0,0
66,162046,1200,0,0,0,0
68,161423,3300,0,0,0,0
69,160495,3570,1,0,0,0
70,160459,4730,1,1,0,0
72,159128,3560,1,0,0,0
74,158247,3560,0,0,0,0
76,155982,1200,0,0,0,0
77,155102,3550,1,1,0,0
79,150746,3560,0,0,0,0
80,150714,5600,0,0,0,0
81,148057,5100,0,0,0,0
82,148037,4300,0,0,0,0
85,147246,3560,1,1,1,1
86,147210,2800,1,1,1,1
87,147092,5100,0,0,0,0
88,146707,3560,1,0,0,0
89,146287,3560,0,0,0,0
90,146223,3300,1,0,0,0
91,137760,3580,1,1,1,1
92,135799,2200,0,0,0,0
93,131839,3560,1,1,0,0
95,123323,2100,0,0,0,0
97,115306,3600,1,1,0,0
98,114605,3560,0,0,0,0
99,113620,3560,1,0,0,0
100,109622,2600,0,0,0,0
102,102839,6100,0,0,0,0
103,9997,3560,1,1,1,1
104,9992,3100,1,1,1,1
105,99900,3560,1,1,1,0
106,9987,3560,0,0,0,0
107,99822,2800,0,0,0,0
108,9982,3560,1,1,1,1
109,9979,3560,1,1,1,1
110,9976,3560,1,1,1,1
111,9974,3560,1,1,1,1
113,99679,4820,0,0,0,0
115,9964,3560,1,1,1,0
116,9962,2120,0,0,0,0
117,9959,1100,1,0,0,0
120,9944,3800,1,1,1,1
121,99419,1400,0,0,0,0
122,9935,3560,0,0,0,0
123,99341,3200,1,1,0,0
124,9928,3560,1,0,0,0
126,9925,1600,0,0,0,0
127,9920,3200,1,1,0,0
128,99179,3560,1,1,1,1
129,9915,3800,1,1,1,1
130,9905,3560,1,1,1,1
131,99022,3800,0,0,0,0
132,98980,3400,0,0,0,0
133,9898,3560,0,0,0,0
134,9891,3560,0,0,0,0
135,9887,4510,1,1,0,0
136,98841,3560,1,1,1,1
137,9882,3560,1,1,1,1
138,98780,2100,0,0,0,0
139,9866,3560,0,0,0,0
141,9859,6700,1,1,1,1
142,98581,1300,0,0,0,0
143,9852,3560,1,1,1,1
144,9849,3560,1,1,1,1
145,9839,3560,1,1,1,1
146,9832,4830,0,0,0,0
147,9827,3560,1,1,1,1
148,98260,3560,1,1,1,1
149,9817,3560,1,1,1,1
150,98160,3700,0,0,0,0
152,9807,3560,1,1,1,1
153,98039,2100,1,1,1,1
