clustered_label,point_x,point_y
610,13/18,7/12
316,41/54,3/16
326,47/54,1/8
660,17/18,3/4
680,5/6,11/12
150,1/24,3/8
313,41/54,1/16
327,5/6,5/24
328,47/54,5/24
316,41/54,3/16
610,13/18,7/12
336,35/36,5/24
328,47/54,5/24
311,37/54,1/16
311,37/54,1/16
311,37/54,1/16
316,41/54,3/16
332,11/12,1/8
313,41/54,1/16
313,41/54,1/16
316,41/54,3/16
316,41/54,3/16
311,37/54,1/16
311,37/54,1/16
313,41/54,1/16
313,41/54,1/16
316,41/54,3/16
316,41/54,3/16
313,41/54,1/16
311,37/54,1/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
313,41/54,1/16
313,41/54,1/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
311,37/54,1/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
332,35/36,1/24
313,41/54,1/16
316,41/54,3/16
331,11/12,1/24
316,41/54,3/16
316,41/54,3/16
314,37/54,3/16
350,5/6,3/8
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
322,47/54,1/24
316,41/54,3/16
314,37/54,3/16
316,41/54,3/16
366,67/72,7/16
316,41/54,3/16
313,41/54,1/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
313,41/54,1/16
620,5/6,7/12
270,13/24,3/8
313,41/54,1/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
311,37/54,1/16
311,37/54,1/16
316,41/54,3/16
316,41/54,3/16
313,41/54,1/16
316,41/54,3/16
311,37/54,1/16
328,47/54,5/24
313,41/54,1/16
333,35/36,1/8
321,43/54,1/24
610,13/18,7/12
230,13/24,1/8
366,67/72,7/16
325,5/6,1/8
322,47/54,1/24
520,7/12,7/12
316,41/54,3/16
350,5/6,3/8
316,41/54,3/16
313,41/54,1/16
316,41/54,3/16
350,5/6,3/8
316,41/54,3/16
312,13/18,1/16
670,13/18,11/12
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
315,13/18,3/16
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
331,11/12,1/24
313,41/54,1/16
316,41/54,3/16
316,41/54,3/16
333,35/36,1/8
335,11/12,5/24
327,43/54,5/24
314,37/54,3/16
610,13/18,7/12
316,41/54,3/16
321,43/54,1/24
321,43/54,1/24
315,13/18,3/16
610,13/18,7/12
327,43/54,5/24
314,37/54,3/16
316,41/54,3/16
314,37/54,3/16
313,41/54,1/16
316,41/54,3/16
314,37/54,3/16
326,47/54,1/8
316,41/54,3/16
316,41/54,3/16
316,41/54,3/16
