id,Group,Group Project,Exam1,Exam2,Final,Attendance,TA,original,semester
99203054,6,5.5,22,24,36,0,3,86.7,99
99304030,9,2.6,0,3,12,11,0.5,20.1,33
100101021,2,13.5,19,15.5,36,0,3,85.8,98
100104041,10,14.9,15,20.5,29,0,3,81.4,94
100202044,1,8,12,7,23,1,2,54.2,67
100206009,11,13,18.5,25,35.5,5,0.5,88.1,99
100208053,4,13.1,22,22.5,32,3,0,83.8,96
100401044,3,13.5,13.5,9.5,28,4,3,65.7,78
100401072,4,13.3,13.5,16.5,27.2,8,0,68.1,81
100508018,5,13,13.5,13.5,31.5,2,3,73.1,86
101101050,1,12.5,10.5,19,25,0,1,68.8,81
101102025,12,12.7,17.5,18.5,33,0,3,81.7,94
101102026,3,12,12.5,8.5,15,2,2.5,52.1,65
101103034,3,13,9.5,10,15,4,0,47.7,60
101203004,4,13.2,11.5,6,11,1,1.5,43.8,56
101203054,5,13.2,15,20,29,0,1,76.2,90
101204026,4,13.2,13,15,36,0,3,79,91
101205029,7,11.8,20,20.5,22.5,2,0.5,72.3,85
101205043,8,13.5,18,8,8,1,3,51.3,64
101205093,9,11.5,9.5,9.5,19.5,8,0,49.2,62
101208002,5,13.5,16.5,19.5,26,1,1,74.9,87
101208003,12,5,4,6,0,6,2.5,19.9,32
101208004,6,14.2,22.5,23.5,32.5,2,3,90.7,99
101208005,1,11.5,13,8.5,23,4,3,56.6,69
101208008,7,11,12,1,19,3,3,49.6,62
101208013,2,13.3,22,0,0,5,0.5,37.8,50
101208015,3,13,11.5,5,28,2,2.5,63,75
101208017,4,8.5,9,10.5,16,7,0.5,40.9,53
101208025,5,8.5,7.5,4,11.5,7,0,29.9,42
101208030,8,13,22.5,23.5,33.5,1,3,91.5,99
101208031,6,13.2,11.5,7.5,18,3,2.5,53.7,66
101208034,9,12.2,20,24.5,27.5,2,2,83.2,96
101208050,10,13.8,19,19.5,34.5,9,0,79.2,92
101208052,11,13,9.5,17,27,0,3,70.7,83
101208053,7,12,19,21,17,0,3,69.4,82
101208054,12,11.5,19,8.5,28.5,5,3,67.1,80
101208055,8,9.5,17.5,16.5,24,5,2,66.9,79
101208056,1,12.5,8.5,20.5,20.5,1,3,66.6,80
101208058,2,12.5,19,23.5,33.5,2,3,88.9,99
101208060,3,12,11.5,14.5,17.5,4,2.5,57.4,70
101208062,4,14.2,14.5,7.5,28,1,3,69.2,82
101208064,5,12.7,16,14.5,18,2,3,61.4,74
101208065,9,12.3,16,21.5,38.5,1,0.5,87.4,99
101208066,6,12.5,14.5,15,23,2,0.5,64.7,77
101208069,10,14,15.5,17.5,28.5,1,3,76.3,89
101208070,7,12.6,17,21,28,0,3,79.8,92
101208074,8,12.6,11.5,7.5,17,0,3,50.6,63
101208078,9,11.5,10,13,21,5,2.5,55,67
101208079,11,14,16.5,16.5,28.5,0,3,76.9,89
101208080,10,14.3,17.5,23.5,30,0,3,86.3,99
101208082,11,13.5,20,8.5,28,1,0.5,72.1,85
101208084,12,11.5,14.5,15.5,32.5,5,2.5,70.7,83
101208085,12,12.7,14,12,16.5,0,3,58.4,71
101208087,1,5,9,9,19,2,0.5,42.9,55
101208090,1,13.2,19,22,38,2,2,91.6,99
101208091,2,11.5,18.5,15,29.5,0,3,76.5,90
101208094,2,13,12.5,13,20,2,3,60.5,73
101209037,10,5,19.5,20,21,0,0.5,63.2,76
101302049,6,12,8,7.5,8.5,4,0,37,49
101401042,2,12.5,11,10.5,13,4,0,46.8,60
101502012,3,14.6,20,18.5,30,1,3,83.7,96
102103012,3,13.5,12.5,17,14,1,3,60,72
102104031,1,12.5,17,13,25.5,0,2.5,70.3,83
102205017,7,12,19,23,30.5,0,3,84.9,97
102205020,2,13,12,10.5,19.5,6,1.5,52.3,65
102205022,3,13.5,14,8.5,9,6,2,43.6,56
102205024,4,13.5,20.5,22,35.5,0,3,91.3,99
102205030,5,13,14.5,12.5,9,2,2.5,49.5,62
102205033,8,13.8,15.5,12,20,5,2,59.5,72
102205037,9,12,15,7.5,18,4,2,53.5,66
102205051,10,14.5,12,1,18,5,1.5,47.6,60
102205081,11,13.5,14,4.5,16.5,4,2,49.7,62
102205089,12,11.2,18.5,14,35.5,3,1,78.6,91
102205092,6,13,12,15.5,31,0,3,74.7,87
102205095,1,13.8,14,24.5,32.5,0,3,87.2,99
102208001,2,13,15.5,18.5,30.5,1,3,79.3,92
102208002,4,8.5,14.5,10.5,18.5,1,3,55.8,68
102208004,5,13.9,20.5,24.5,35,3,3,93.7,99
102208005,3,13.5,12.5,8.5,16.5,2,1,53.6,66
102208006,6,13,16.5,20,26,0,3,76.9,90
102208007,4,13,7,11.5,17,0,3,53.7,66
102208008,7,12,18.5,17,33,3,1,79.7,92
102208010,8,14.2,14.5,23,28.5,1,3,82.4,95
102208014,9,11.7,10,7.5,24.5,2,3,56.7,70
102208017,5,13.5,16.5,14,30.5,0,2.5,76.4,90
102208018,10,14,12,20.5,32.5,0,2.5,81.7,94
102208021,6,8.5,18,13.5,30.5,0,1.5,71.6,84
102208022,11,13,16.5,21.5,26.5,1,3,78.9,91
102208023,7,12,19.5,20,35.5,1,3,87.2,99
102208024,12,10.5,19,22.5,36,2,1,86.4,99
102208029,8,14.2,20,20.5,35,0,3,89.7,99
102208030,1,12.5,14.5,16,25,0,3,70.2,83
102208032,2,13,12.5,7.5,21,7,2,56,68
102208033,9,12,14.5,9,20,9,3,54.9,67
102208034,3,14,16.5,11,18.5,1,3,63.6,76
102208038,4,12.5,10,16,16.5,9,3,56,68
102208041,10,13.5,13.5,4.5,16,1,1.5,51.2,64
102208042,5,13.3,17,19.5,30.5,1,3,80.5,93
102208043,11,13.8,15,7.5,19.5,0,2.5,60.3,73
102208044,6,13.5,8,8.5,14.5,5,2.5,45.8,58
102208045,12,12.8,21,22.5,38.5,0,3,94.4,99
102208046,7,12,21,21.5,34,0,3,88.1,99
102208049,1,12,8,6.5,12,3,2,40.9,53
102208052,8,13.5,17.5,17.5,31.5,0,2,80,92
102208053,2,13,5,1,0,6,0.5,19.1,32
102208054,9,12,6,13,18,8,3,51.6,64
102208055,3,13.5,14,16,33,5,3,77.9,90
102208056,10,13.5,15.5,15,25.5,1,2,70.5,83
102208057,4,13.5,15.5,18,26,1,3,74.8,87
102208058,11,9,4,4,2,2,0.5,20.9,33
