id,total_hw_missed,PS1,PS2,PS3,PS4,PS5,PS6,PS7,PS8
101101050,0,0,0,0,0,0,0,0,0
100101021,0,0,0,0,0,0,0,0,0
101103034,1,0,0,0,0,0,0,0,1
101203004,2,0,0,1,0,0,0,1,0
101203054,1,0,0,1,0,0,0,0,0
99203054,0,0,0,0,0,0,0,0,0
102205017,0,0,0,0,0,0,0,0,0
102205033,4,0,0,0,1,1,1,0,1
102205037,3,0,0,0,1,0,1,0,1
102205051,4,0,0,0,1,1,1,0,1
102205081,4,0,0,0,1,1,1,0,1
102205089,1,0,0,0,0,0,1,0,0
102205095,0,0,0,0,0,0,0,0,0
102205020,6,0,0,1,1,1,1,1,1
102205022,6,0,0,1,1,1,1,1,1
102205024,0,0,0,0,0,0,0,0,0
102205030,2,0,0,0,0,0,1,1,0
102205092,0,0,0,0,0,0,0,0,0
101205029,0,0,0,0,0,0,0,0,0
101205043,1,0,0,0,0,1,0,0,0
101205093,2,0,0,0,0,1,0,1,0
101209037,0,0,0,0,0,0,0,0,0
100206009,2,0,0,0,0,1,1,0,0
101102025,1,0,0,0,0,1,0,0,0
102104031,0,0,0,0,0,0,0,0,0
102208001,0,0,0,0,0,0,0,0,0
102208005,0,0,0,0,0,0,0,0,0
102208007,0,0,0,0,0,0,0,0,0
102208017,0,0,0,0,0,0,0,0,0
102208021,0,0,0,0,0,0,0,0,0
102208023,0,0,0,0,0,0,0,0,0
102208029,0,0,0,0,0,0,0,0,0
102208033,5,0,0,1,0,1,1,1,1
102208041,1,0,0,0,0,0,1,0,0
102208043,0,0,0,0,0,0,0,0,0
102208045,0,0,0,0,0,0,0,0,0
102208049,2,0,0,0,0,1,0,0,1
102208053,5,0,1,0,1,1,0,1,1
102208055,1,0,0,0,0,1,0,0,0
102208057,0,0,0,0,0,0,0,0,0
102208059,0,0,0,0,0,0,0,0,0
102208061,1,0,0,0,0,0,0,1,0
102208063,5,0,0,0,1,1,1,1,1
102208065,0,0,0,0,0,0,0,0,0
102208073,2,0,0,0,0,0,0,1,1
102208075,1,0,0,0,0,0,0,0,1
102208081,0,0,0,0,0,0,0,0,0
102208083,2,0,0,0,0,1,0,0,1
102208085,0,0,0,0,0,0,0,0,0
102208089,0,0,0,0,0,0,0,0,0
102103012,0,0,0,0,0,0,0,0,0
102208002,0,0,0,0,0,0,0,0,0
102208004,0,0,0,0,0,0,0,0,0
102208006,0,0,0,0,0,0,0,0,0
102208008,0,0,0,0,0,0,0,0,0
102208010,0,0,0,0,0,0,0,0,0
102208014,2,0,0,1,0,0,1,0,0
102208018,0,0,0,0,0,0,0,0,0
102208022,0,0,0,0,0,0,0,0,0
102208024,0,0,0,0,0,0,0,0,0
102208030,0,0,0,0,0,0,0,0,0
102208032,2,0,0,0,0,0,0,1,1
102208034,0,0,0,0,0,0,0,0,0
102208038,3,0,0,0,0,1,0,1,1
102208042,1,0,0,1,0,0,0,0,0
102208044,3,0,0,1,0,1,1,0,0
102208046,0,0,0,0,0,0,0,0,0
102208052,0,0,0,0,0,0,0,0,0
102208054,3,0,0,0,1,1,0,0,1
102208056,0,0,0,0,0,0,0,0,0
102208058,2,1,0,0,0,1,0,0,0
102208060,6,0,1,1,1,1,1,1,0
102208062,3,0,0,0,1,0,0,1,1
102208064,2,0,0,0,0,1,0,0,1
102208066,0,0,0,0,0,0,0,0,0
102208068,5,0,1,0,1,1,0,1,1
102208074,1,0,0,0,1,0,0,0,0
102208078,0,0,0,0,0,0,0,0,0
102208082,0,0,0,0,0,0,0,0,0
102208084,1,0,0,0,0,1,0,0,0
102208086,0,0,0,0,0,0,0,0,0
102208088,0,0,0,0,0,0,0,0,0
102208090,0,0,0,0,0,0,0,0,0
101208003,1,0,0,0,0,0,0,0,1
101208005,4,0,1,0,1,0,0,1,1
101208013,3,0,0,0,0,0,1,1,1
101208015,0,0,0,0,0,0,0,0,0
101208017,5,0,1,0,1,1,1,1,0
101208025,6,0,0,1,1,1,1,1,1
101208031,1,0,0,0,0,0,1,0,0
101208053,0,0,0,0,0,0,0,0,0
101208055,1,0,0,0,0,0,0,1,0
101208065,0,0,0,0,0,0,0,0,0
101208069,1,0,1,0,0,0,0,0,0
101208079,0,0,0,0,0,0,0,0,0
101208085,0,0,0,0,0,0,0,0,0
101208087,1,1,0,0,0,0,0,0,0
101208091,0,0,0,0,0,0,0,0,0
101102026,0,0,0,0,0,0,0,0,0
101204026,1,0,0,0,0,0,1,0,0
101208002,0,0,0,0,0,0,0,0,0
101208004,1,0,0,0,0,1,0,0,0
101208008,1,0,0,0,0,1,0,0,0
101208030,0,0,0,0,0,0,0,0,0
101208034,0,0,0,0,0,0,0,0,0
101208050,8,1,1,1,1,1,1,1,1
101208052,0,0,0,0,0,0,0,0,0
101208054,6,0,0,1,1,1,1,1,1
101208056,0,0,0,0,0,0,0,0,0
101208058,0,0,0,0,0,0,0,0,0
101208060,1,0,0,0,0,0,0,1,0
101208062,0,0,0,0,0,0,0,0,0
101208064,2,0,0,1,0,0,0,0,1
101208066,0,0,0,0,0,0,0,0,0
101208070,0,0,0,0,0,0,0,0,0
101208074,3,0,0,0,1,0,1,1,0
101208078,4,0,0,0,1,1,0,1,1
101208080,0,0,0,0,0,0,0,0,0
101208082,0,0,0,0,0,0,0,0,0
101208084,5,0,0,0,1,1,1,1,1
101208090,0,0,0,0,0,0,0,0,0
101208094,1,0,0,0,0,1,0,0,0
101502012,0,0,0,0,0,0,0,0,0
100208053,2,0,0,0,0,1,1,0,0
102209035,2,1,0,0,0,0,0,1,0
101302049,1,0,0,0,0,1,0,0,0
103302103,0,0,0,0,0,0,0,0,0
103302104,0,0,0,0,0,0,0,0,0
99304030,3,1,0,0,0,0,0,1,1
100104041,0,0,0,0,0,0,0,0,0
102306041,3,0,0,0,1,0,0,1,1
102306046,0,0,0,0,0,0,0,0,0
100202044,0,0,0,0,0,0,0,0,0
101401042,1,0,0,0,0,0,0,0,1
100401044,3,0,0,0,1,1,1,0,0
100401072,2,0,0,1,0,1,0,0,0
