id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,Exam1,Exam2,Final,semester
101208087,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.6,0.71,0.71,0.71,0.71,0.71,0.71,9.0,9.0,19.0,55
102205089,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.75,18.5,14.0,35.5,91
101208066,0.71,0.71,0.71,0.75,0.75,0.71,0.71,0.71,0.75,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.2,0.71,14.5,15.0,23.0,77
101208030,0.71,0.74,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,22.5,23.5,33.5,99
102208075,0.71,0.71,0.71,0.74,0.71,0.4,0.71,0.71,0.71,0.71,0.71,0.5,0.71,0.71,0.71,0.71,0.71,0.5,10.0,10.0,24.0,74
102205037,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.76,0.5,0.71,0.71,0.71,0.71,0.71,0.5,15.0,7.5,18.0,66
102104031,0.71,0.71,0.75,0.71,0.4,0.71,0.71,0.71,0.4,0.74,0.71,0.5,0.71,0.71,0.72,0.71,0.71,0.2,17.0,13.0,25.5,83
101208085,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,14.0,12.0,16.5,71
101208069,0.71,0.71,0.76,0.4,0.71,0.76,0.71,0.4,0.75,0.71,0.71,0.5,0.71,0.71,0.71,0.71,0.2,0.74,15.5,17.5,28.5,89
102208088,0.71,0.71,0.71,0.71,0.71,0.8,0.71,0.71,0.71,0.71,0.71,0.73,0.71,0.71,0.71,0.71,0.71,0.6,10.0,7.5,7.0,56
102208081,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.74,20.0,12.5,21.0,81
102208058,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.5,0.71,0.71,0.71,0.71,0.71,0.6,4.0,4.0,2.0,33
102208049,0.71,0.71,0.71,0.71,0.71,0.1,0.76,0.4,0.71,0.71,0.71,0.4,0.71,0.71,0.71,0.71,0.71,0.71,8.0,6.5,12.0,53
102208033,0.71,0.71,0.71,0.71,0.71,0.1,0.71,0.71,0.71,0.71,0.71,0.4,0.71,0.71,0.71,0.71,0.71,0.71,14.5,9.0,20.0,67
102208008,0.71,0.71,0.71,0.76,0.76,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,18.5,17.0,33.0,92
101208074,0.71,0.71,0.71,0.71,0.71,0.76,0.71,0.71,0.71,0.71,0.71,0.5,0.71,0.71,0.71,0.71,0.71,0.79,11.5,7.5,17.0,63
99304030,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.75,0.77,0.71,0.3,0.71,0.71,0.71,0.71,0.71,0.72,0.0,3.0,12.0,33
99203054,0.71,0.75,0.72,0.78,0.71,0.72,0.71,0.71,0.5,0.78,0.5,0.79,0.71,0.71,0.73,0.71,0.71,0.71,22.0,24.0,36.0,99
103302104,0.71,0.77,0.71,0.71,0.71,0.3,0.71,0.71,0.71,0.75,0.71,0.2,0.71,0.71,0.71,0.71,0.71,0.3,24.0,23.0,36.5,99
103302103,0.71,0.71,0.71,0.8,0.71,0.79,0.71,0.71,0.71,0.71,0.79,0.2,0.71,0.79,0.71,0.71,0.78,0.2,24.5,22.5,31.0,99
102306046,0.71,0.71,0.72,0.71,0.75,0.76,0.71,0.75,0.71,0.71,0.79,0.6,0.2,0.75,0.79,0.71,0.71,0.5,13.5,17.5,22.5,78
102306041,0.71,0.71,0.79,0.75,0.75,0.71,0.71,0.71,0.71,0.71,0.78,0.72,0.71,0.71,0.71,0.71,0.3,0.5,10.0,6.5,5.5,48
102209035,0.71,0.71,0.71,0.71,0.71,0.73,0.75,0.71,0.71,0.74,0.74,0.3,0.71,0.71,0.71,0.71,0.71,0.5,8.0,14.5,14.5,55
102208090,0.71,0.71,0.71,0.75,0.71,0.2,0.75,0.2,0.8,0.78,0.71,0.74,0.71,0.71,0.74,0.71,0.71,0.2,17.0,16.5,23.0,83
102208089,0.71,0.71,0.71,0.71,0.71,0.1,0.71,0.71,0.75,0.71,0.75,0.74,0.71,0.71,0.2,0.71,0.71,0.71,14.0,13.5,27.5,80
102208086,0.71,0.71,0.71,0.71,0.78,0.78,0.71,0.75,0.71,0.75,0.77,0.71,0.75,0.75,0.78,0.71,0.71,0.79,17.5,25.0,31.0,96
