id,TA_video_week1,TA_text_week1,Teacher_video_week1,Teacher_text_week1,TA_video_week2,TA_text_week2,Teacher_video_week2,Teacher_text_week2,TA_video_week3,TA_text_week3,Teacher_video_week3,Teacher_text_week3,TA_video_week4,TA_text_week4,Teacher_video_week4,Teacher_text_week4,TA_video_week5,TA_text_week5,Teacher_video_week5,Teacher_text_week5,TA_video_week6,TA_text_week6,Teacher_video_week6,Teacher_text_week6,TA_video_week7,TA_text_week7,Teacher_video_week7,Teacher_text_week7,TA_video_week8,TA_text_week8,Teacher_video_week8,Teacher_text_week8,TA_video_week9,TA_text_week9,Teacher_video_week9,Teacher_text_week9,TA_video_week10,TA_text_week10,Teacher_video_week10,Teacher_text_week10,TA_video_week11,TA_text_week11,Teacher_video_week11,Teacher_text_week11,TA_video_week12,TA_text_week12,Teacher_video_week12,Teacher_text_week12,TA_video_week13,TA_text_week13,Teacher_video_week13,Teacher_text_week13,TA_video_week14,TA_text_week14,Teacher_video_week14,Teacher_text_week14,TA_video_week15,TA_text_week15,Teacher_video_week15,Teacher_text_week15,TA_video_week16,TA_text_week16,Teacher_video_week16,Teacher_text_week16,TA_video_week17,TA_text_week17,Teacher_video_week17,Teacher_text_week17,TA_video_week18,TA_text_week18,Teacher_video_week18,Teacher_text_week18
100101021,0,0,0,0,0,0,0,156,0,110,0,88,0,0,0,208,0,176,0,0,68,0,0,478,0,98,0,94,0,0,0,92,0,106,0,78,0,68,0,98,0,82,0,86,0,0,1808,0,0,76,0,94,0,508,0,70,0,178,0,78,0,0,0,596,0,0,4616,0,0,0,0,0
100104041,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,750,0,0,0,0,0,62,6530,2686,0,0,0,3886,0,1324,136,1196,0,0,0,0,0,406,0,0,0,0,0,238,0,164,0,70,0,222,0,64,0,0,0,0,0,0,0,14156
100202044,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,1231,0,0,0,55,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,122,0,0,0,0,0,1832,0,0,0,0,62,3834,0,0,0,0,0,0,0,43,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,14667
100206009,0,0,0,0,0,0,0,0,0,0,1055,0,0,0,0,0,0,0,806,0,3462,0,1765,0,0,0,0,0,0,927,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1738,0,225,36,0,0,0,286,0,0,0,56,737,0,0,0,0,0,0,94,0,0,0,91,0,245,0,133
100208053,0,0,0,0,0,286,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4328,0,0,0,0,0,0,0,0,73,0,0,0,64,0,0,0,0,0,0,0,548,0,0,0,0
100401044,0,0,0,0,0,0,0,0,0,100,0,74,0,0,0,0,0,0,0,0,3553,31,3293,84,0,140,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,13304,31,0,4677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,0,4145,4929,40,0,0
100401072,0,0,0,0,0,0,0,0,0,0,0,48,0,52,0,0,0,0,0,286,0,0,4593,0,0,0,0,105,0,0,0,0,0,0,945,36,0,0,0,187,0,288,6873,0,10238,964,3924,239,0,0,0,0,0,0,0,74,6327,76,0,87,0,0,0,52,0,0,0,10259,3623,483,0,396
100508018,0,0,0,0,0,0,0,43,0,806,0,40,0,336,48,236,0,0,0,2673,0,0,0,40,0,0,0,40,0,0,0,0,37,0,0,0,0,0,0,106,165,49,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1585,0,0,0,8278,0,0,0,0
101101050,0,0,0,0,0,0,67,67,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
101102025,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,313,0,0,0,1547,0,0,0,2828,0,0,0,33,0,0,0,1649,0,0,0,39,0,31,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,34,0,63,0,0,0,1200,0,0
101102026,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,86,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2676,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
101103034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,48,0,0,2925,40,39,59,0,0,0,0,0,0,0,33,497,3067,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,385,0,2393
101203004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
101203054,0,0,0,0,0,0,0,0,0,0,0,0,7811,0,140,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,1055,0,0,0,0,0,0,0,0,0,73,21225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101204026,0,0,0,0,0,0,0,281,0,0,0,81,0,0,0,4263,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,77,0,0,0,0,199,0,21601,138,727,0,0,0,0,95,0,1845,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21601,0,0,0
101205029,0,0,0,0,0,35,0,197,1546,0,0,202,0,0,0,0,0,0,0,97,0,0,0,3262,36,0,0,35,0,0,0,0,761,0,0,0,0,0,0,199,6498,0,0,0,2481,0,0,2899,0,0,0,0,5908,0,0,60,2512,0,0,0,0,0,0,50,0,0,0,33,0,0,0,0
101205043,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7940,0,0,0,0,0,0,0,0,0,0,148,0,845,0,0,0,0,0,0,0,0,0,34,225,0,0,67,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10749,429
101205093,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,1656,0,0,0,246,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,68,5626,36,5098,17164,669,15481,0,0,0,994,0,0,0,140,874,0,0,0,0,0,0,0,0,0,0,0,1908,0,23717,0
101208002,0,0,0,0,0,589,0,761,0,1889,0,0,0,0,0,0,0,0,0,5851,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1558,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0
101208003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101208004,0,0,0,0,0,0,0,38,0,0,0,0,0,49,0,107,0,0,0,54,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3424,0,0,0,0,36,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101208005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1822,0,1717,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1237,430,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,0,0,0,0,0,0,98,0,0
101208008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0
101208013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101208015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,0,270,0,0,1574,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20903,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2144,78,0,279
101208017,0,0,0,0,0,0,0,0,0,0,31,982,0,77,0,552,0,0,12878,208,0,0,0,934,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11063,84,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,100,0,431
101208025,0,0,0,0,0,0,0,0,0,419,0,904,0,745,0,1152,0,0,0,0,0,0,14185,723,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6619,0,3477,0,7718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
101208031,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,198,0,0,185,0,0,43,1487,470,0,0,0,0,0,0,0,153,4383,615,0,2347,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
