id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18
101208087,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.233,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521
102205089,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5524,0.5521,0.5521,0.5521,0.5521,0.5521,0.556
101208066,0.5521,0.5521,0.5521,0.556,0.556,0.5521,0.5521,0.5521,0.5526,0.5521,0.5526,0.5521,0.5522,0.5522,0.5521,0.5522,0.322,0.5521
101208030,0.5521,0.5529999999999999,0.5521,0.5521,0.5521,0.5521,0.5522,0.5521,0.5521,0.5524,0.5521,0.5521,0.5522,0.5524,0.5521,0.5521,0.5521,0.5521
102208075,0.5521,0.5521,0.5521,0.5529999999999999,0.5522,0.43,0.5522,0.5521,0.5521,0.5521,0.5521,0.24,0.5521,0.5521,0.5521,0.5521,0.5521,0.24
102205037,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5524,0.53,0.24,0.5521,0.5521,0.5521,0.5521,0.5524,0.56
102104031,0.5521,0.5521,0.5526,0.5522,0.41,0.5523,0.5521,0.5522,0.41,0.5529999999999999,0.5526,0.51,0.5521,0.5522,0.56,0.5521,0.5521,0.522
101208085,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5539999999999999,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521
101208069,0.5521,0.5521,0.53,0.41,0.5539999999999999,0.53,0.5521,0.46,0.556,0.5522,0.5522,0.51,0.551,0.5521,0.5521,0.5524,0.524,0.5539999999999999
102208088,0.5521,0.5521,0.5521,0.5521,0.5521,0.63,0.5521,0.5525,0.5521,0.5521,0.5521,0.56,0.5521,0.5521,0.5521,0.5521,0.5521,0.22
102208081,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5526,0.5521,0.5526,0.5521,0.5521,0.5521,0.5521,0.5521,0.5522,0.5521,0.5529999999999999
102208058,0.5521,0.5521,0.5521,0.5521,0.5521,0.5539999999999999,0.5521,0.5521,0.5521,0.5521,0.5521,0.51,0.5521,0.5521,0.5521,0.5521,0.5521,0.22
102208049,0.5521,0.5521,0.5521,0.5521,0.5521,0.12,0.53,0.41,0.5523,0.5521,0.5521,0.42,0.5521,0.5521,0.5521,0.5521,0.5521,0.551
102208033,0.5521,0.5521,0.5521,0.5521,0.5521,0.13,0.5521,0.5521,0.5521,0.5521,0.5521,0.41,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521
102208008,0.5521,0.5521,0.5521,0.53,0.53,0.5521,0.5523,0.5523,0.5521,0.5521,0.5523,0.5523,0.5521,0.5521,0.5521,0.5521,0.5539999999999999,0.5539999999999999
102207430,0.5521,0.5521,0.5521,0.5521,0.5521,0.51,0.24,0.56,0.5521,0.5521,0.5521,0.5521,0.24,0.5521,0.5521,0.56,0.5525,0.5521
101208074,0.5521,0.5521,0.5521,0.5521,0.5523,0.53,0.5521,0.5521,0.5521,0.5521,0.5522,0.24,0.5521,0.5522,0.5522,0.5521,0.5522,0.54
99304030,0.5521,0.5521,0.5522,0.5521,0.5526,0.5522,0.5521,0.5521,0.556,0.555,0.5526,0.31,0.5521,0.5522,0.5522,0.5521,0.5522,0.56
99203054,0.5521,0.556,0.56,0.556,0.5521,0.551,0.5521,0.5521,0.24,0.54,0.51,0.54,0.5521,0.5521,0.56,0.5521,0.5521,0.5521
126267,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521
104850,0.5521,0.556,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5522,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521,0.5522,0.5521
103302104,0.5521,0.5529999999999999,0.5521,0.5522,0.5521,0.31,0.5521,0.5522,0.5526,0.5526,0.5522,0.324,0.5521,0.5521,0.5521,0.5521,0.5521,0.31
103302103,0.5521,0.5522,0.5521,0.555,0.5521,0.54,0.5521,0.5521,0.5521,0.5521,0.54,0.324,0.5521,0.54,0.5521,0.5521,0.54,0.523
103258005,0.5521,0.556,0.5522,0.556,0.523,0.5523,0.5521,0.54,0.556,0.556,0.54,0.5521,0.5521,0.5522,0.5524,0.5529999999999999,0.5522,0.5522
102306046,0.5521,0.5521,0.56,0.5526,0.556,0.53,0.5521,0.556,0.5522,0.5521,0.54,0.23199999999999998,0.321,0.556,0.54,0.5521,0.5521,0.24
102306041,0.5521,0.5521,0.54,0.556,0.556,0.5521,0.5521,0.5524,0.5521,0.5521,0.54,0.551,0.5521,0.5521,0.5521,0.5521,0.31,0.51
102258003,0.5521,0.5521,0.5521,0.525,0.322,0.53,0.5521,0.5521,0.322,0.556,0.5521,0.62,0.5521,0.5521,0.5521,0.5521,0.5521,0.5521
102209035,0.5521,0.5522,0.5524,0.5522,0.5521,0.56,0.5526,0.5522,0.5524,0.5529999999999999,0.5529999999999999,0.33,0.5521,0.5526,0.5521,0.5521,0.5521,0.51
102208090,0.5521,0.5521,0.5522,0.5526,0.5522,0.522,0.5526,0.523,0.63,0.556,0.5521,0.5529999999999999,0.5521,0.5522,0.5529999999999999,0.5522,0.5521,0.522
102208089,0.5521,0.5521,0.5521,0.5522,0.5526,0.12,0.5521,0.5521,0.556,0.5521,0.5526,0.551,0.5521,0.5521,0.525,0.5521,0.5521,0.5521
