,PERIOD,CUSTOMER_NUM,AR_AMT,CURRENT_AMT,P1_1-30_amt,P2_31-60_amt,P3_61-90_amt,P4_91-120_amt,P5_121-150_amt,P6_151-180_amt,P7_over180_amt,refund
0,201601,10000,2338.87,2338.87,0,0,0,0,0,0,0,0
1,201602,10000,2337.82,2337.82,0,0,0,0,0,0,0,0
2,201603,10000,2414.44,2414.44,0,0,0,0,0,0,0,0
3,201604,10000,1615.78,1615.78,0,0,0,0,0,0,0,0
4,201605,10000,2417.29,2417.29,0,0,0,0,0,0,0,0
5,201606,10000,2379.55,2379.55,0,0,0,0,0,0,0,0
6,201607,10000,2406.02,2406.02,0,0,0,0,0,0,0,0
7,201608,10000,2420.8,2420.8,0,0,0,0,0,0,0,0
8,201609,10000,2420.8,2420.8,0,0,0,0,0,0,0,0
9,201610,10000,2433.46,0,2433.46,0,0,0,0,0,0,0
10,201602,100042,950,950,0,0,0,0,0,0,0,0
11,201603,100042,4755,4755,0,0,0,0,0,0,0,0
12,201604,100042,40675.6,40675.6,0,0,0,0,0,0,0,0
13,201605,100042,21859.86,21859.86,0,0,0,0,0,0,0,0
14,201606,100042,19186.91,19186.91,0,0,0,0,0,0,0,0
15,201607,100042,26810.8,26810.8,0,0,0,0,0,0,0,0
16,201608,100042,27866.52,27866.52,0,0,0,0,0,0,0,0
17,201609,100042,8046.84,8046.84,0,0,0,0,0,0,0,0
18,201610,100042,4845.7,4845.7,0,0,0,0,0,0,0,0
19,201612,100042,7200,7200,0,0,0,0,0,0,0,0
20,201701,100042,7200,7200,0,0,0,0,0,0,0,0
21,201702,100042,11110.76,11110.76,0,0,0,0,0,0,0,0
22,201703,100042,19088.43,19088.43,0,0,0,0,0,0,0,0
23,201704,100042,23388.62,23388.62,0,0,0,0,0,0,0,0
24,201706,100042,7140,7140,0,0,0,0,0,0,0,0
25,201601,100199,2110.04,2110.04,0,0,0,0,0,0,0,0
26,201602,100199,4221.82,4221.82,0,0,0,0,0,0,0,0
27,201603,100199,3975.24,3975.24,0,0,0,0,0,0,0,0
28,201604,100199,5754.06,3591.88,2162.18,0,0,0,0,0,0,0
29,201605,100199,1768.6,1768.6,0,0,0,0,0,0,0,0
30,201601,10020,112679.13,112679.13,0,0,0,0,0,0,0,0
31,201602,10020,167151.83,167151.83,0,0,0,0,0,0,0,0
32,201603,10020,106590.79,106590.79,0,0,0,0,0,0,0,0
33,201604,10020,64324.87,64324.87,0,0,0,0,0,0,0,0
34,201605,10020,63569.41,63569.41,0,0,0,0,0,0,0,0
35,201606,10020,68650.09,68650.09,0,0,0,0,0,0,0,0
36,201607,10020,95176.73,95176.73,0,0,0,0,0,0,0,0
37,201608,10020,34988.84,34988.84,0,0,0,0,0,0,0,0
38,201609,10020,49187.4,49187.4,0,0,0,0,0,0,0,0
39,201610,10020,78399.09,78399.09,0,0,0,0,0,0,0,0
40,201611,10020,48644.94,48644.94,0,0,0,0,0,0,0,0
41,201612,10020,41095.65,41095.65,0,0,0,0,0,0,0,0
42,201701,10020,67004.23,67004.23,0,0,0,0,0,0,0,0
43,201702,10020,53509.03,53509.03,0,0,0,0,0,0,0,0
44,201703,10020,86123.21,86123.21,0,0,0,0,0,0,0,0
45,201704,10020,67555.96,67555.96,0,0,0,0,0,0,0,0
46,201705,10020,83175.44,83175.44,0,0,0,0,0,0,0,0
47,201706,10020,99108.54,99108.54,0,0,0,0,0,0,0,0
48,201608,100399,1363.74,1363.74,0,0,0,0,0,0,0,0
49,201706,100399,1789.46,1789.46,0,0,0,0,0,0,0,0
50,201601,10042,56821.35,49651.87,7169.48,0,0,0,0,0,0,0
51,201602,10042,66025.75,53926.67,4929.6,7169.48,0,0,0,0,0,0
52,201603,10042,71129.5,69075.1,2054.4,0,0,0,0,0,0,0
53,201604,10042,76560.11,70861.86,5698.25,0,0,0,0,0,0,0
54,201605,10042,85262,78892.05,6369.95,0,0,0,0,0,0,0
55,201606,10042,107394.13,99286.73,8107.4,0,0,0,0,0,0,0
56,201607,10042,120874.9,102616.83,18258.07,0,0,0,0,0,0,0
57,201608,10042,104647.93,98975.93,5672,0,0,0,0,0,0,0
58,201609,10042,60572.47,60572.47,0,0,0,0,0,0,0,0
59,201610,10042,56163.65,56163.65,0,0,0,0,0,0,0,0
60,201611,10042,29624.89,29624.89,0,0,0,0,0,0,0,0
61,201612,10042,5950.29,5950.29,0,0,0,0,0,0,0,0
62,201701,10042,4711.79,4711.79,0,0,0,0,0,0,0,0
63,201702,10042,5100.23,3678.23,1422,0,0,0,0,0,0,0
64,201703,10042,3190.23,2975.19,215.04,0,0,0,0,0,0,0
65,201704,10042,2068.54,2068.54,0,0,0,0,0,0,0,0
66,201705,10042,1700.54,1180.04,520.5,0,0,0,0,0,0,0
67,201706,10042,1180.04,1180.04,0,0,0,0,0,0,0,0
68,201604,100461,2773.65,0,2773.65,0,0,0,0,0,0,0
69,201604,10054,3113.82,3113.82,0,0,0,0,0,0,0,0
70,201605,10054,6906.83,6906.83,0,0,0,0,0,0,0,0
71,201606,10054,3867.2,3867.2,0,0,0,0,0,0,0,0
72,201607,10054,789.91,789.91,0,0,0,0,0,0,0,0
73,201609,10054,780.9,780.9,0,0,0,0,0,0,0,0
74,201610,10054,1544.07,1544.07,0,0,0,0,0,0,0,0
75,201611,10054,2301.47,2301.47,0,0,0,0,0,0,0,0
76,201612,10054,763.32,763.32,0,0,0,0,0,0,0,0
77,201701,10054,787.21,787.21,0,0,0,0,0,0,0,0
78,201702,10054,805.06,805.06,0,0,0,0,0,0,0,0
79,201703,10054,2348.73,2348.73,0,0,0,0,0,0,0,0
80,201704,10054,2359.23,2359.23,0,0,0,0,0,0,0,0
81,201705,10054,792.42,792.42,0,0,0,0,0,0,0,0
82,201601,100579,4730.97,4730.97,0,0,0,0,0,0,0,0
83,201602,100579,3046.7,3046.7,0,0,0,0,0,0,0,0
84,201603,100579,1430.5,1430.5,0,0,0,0,0,0,0,0
85,201604,100579,2052.5,2052.5,0,0,0,0,0,0,0,0
86,201605,100579,2593.23,2593.23,0,0,0,0,0,0,0,0
87,201606,100579,2393.74,2393.74,0,0,0,0,0,0,0,0
88,201607,100579,1889.47,1889.47,0,0,0,0,0,0,0,0
89,201608,100579,2225.04,2225.04,0,0,0,0,0,0,0,0
90,201609,100579,2944.6,2944.6,0,0,0,0,0,0,0,0
91,201610,100579,3653.45,3653.45,0,0,0,0,0,0,0,0
92,201611,100579,2210.33,2210.33,0,0,0,0,0,0,0,0
93,201612,100579,1457.25,1457.25,0,0,0,0,0,0,0,0
94,201701,100579,2036.6,2036.6,0,0,0,0,0,0,0,0
95,201702,100579,545.71,545.71,0,0,0,0,0,0,0,0
96,201703,100579,1269.09,1269.09,0,0,0,0,0,0,0,0
97,201704,100579,718.68,718.68,0,0,0,0,0,0,0,0
98,201601,100666,612.37,612.37,0,0,0,0,0,0,0,0
99,201604,100666,1886.84,1886.84,0,0,0,0,0,0,0,0
100,201605,100666,1198.53,1198.53,0,0,0,0,0,0,0,0
101,201606,100666,901.29,901.29,0,0,0,0,0,0,0,0
102,201607,100666,3140.68,3140.68,0,0,0,0,0,0,0,0
103,201608,100666,3290.5,3290.5,0,0,0,0,0,0,0,0
104,201609,100666,1768.62,1768.62,0,0,0,0,0,0,0,0
105,201610,100666,2914.32,2914.32,0,0,0,0,0,0,0,0
